,model,score
0,firebolt/llama_or_what2,0.8957405346462708
1,nateraw/denver-nyc-paris,0.897675492049657
2,black/simple_kitchen,0.8981160222089645
3,Suzana/new-york-tokyo-london,0.8986316354088774
4,filipafcastro/beer_vs_wine,0.898661062122006
5,nateraw/baked-goods,0.8977321497821317
6,ajanco/greens,0.8978451656010893
7,HHousen/household-rooms,0.898308883710072
8,Amrrs/indian-foods,0.8980157397160266
9,nateraw/planes-trains-automobiles,0.8979127488136696
10,julien-c/hotdog-not-hotdog,0.8981355396572026
11,jmarshall/rare-puppers,0.8980335121070038
12,micole66/dwarf-goats,0.8962424972257553
13,nateraw/ex-for-evan,0.898144373484743
14,ferdinand/rare-puppers,0.894635552255158
15,ipvikas/rare-puppers,0.899158243065691
16,Frodnar/bee-likes,0.897558108064371
17,nateraw/baseball-stadium-foods,0.8979527049232162
18,Giuliano/places,0.8983298408932751
19,firas-spanioli/beer-whisky-wine-detection,0.8980799521161676
20,jjhoffstein/lotr,0.8954780587386014
21,Nonem100/Test-Model,0.897136758842491
22,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,0.8990187430309893
23,LorenzoDeMattei/lawn-weeds,0.8979671919833132
24,nateraw/doggos-lol,0.897984166233903
25,Symbermine/rare-puppers,0.8979630162227488
26,gatecitypreservation/architectural_styles,0.897368284402487
27,Amrrs/south-indian-foods,0.8977384894785324
28,hafidber/fruits,0.8994257984357125
29,nateraw/rare-puppers-123,0.8982057705382659
30,Aftabhussain/Tomato_Leaf_Classifier,0.8975586708436587
31,Neto71/sea_mammals,0.8973072116230731
32,lewtun/oz-fauna,0.8975872825597649
33,hgarg/fruits,0.8982281797507496
34,jasmeen/dogs,0.8983416405657535
35,b25mayank3/shirt_identifier,0.8975819132830303
36,jeffboudier/vision-transformers-spain-or-italy-fan,0.8964099727897286
37,godiec/diam,0.8982484302669265
38,firebolt/llama_or_what,0.895297549801943
39,juanfiguera/ice_cream,0.8961968030909356
40,drab/Infrastructures,0.8972326490323764
41,Sena/dog,0.8978018702905821
42,jaygala24/finetuned-vit-base-patch16-224-upside-down-detector,0.8975155663784496
43,hafidber/rare-puppers,0.8981469005214843
44,edixo/road_good_damaged_condition,0.8991798750165455
45,AykeeSalazar/vc-bantai-vit-withoutAMBI,0.8980792119924664
46,Sena/flowers,0.8975972793318939
47,johnnydevriese/vit-airplanes,0.8975877982201853
48,nateraw/pasta-shapes,0.8980695853080507
49,mrm8488/vit-base-patch16-224_finetuned-pneumothorax,0.897461800652872
50,hgarg/indian-snacks,0.897239382415912
51,Hijazzi/rare-puppers,0.8982223566225337
52,nateraw/trainer-rare-puppers,0.8977019458007406
53,nateraw/rare-puppers-new-auth,0.8979076652660561
54,nateraw/rare-puppers,0.8980877474903355
55,iyzg/computer-stuff,0.8977598415869726
56,nateraw/huggingpics-package-demo-2,0.8987028246692449
57,nateraw/pasta-pizza-ravioli,0.8979336463396167
58,nateraw/donut-or-bagel,0.8980556936934971
59,nateraw/rare-puppers-09-04-2021,0.8983345167450947
60,Zayn/VIT_Basic,0.8979822902014535
61,driboune/skin_type,0.8974055067776797
62,flyswot/test,0.8834622955257542
63,nateraw/rare-puppers-demo,0.8979592791151416
64,meame2010/rare-puppers,0.8967064238810052
65,mmgyorke/vit-world-landmarks,0.8982531509378485
66,AhmedSayeem/VIT_Basic,0.8978866407663474
67,google/vit-base-patch16-224,0.8854272555782866
68,IDEA-CCNL/Taiyi-vit-87M-D,0.8851464876305143
69,facebook/deit-base-patch16-224,0.8852505249323007
70,facebook/deit-base-distilled-patch16-224,0.8896475454392906
71,mrm8488/data2vec-base-finetuned-imagenet1k,0.8891621560155503
72,facebook/convnext-base-224,0.8912424401035998
73,facebook/convnext-small-224,0.8843208006207207
74,microsoft/swin-base-patch4-window7-224,0.8878549872146116
75,microsoft/beit-base-patch16-224,0.8919105263867849
76,facebook/convnext-tiny-224,0.880153016709122
77,Visual-Attention-Network/van-small,0.8737905901086375
78,WinKawaks/vit-small-patch16-224,0.8740159976690457
79,facebook/deit-small-distilled-patch16-224,0.8777244186260946
80,Visual-Attention-Network/van-base,0.8769505945625051
81,facebook/deit-small-patch16-224,0.8693744449887562
82,microsoft/swin-small-patch4-window7-224,0.8808063084854936
83,Ahmed9275/ALL-3,0.8781293265348666
84,facebook/convnext-large-224,0.9145883861554934
85,WinKawaks/vit-tiny-patch16-224,0.8710174947920215
86,Visual-Attention-Network/van-tiny,0.8713782783385587
87,facebook/deit-tiny-distilled-patch16-224,0.8747974576356852
88,Ahmed9275/ALL-test,0.8778324416921017
89,facebook/deit-tiny-patch16-224,0.870525104827407
90,microsoft/swin-tiny-patch4-window7-224,0.8771786628858026
91,Visual-Attention-Network/van-large,0.8798065976553777
92,google/vit-base-patch32-384,0.8851515743941979
93,facebook/convnext-base-224-22k-1k,0.8910296079783491
94,google/vit-large-patch32-384,0.9229367131881654
95,microsoft/swin-large-patch4-window7-224,0.9088292300126273
96,lysandre/tiny-vit-random,0.8698770299233541
97,facebook/convnext-large-224-22k-1k,0.9107345346328184
98,facebook/convnext-base-384,0.8945145256300243
99,microsoft/resnet-50,0.8779556241065057
100,microsoft/beit-base-patch16-224-pt22k,0.891325764700686
101,microsoft/beit-large-patch16-224,0.9300398077004929
102,google/vit-large-patch16-224,0.9246131760509961
103,facebook/convnext-large-384,0.9149501805721494
104,facebook/convnext-large-384-22k-1k,0.9172795949764881
105,microsoft/beit-large-patch16-384,0.9401793552235665
106,nielsr/convnext-xlarge-224-22k-1k,0.9362759681861156
107,facebook/deit-base-patch16-384,0.8959367633016369
108,google/vit-base-patch16-384,0.8910309034202277
109,facebook/deit-base-distilled-patch16-384,0.893268754995841
110,microsoft/swin-large-patch4-window12-384,0.9148778486334573
111,facebook/convnext-xlarge-224-22k-1k,0.9362450812373551
112,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.8805367790627646
113,karthiksv/vit-base-patch16-224-cifar10,0.880023315989926
114,nateraw/vit-base-patch16-224-cifar10,0.8804342090122398
115,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.880836533190033
116,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.8812265067965156
117,jadohu/BEiT-finetuned,0.8868723541884493
118,tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,0.8802067392495789
119,nateraw/vit-base-beans-demo,0.8713250086881117
120,nickmuchi/vit-base-beans,0.8719512211312441
121,karthiksv/vit-base-beans,0.8709935042241255
122,nateraw/vit-base-beans-demo-v3,0.8725252793096401
123,johnnydevriese/vit_beans,0.8709230797628582
124,nateraw/vit-base-beans-demo-v2,0.8714976221760522
125,mmekias/vit-base-beans,0.8710249515332905
126,nateraw/vit-base-beans,0.8723416054339526
127,mrm8488/convnext-tiny-finetuned-beans,0.8661091174304565
128,nielsr/vit-finetuned-eurosat-kornia,0.8742125376685372
129,mrm8488/convnext-tiny-finetuned-eurosat,0.8692301063772382
130,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,0.8695309362261552
131,Calin/convnext-tiny-finteuned-eurosat,0.8690538100570915
132,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,0.869220140785317
133,nielsr/convnext-tiny-finetuned-eurostat,0.8690526251283193
134,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8661551603829158
135,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8662714864374675
136,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8669699562014205
137,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8665436338297723
138,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8666245184081782
139,nielsr/convnext-tiny-finetuned-eurosat,0.8688039068278968
140,nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,0.8663179049267841
141,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8666179575358374
142,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8669983604610282
143,nielsr/van-base-finetuned-eurosat-imgaug,0.8662817552674377
144,mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8670056403007994
145,jemole/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8662773459098934
146,guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8661638475964114
147,eren23/pneumonia_test_attempt,0.8650579810758463
148,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.8641958471263268
149,nickmuchi/vit-base-xray-pneumonia,0.864551838730518
150,facebook/convnext-base-224-22k,0.8963394522731678
151,microsoft/swin-large-patch4-window7-224-in22k,0.9109575670908829
152,microsoft/swin-base-patch4-window7-224-in22k,0.890879500576568
153,microsoft/beit-base-patch16-224-pt22k-ft22k,0.8943342825068584
154,facebook/convnext-large-224-22k,0.9162411416071838
155,facebook/convnext-xlarge-224-22k,0.94313820903341
156,microsoft/swin-base-patch4-window12-384-in22k,0.8957292288551209
157,microsoft/beit-large-patch16-224-pt22k-ft22k,0.933282188329793
158,nielsr/convnext-xlarge-224-22k,0.9429832147070711
159,nickmuchi/vit-finetuned-cats-dogs,0.8802037896581887
160,ismgar01/vit-base-cats-vs-dogs,0.8801503511076231
161,akahana/vit-base-cats-vs-dogs,0.8807693245987235
162,nateraw/vit-base-cats-vs-dogs,0.8812687740453632
163,nateraw/test_model_a,0.8641784188745492
164,Rajaram1996/FacialEmoRecog,0.9032114720345028
165,nateraw/vit-age-classifier,0.8995909260710012
166,ibombonato/vit-age-classifier,0.898569489601987
167,ibombonato/swin-age-classifier,0.8905876081447976
168,matteopilotto/vit-base-patch16-224-in21k-snacks,0.8865074372715218
