,model,score
0,matteopilotto/vit-base-patch16-224-in21k-snacks,1.464975311621913
1,karthiksv/vit-base-beans,1.46884225958064
2,nateraw/vit-base-beans-demo-v2,1.4270055804376511
3,mmekias/vit-base-beans,1.4669023091884128
4,mrm8488/convnext-tiny-finetuned-beans,1.3985996312309794
5,nateraw/vit-base-beans,1.4247878842899695
6,johnnydevriese/vit_beans,1.4672593696748777
7,nickmuchi/vit-base-beans,1.425518956963458
8,nickmuchi/vit-finetuned-cats-dogs,1.4416693753812524
9,nateraw/vit-base-cats-vs-dogs,1.44163081775838
10,nateraw/test_model_a,0.5950630095558722
11,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,1.3977306513674534
12,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,1.459381830450468
13,karthiksv/vit-base-patch16-224-cifar10,1.4596336568978359
14,jadohu/BEiT-finetuned,1.30768129608839
15,Ahmed9275/Vit-Cifar100,1.3255611289611693
16,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,1.4264543064970212
17,nielsr/vit-finetuned-eurosat-kornia,1.4502062695426616
18,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,1.4327129461303798
19,nielsr/convnext-tiny-finetuned-eurosat,1.423174423747355
20,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,1.423045529869114
21,mrm8488/convnext-tiny-finetuned-eurosat,1.4266826581414307
22,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,1.4319281163967048
23,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,1.432663839401414
24,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,1.4288888311807
25,nateraw/vit-base-food101,1.4450284158265276
26,jeffboudier/vision-transformers-spain-or-italy-fan,1.4841490554147185
27,Suzana/new-york-tokyo-london,1.4958399412527683
28,hgarg/fruits,1.443570010728422
29,nateraw/baseball-stadium-foods,1.4414499846512285
30,firas-spanioli/beer-whisky-wine-detection,1.4451133620052588
31,firebolt/llama_or_what2,1.437133599590993
32,Sena/flowers,1.4322447982490303
33,godiec/diam,1.4453460179817057
34,lewtun/oz-fauna,1.4412470692834063
35,jasmeen/dogs,1.4446766068535908
36,nateraw/rare-puppers-new-auth,1.4425345436700354
37,jmarshall/rare-puppers,1.4387346525572866
38,Amrrs/south-indian-foods,1.441840503041817
39,Zayn/VIT_Basic,1.4415137495172416
40,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,1.4458900146062206
41,Frodnar/bee-likes,1.4393899080835126
42,firebolt/llama_or_what,1.422605849016918
43,meame2010/rare-puppers,1.432338494008718
44,b25mayank3/shirt_identifier,1.435237155928462
45,juanfiguera/ice_cream,1.4295830937580831
46,hafidber/fruits,1.4435138912303387
47,Aftabhussain/Tomato_Leaf_Classifier,1.445347947725054
48,nateraw/rare-puppers-demo,1.3618430098894692
49,mmgyorke/vit-world-landmarks,1.4461273623123247
50,drab/Infrastructures,1.4437750998828278
51,mrm8488/vit-base-patch16-224_finetuned-pneumothorax,1.4419773435009233
52,gatecitypreservation/architectural_styles,1.4385760063044017
53,nateraw/trainer-rare-puppers,1.4108498230547184
54,nateraw/doggos-lol,1.362084023036516
55,jaygala24/finetuned-vit-base-patch16-224-upside-down-detector,1.442620124675102
56,AykeeSalazar/vc-bantai-vit-withoutAMBI,1.4445195744832517
57,nateraw/ex-for-evan,1.44348359858418
58,johnnydevriese/vit-airplanes,1.4463328616683953
59,nateraw/planes-trains-automobiles,1.4446867067745757
60,flyswot/test,1.3694899273583019
61,facebook/deit-small-distilled-patch16-224,1.4163517560733112
62,IDEA-CCNL/Taiyi-vit-87M-D,1.4445959049392059
63,facebook/convnext-large-224,1.465918779592812
64,WinKawaks/vit-small-patch16-224,1.3295404115535234
65,facebook/convnext-large-384,1.543966617572039
66,microsoft/swin-large-patch4-window7-224,1.4822244948737193
67,facebook/deit-small-patch16-224,1.3843654517364143
68,microsoft/swin-tiny-patch4-window7-224,1.421896866924044
69,facebook/deit-tiny-distilled-patch16-224,1.378876306853158
70,Ahmed9275/ALL-test,1.4359096576304182
71,facebook/convnext-tiny-224,1.4164017584319595
72,WinKawaks/vit-tiny-patch16-224,1.1009284188336892
73,Visual-Attention-Network/van-large,1.428856302832287
74,facebook/convnext-base-224-22k-1k,1.4319090225019977
75,Visual-Attention-Network/van-tiny,1.414829273004841
76,microsoft/beit-base-patch16-224,1.1978372501890249
77,facebook/convnext-large-384-22k-1k,1.543908978745037
78,microsoft/beit-large-patch16-384,1.1886508463888958
79,facebook/convnext-base-384,1.4343541876231711
80,microsoft/resnet-50,1.3567707388177155
81,facebook/deit-base-patch16-384,1.4400598001793696
82,facebook/convnext-xlarge-224-22k-1k,1.5222872851636566
83,microsoft/swin-large-patch4-window12-384,1.4624755619853431
84,microsoft/swin-base-patch4-window7-224-in22k,1.4383107903627774
85,microsoft/swin-large-patch4-window7-224-in22k,1.5083367706730542
86,AkshatSurolia/ViT-FaceMask-Finetuned,1.3865159300695495
87,AkshatSurolia/BEiT-FaceMask-Finetuned,1.1569722710633528
88,AkshatSurolia/ConvNeXt-FaceMask-Finetuned,1.4169034203835622
89,SriramSridhar78/sriram-car-classifier,1.508315314528545
