,mappedID,model,score
0,73,Aftabhussain/Tomato_Leaf_Classifier,-0.15722477
1,74,Ahmed9275/ALL-3,-0.15722477
2,75,Ahmed9275/ALL-test,-0.15722477
3,76,Ahmed9275/Vit-Cifar100,-0.15722477
4,77,AhmedSayeem/VIT_Basic,-0.15722477
5,78,AkshatSurolia/BEiT-FaceMask-Finetuned,-0.15722477
6,79,AkshatSurolia/ConvNeXt-FaceMask-Finetuned,-0.15722477
7,80,AkshatSurolia/DeiT-FaceMask-Finetuned,-0.15722477
8,81,AkshatSurolia/ViT-FaceMask-Finetuned,-0.15722477
9,82,Amrrs/indian-foods,-0.15722477
10,83,Amrrs/south-indian-foods,-0.15722477
11,84,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,-0.15722477
12,85,AykeeSalazar/vc-bantai-vit-withoutAMBI,-0.15722477
13,86,Calin/convnext-tiny-finteuned-eurosat,-0.15722477
14,87,Frodnar/bee-likes,-0.15722477
15,88,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,-0.15722477
16,89,Giuliano/places,-0.15722477
17,90,HHousen/household-rooms,-0.15722477
18,91,Hijazzi/rare-puppers,-0.15722477
19,92,IDEA-CCNL/Taiyi-vit-87M-D,-0.15722477
20,93,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,-0.15722477
21,94,LorenzoDeMattei/lawn-weeds,-0.15722477
22,95,Matthijs/snacks-classifier,-0.15722477
23,96,Neto71/sea_mammals,-0.15722477
24,97,Nonem100/Test-Model,-0.15722477
25,98,Rajaram1996/FacialEmoRecog,-0.15722477
26,99,Sena/dog,-0.15722477
27,100,Sena/flowers,-0.15722477
28,101,SriramSridhar78/sriram-car-classifier,-0.15722477
29,102,Suzana/new-york-tokyo-london,-0.15722477
30,103,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,-0.15722477
31,104,Symbermine/rare-puppers,-0.15722477
32,105,Visual-Attention-Network/van-base,-0.15722477
33,106,Visual-Attention-Network/van-large,-0.15722477
34,107,Visual-Attention-Network/van-small,-0.15722477
35,108,Visual-Attention-Network/van-tiny,-0.15722477
36,109,WinKawaks/vit-small-patch16-224,-0.15722477
37,110,WinKawaks/vit-tiny-patch16-224,-0.15722477
38,111,Zayn/VIT_Basic,-0.15722477
39,112,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,-0.15722477
40,113,ajanco/greens,-0.15722477
41,114,akahana/vit-base-cats-vs-dogs,-0.15722477
42,115,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,-0.15722477
43,116,b25mayank3/shirt_identifier,-0.15722477
44,117,black/simple_kitchen,-0.15722477
45,118,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,-0.15722477
46,119,drab/Infrastructures,-0.15722477
47,120,driboune/skin_type,-0.15722477
48,121,edixo/road_good_damaged_condition,-0.15722477
49,122,eren23/pneumonia_test_attempt,-0.15722477
50,123,eslamxm/vit-base-food101,-0.15722477
51,124,facebook/convnext-base-224,-0.15722477
52,125,facebook/convnext-base-224-22k,-0.15722477
53,126,facebook/convnext-base-224-22k-1k,-0.15722477
54,127,facebook/convnext-base-384,-0.15722477
55,128,facebook/convnext-base-384-22k-1k,-0.15722477
56,129,facebook/convnext-large-224,-0.15722477
57,130,facebook/convnext-large-224-22k,-0.15722477
58,131,facebook/convnext-large-224-22k-1k,-0.15722477
