,model,score
0,google/vit-base-patch16-224,-106289.81191141333
1,IDEA-CCNL/Taiyi-vit-87M-D,-106289.80346980237
2,facebook/deit-base-patch16-224,-106289.79527415882
3,facebook/deit-base-distilled-patch16-224,-106289.7945953412
4,mrm8488/data2vec-base-finetuned-imagenet1k,-106289.81048969587
5,facebook/convnext-base-224,-106289.81224977074
6,facebook/convnext-small-224,-106289.81435375195
7,microsoft/swin-base-patch4-window7-224,-106289.74021907162
8,microsoft/beit-base-patch16-224,-106289.78606245993
9,facebook/convnext-tiny-224,-106289.82957587566
10,Visual-Attention-Network/van-small,-106289.83210420713
11,WinKawaks/vit-small-patch16-224,-106289.8181160579
12,facebook/deit-small-distilled-patch16-224,-106289.83354433987
13,Visual-Attention-Network/van-base,-106289.78957789473
14,facebook/deit-small-patch16-224,-106289.85381089908
15,microsoft/swin-small-patch4-window7-224,-106289.81942105689
16,Ahmed9275/ALL-3,-106289.82833558926
17,facebook/convnext-large-224,-106289.76548226562
18,WinKawaks/vit-tiny-patch16-224,-106289.83095790271
19,Visual-Attention-Network/van-tiny,-106289.83421751729
20,facebook/deit-tiny-distilled-patch16-224,-106289.82379435899
21,Ahmed9275/ALL-test,-106289.82855844649
22,facebook/deit-tiny-patch16-224,-106289.83373775752
23,microsoft/swin-tiny-patch4-window7-224,-106289.81275892351
24,Visual-Attention-Network/van-large,-106289.81370533176
25,google/vit-base-patch32-384,-106289.73830662109
26,facebook/convnext-base-224-22k-1k,-106289.77616726083
27,google/vit-large-patch32-384,-106289.68162868649
28,microsoft/swin-large-patch4-window7-224,-106289.77568353084
29,lysandre/tiny-vit-random,-106289.8528918355
30,facebook/convnext-large-224-22k-1k,-106289.78043550078
31,facebook/convnext-base-384,-106289.7250106819
32,microsoft/resnet-50,-106289.82609747734
33,microsoft/beit-base-patch16-224-pt22k,-106289.80437953328
34,microsoft/beit-large-patch16-224,-106289.74944230553
35,google/vit-large-patch16-224,-106289.76427644561
36,facebook/convnext-large-384,-106289.68433411699
37,facebook/convnext-large-384-22k-1k,-106289.69590450195
38,nielsr/convnext-xlarge-224-22k-1k,-106289.71211280976
39,facebook/deit-base-patch16-384,-106289.73982572928
40,google/vit-base-patch16-384,-106289.70658108126
41,facebook/deit-base-distilled-patch16-384,-106289.7284142545
42,facebook/convnext-xlarge-224-22k-1k,-106289.73941863223
43,microsoft/beit-large-patch16-384,-106289.67058624967
44,microsoft/swin-large-patch4-window12-384,-106289.71339756623
45,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,-106289.74155501093
46,karthiksv/vit-base-patch16-224-cifar10,-106289.72983035576
47,nateraw/vit-base-patch16-224-cifar10,-106289.73103194477
48,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,-106289.72449655217
49,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,-106289.71046477757
50,jadohu/BEiT-finetuned,-106289.7466638702
51,tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,-106289.72743303099
52,nateraw/vit-base-beans-demo,-106289.70257066668
53,nickmuchi/vit-base-beans,-106289.74734807445
54,karthiksv/vit-base-beans,-106289.76058943057
55,nateraw/vit-base-beans-demo-v3,-106289.73209092056
56,johnnydevriese/vit_beans,-106289.7368555743
57,nateraw/vit-base-beans-demo-v2,-106289.75573669141
58,mmekias/vit-base-beans,-106289.75451894605
59,nateraw/vit-base-beans,-106289.72870539979
60,mrm8488/convnext-tiny-finetuned-beans,-106289.7196884721
61,nielsr/vit-finetuned-eurosat-kornia,-106289.78518339759
62,mrm8488/convnext-tiny-finetuned-eurosat,-106289.8244942904
63,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,-106289.826092083
64,Calin/convnext-tiny-finteuned-eurosat,-106289.82196601178
65,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,-106289.79989191878
66,nielsr/convnext-tiny-finetuned-eurostat,-106289.81599166908
67,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,-106289.83120633895
68,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,-106289.82005521713
69,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,-106289.84597118443
70,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,-106289.83231612318
71,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,-106289.82840723521
72,nielsr/convnext-tiny-finetuned-eurosat,-106289.78973265435
73,nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,-106289.81212547945
74,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,-106289.82230413961
75,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,-106289.79063398112
76,nielsr/van-base-finetuned-eurosat-imgaug,-106289.80844724725
77,mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,-106289.79854930134
78,jemole/swin-tiny-patch4-window7-224-finetuned-eurosat,-106289.84394455049
79,guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,-106289.83968637942
80,eren23/pneumonia_test_attempt,-106289.76776274221
81,nickmuchi/vit-finetuned-chest-xray-pneumonia,-106289.81120761667
82,nickmuchi/vit-base-xray-pneumonia,-106289.75632943862
83,facebook/convnext-base-224-22k,-106289.74024044455
84,microsoft/swin-large-patch4-window7-224-in22k,-106289.72860993643
85,microsoft/swin-base-patch4-window7-224-in22k,-106289.74118319969
86,microsoft/beit-base-patch16-224-pt22k-ft22k,-106289.74164679216
87,facebook/convnext-large-224-22k,-106289.70704156044
88,facebook/convnext-xlarge-224-22k,-106289.6583294106
89,microsoft/swin-base-patch4-window12-384-in22k,-106289.67223122122
90,microsoft/beit-large-patch16-224-pt22k-ft22k,-106289.69008034235
91,nielsr/convnext-xlarge-224-22k,-106289.66191514756
92,nickmuchi/vit-finetuned-cats-dogs,-106289.80607451178
93,ismgar01/vit-base-cats-vs-dogs,-106289.82130544021
94,akahana/vit-base-cats-vs-dogs,-106289.81307704624
95,nateraw/vit-base-cats-vs-dogs,-106289.80852863326
96,nateraw/test_model_a,-106289.83025676332
97,matteopilotto/vit-base-patch16-224-in21k-snacks,-106289.77120498713
98,Matthijs/snacks-classifier,-106289.76600125554
99,nateraw/vit-base-food101,-106289.6981366291
100,eslamxm/vit-base-food101,-106289.7396645672
101,SriramSridhar78/sriram-car-classifier,-106289.75474389168
102,imjeffhi/pokemon_classifier,-106289.72888089108
103,AkshatSurolia/ViT-FaceMask-Finetuned,-106289.79548094055
104,AkshatSurolia/BEiT-FaceMask-Finetuned,-106289.82941410874
105,AkshatSurolia/DeiT-FaceMask-Finetuned,-106289.83121635692
106,Ahmed9275/Vit-Cifar100,-106289.81542711856
