,model,score
0,firebolt/llama_or_what2,-304754.54635662574
1,google/vit-base-patch16-224,-304754.5458861473
2,nateraw/denver-nyc-paris,-304754.53174636624
3,black/simple_kitchen,-304754.53658704716
4,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,-304754.5338972385
5,Suzana/new-york-tokyo-london,-304754.6848684836
6,filipafcastro/beer_vs_wine,-304754.5280401143
7,nateraw/baked-goods,-304754.5314460164
8,ajanco/greens,-304754.5353263736
9,nateraw/vit-base-beans-demo,-304754.52571272117
10,HHousen/household-rooms,-304754.53231837275
11,Amrrs/indian-foods,-304754.52968665387
12,nateraw/planes-trains-automobiles,-304754.5278356429
13,julien-c/hotdog-not-hotdog,-304754.5330882611
14,jmarshall/rare-puppers,-304754.5289406625
15,nielsr/vit-finetuned-eurosat-kornia,-304754.6373460528
16,eren23/pneumonia_test_attempt,-304754.52601644315
17,micole66/dwarf-goats,-304754.539995417
18,nateraw/ex-for-evan,-304754.52802540705
19,karthiksv/vit-base-patch16-224-cifar10,-304754.52962644736
20,ferdinand/rare-puppers,-304754.5868488331
21,ipvikas/rare-puppers,-304754.5284431266
22,Frodnar/bee-likes,-304754.5696518576
23,nickmuchi/vit-base-beans,-304754.5411140348
24,nateraw/baseball-stadium-foods,-304754.53028547816
25,Giuliano/places,-304754.52728154854
26,firas-spanioli/beer-whisky-wine-detection,-304754.52800757985
27,jjhoffstein/lotr,-304754.54567010957
28,Nonem100/Test-Model,-304754.5302324897
29,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,-304754.52729690867
30,LorenzoDeMattei/lawn-weeds,-304754.5297467726
31,nateraw/doggos-lol,-304754.5025399689
32,IDEA-CCNL/Taiyi-vit-87M-D,-304754.5468080336
33,nickmuchi/vit-finetuned-chest-xray-pneumonia,-304754.52714762883
34,karthiksv/vit-base-beans,-304754.5289214489
35,Symbermine/rare-puppers,-304754.5296886204
36,nateraw/vit-base-patch16-224-cifar10,-304754.51424974937
37,gatecitypreservation/architectural_styles,-304754.5346067991
38,Amrrs/south-indian-foods,-304754.53110475553
39,hafidber/fruits,-304754.5272832097
40,nateraw/rare-puppers-123,-304754.52862048073
41,Aftabhussain/Tomato_Leaf_Classifier,-304754.527012027
42,nickmuchi/vit-base-xray-pneumonia,-304754.54294679593
43,Neto71/sea_mammals,-304754.532112302
44,lewtun/oz-fauna,-304754.53208852746
45,hgarg/fruits,-304754.5281792083
46,jasmeen/dogs,-304754.5269409258
47,b25mayank3/shirt_identifier,-304754.537349186
48,jeffboudier/vision-transformers-spain-or-italy-fan,-304754.66786492267
49,facebook/convnext-base-224-22k,-304754.5038707714
50,nickmuchi/vit-finetuned-cats-dogs,-304754.52538433054
51,godiec/diam,-304754.52771448065
52,Rajaram1996/FacialEmoRecog,-304754.5263078946
