,model,score
0,firebolt/llama_or_what2,1.6683828951249824
1,google/vit-base-patch16-224,1.6574339341037438
2,nateraw/denver-nyc-paris,1.6087958051824467
3,black/simple_kitchen,1.644608954291649
4,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,2.0870785431397447
5,Suzana/new-york-tokyo-london,1.6207168228876592
6,filipafcastro/beer_vs_wine,1.6211032370691045
7,nateraw/baked-goods,1.636978084618165
8,ajanco/greens,1.6214229766920072
9,nateraw/vit-base-beans-demo,1.6883174918547939
10,HHousen/household-rooms,1.604926027534753
11,Amrrs/indian-foods,1.6266240262897123
12,nateraw/planes-trains-automobiles,1.6199954765790006
13,julien-c/hotdog-not-hotdog,1.6179436915669898
14,jmarshall/rare-puppers,1.6101460056711447
15,nielsr/vit-finetuned-eurosat-kornia,2.077991564338232
16,eren23/pneumonia_test_attempt,1.689005230448033
17,micole66/dwarf-goats,1.6541923512552552
18,nateraw/ex-for-evan,1.6249824702558984
19,karthiksv/vit-base-patch16-224-cifar10,1.6849172846669562
20,ferdinand/rare-puppers,1.2284629596892147
21,ipvikas/rare-puppers,1.6359703476306828
22,Frodnar/bee-likes,1.6167880352125197
23,nickmuchi/vit-base-beans,1.6826918844512493
24,nateraw/baseball-stadium-foods,1.6036687524614814
25,Giuliano/places,1.6142322372766005
26,firas-spanioli/beer-whisky-wine-detection,1.6170915241100916
27,jjhoffstein/lotr,1.661656822802791
28,Nonem100/Test-Model,1.6351237081334178
29,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,1.6291412830100684
30,LorenzoDeMattei/lawn-weeds,1.6357617280983385
31,nateraw/doggos-lol,1.6190827665653815
32,IDEA-CCNL/Taiyi-vit-87M-D,1.6525985066707074
33,nickmuchi/vit-finetuned-chest-xray-pneumonia,1.6647817362364359
34,karthiksv/vit-base-beans,1.701406171806192
35,Symbermine/rare-puppers,1.6286905633589628
36,nateraw/vit-base-patch16-224-cifar10,1.6564400134162698
37,gatecitypreservation/architectural_styles,1.6500720106561788
38,Amrrs/south-indian-foods,1.6281066353687708
39,hafidber/fruits,1.581818439751708
40,nateraw/rare-puppers-123,1.6036490109315098
41,Aftabhussain/Tomato_Leaf_Classifier,1.6112649525562057
42,nickmuchi/vit-base-xray-pneumonia,1.6541534116705927
43,Neto71/sea_mammals,1.637427166417198
44,lewtun/oz-fauna,1.6244416233940884
45,hgarg/fruits,1.590257024364857
46,jasmeen/dogs,1.6053332261824567
47,b25mayank3/shirt_identifier,1.6624343498848981
48,jeffboudier/vision-transformers-spain-or-italy-fan,1.6427090626159186
49,facebook/convnext-base-224-22k,2.1523300748910064
50,nickmuchi/vit-finetuned-cats-dogs,1.6627094512951617
51,godiec/diam,1.618308538211953
52,Rajaram1996/FacialEmoRecog,1.7308427254705467
53,nateraw/vit-base-beans-demo-v3,1.6810508869982757
54,firebolt/llama_or_what,1.678293053556584
55,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,1.653945540019106
56,johnnydevriese/vit_beans,1.7008254109573757
57,nateraw/vit-age-classifier,1.7125688617300074
58,nateraw/vit-base-beans-demo-v2,1.6934763499909495
59,mmekias/vit-base-beans,1.6909967296138868
60,juanfiguera/ice_cream,1.6678204943245527
61,drab/Infrastructures,1.6115780729700484
62,nateraw/vit-base-beans,1.6799659765214274
63,Sena/dog,1.532832437030824
64,jaygala24/finetuned-vit-base-patch16-224-upside-down-detector,1.6240942544900792
65,hafidber/rare-puppers,1.598565628866468
66,edixo/road_good_damaged_condition,1.6147513414525259
67,AykeeSalazar/vc-bantai-vit-withoutAMBI,1.621686767592668
68,Sena/flowers,1.6660274092570129
69,matteopilotto/vit-base-patch16-224-in21k-snacks,1.6462987441946924
70,johnnydevriese/vit-airplanes,1.6217138094802879
71,nateraw/pasta-shapes,1.602378566937209
72,mrm8488/vit-base-patch16-224_finetuned-pneumothorax,1.6292123570112027
73,hgarg/indian-snacks,1.6417225985728914
74,nateraw/vit-base-food101,1.6384756195488288
75,Hijazzi/rare-puppers,1.623965090466215
76,nateraw/trainer-rare-puppers,1.631518038813888
77,ibombonato/vit-age-classifier,1.7149047543380131
78,nateraw/rare-puppers-new-auth,1.6283265944674712
79,SriramSridhar78/sriram-car-classifier,1.5429695606538099
80,ismgar01/vit-base-cats-vs-dogs,1.6436958638836474
81,nateraw/rare-puppers,1.608060336432776
82,iyzg/computer-stuff,1.6395715284480135
83,nateraw/huggingpics-package-demo-2,1.618768573874143
84,imjeffhi/pokemon_classifier,1.5988610977673483
85,nateraw/pasta-pizza-ravioli,1.6228498107903464
86,akahana/vit-base-cats-vs-dogs,1.634209615552927
87,nateraw/donut-or-bagel,1.6213659577959243
88,nateraw/rare-puppers-09-04-2021,1.6210204807804027
89,nateraw/vit-base-cats-vs-dogs,1.6594332827076075
90,Zayn/VIT_Basic,1.6245423397666778
91,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,1.655813802561359
92,AkshatSurolia/ViT-FaceMask-Finetuned,1.2904018174724188
93,microsoft/swin-large-patch4-window7-224-in22k,2.414221531278711
94,Ahmed9275/Vit-Cifar100,1.5346848049079336
95,driboune/skin_type,1.6132540810402896
96,microsoft/swin-base-patch4-window7-224-in22k,2.235010609074722
97,facebook/deit-base-patch16-224,1.6580711943683406
98,facebook/deit-base-distilled-patch16-224,1.8057594807484545
99,eslamxm/vit-base-food101,1.595236483704345
100,mrm8488/data2vec-base-finetuned-imagenet1k,1.6804698825280662
101,facebook/convnext-base-224,2.224884124505655
102,facebook/convnext-small-224,2.1181249528365296
103,microsoft/swin-base-patch4-window7-224,2.8756111014395156
104,microsoft/beit-base-patch16-224,1.7404680855388168
105,mrm8488/convnext-tiny-finetuned-eurosat,2.2945892101008756
106,mrm8488/convnext-tiny-finetuned-beans,2.1332075438649323
107,facebook/convnext-tiny-224,2.061149133150435
108,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,2.286921659053929
109,microsoft/beit-base-patch16-224-pt22k-ft22k,1.871912860957126
110,AkshatSurolia/ConvNeXt-FaceMask-Finetuned,1.558053663676799
111,Calin/convnext-tiny-finteuned-eurosat,2.07174763344897
112,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,2.018133952229972
113,Visual-Attention-Network/van-small,1.4709151298197236
114,WinKawaks/vit-small-patch16-224,1.4144799132907062
115,facebook/deit-small-distilled-patch16-224,1.648180775894283
116,Visual-Attention-Network/van-base,1.527770119160441
117,jadohu/BEiT-finetuned,1.6701664792203035
118,nielsr/convnext-tiny-finetuned-eurostat,2.0404461148943778
119,facebook/deit-small-patch16-224,1.0363948903126046
120,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,1.899492089042921
121,microsoft/swin-small-patch4-window7-224,2.0448566576691913
122,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,2.1461154918755856
123,Ahmed9275/ALL-3,1.451803555472151
124,facebook/convnext-large-224,3.189432260977897
125,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,2.1754733551310377
126,WinKawaks/vit-tiny-patch16-224,0.8839800759172975
127,Visual-Attention-Network/van-tiny,1.3832442900938178
128,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,2.145619210590054
129,facebook/deit-tiny-distilled-patch16-224,1.3927006185676314
130,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,2.167213624828845
131,nielsr/convnext-tiny-finetuned-eurosat,2.0304754699508205
132,ibombonato/swin-age-classifier,1.5282383945471816
133,Ahmed9275/ALL-test,1.45675634711455
134,nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,2.0391356564719185
135,facebook/deit-tiny-patch16-224,1.174325926807584
136,microsoft/swin-tiny-patch4-window7-224,1.5973991610725955
137,flyswot/test,1.1881276689253797
138,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,2.148068719975223
139,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,2.1395569384148683
140,nielsr/van-base-finetuned-eurosat-imgaug,2.0164931478571173
141,mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,2.143267296391544
142,Visual-Attention-Network/van-large,1.574864232198057
143,Matthijs/snacks-classifier,1.5882702561806719
144,jemole/swin-tiny-patch4-window7-224-finetuned-eurosat,2.145160111485387
145,nateraw/test_model_a,-0.12947526840234858
146,guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,2.150226661394454
147,google/vit-base-patch32-384,1.8159681286099545
148,nateraw/rare-puppers-demo,1.6178193233244622
149,AkshatSurolia/BEiT-FaceMask-Finetuned,0.7092488841474776
150,AkshatSurolia/DeiT-FaceMask-Finetuned,1.633115482639096
151,meame2010/rare-puppers,1.669319712336315
152,facebook/convnext-base-224-22k-1k,2.9558840086322764
153,google/vit-large-patch32-384,3.505904846702615
154,microsoft/swin-large-patch4-window7-224,3.17490469530407
155,mmgyorke/vit-world-landmarks,1.611590825828146
156,lysandre/tiny-vit-random,-0.17598073287779314
157,AhmedSayeem/VIT_Basic,1.626021995638692
158,facebook/convnext-large-224-22k-1k,3.2285099308992162
159,facebook/convnext-base-384,1.9689840101895921
160,microsoft/resnet-50,1.547829155861927
161,microsoft/beit-large-patch16-224,1.9023574074519498
162,facebook/convnext-large-224-22k,3.5181974607960047
163,google/vit-large-patch16-224,3.131381422711298
164,facebook/convnext-large-384,2.89505503373106
165,facebook/convnext-xlarge-224-22k,3.9630027414769717
166,facebook/convnext-large-384-22k-1k,3.852917592210849
167,nielsr/convnext-xlarge-224-22k-1k,5.348642423152203
168,facebook/deit-base-patch16-384,1.8590481071518372
169,google/vit-base-patch16-384,1.798248314285269
170,microsoft/swin-base-patch4-window12-384-in22k,3.313369194103055
171,microsoft/beit-large-patch16-224-pt22k-ft22k,2.1414279991761394
172,facebook/deit-base-distilled-patch16-384,1.988992974345118
173,facebook/convnext-xlarge-224-22k-1k,3.581857484061283
174,nielsr/convnext-xlarge-224-22k,5.050959260619136
175,microsoft/beit-large-patch16-384,1.909261903749103
176,microsoft/swin-large-patch4-window12-384,2.23252316527513
