,model,score
0,google/vit-base-patch16-224,0.7304265318846637
1,IDEA-CCNL/Taiyi-vit-87M-D,0.729779791151092
2,facebook/deit-base-patch16-224,0.7435093003356279
3,facebook/deit-base-distilled-patch16-224,0.733291112271061
4,mrm8488/data2vec-base-finetuned-imagenet1k,0.7182753182407602
5,facebook/convnext-base-224,0.7158776182670117
6,facebook/convnext-small-224,0.7003162792282015
7,microsoft/swin-base-patch4-window7-224,0.7251862897206981
8,microsoft/beit-base-patch16-224,0.7268974836009863
9,facebook/convnext-tiny-224,0.691337219715317
10,Visual-Attention-Network/van-small,0.6978533992921918
11,WinKawaks/vit-small-patch16-224,0.7050172458862853
12,facebook/deit-small-distilled-patch16-224,0.6929146811258104
13,Visual-Attention-Network/van-base,0.7173858204665687
14,facebook/deit-small-patch16-224,0.7078230794182627
15,microsoft/swin-small-patch4-window7-224,0.7235123943834605
16,Ahmed9275/ALL-3,0.7170659312057877
17,facebook/convnext-large-224,0.7750507187030258
18,WinKawaks/vit-tiny-patch16-224,0.6984255446364678
19,Visual-Attention-Network/van-tiny,0.6926876921618628
20,facebook/deit-tiny-distilled-patch16-224,0.6989088681313083
21,Ahmed9275/ALL-test,0.7174452383692682
22,facebook/deit-tiny-patch16-224,0.7092444979634758
23,microsoft/swin-tiny-patch4-window7-224,0.7146655710028896
24,Visual-Attention-Network/van-large,0.7109426970287298
25,google/vit-base-patch32-384,0.8006781093385101
26,facebook/convnext-base-224-22k-1k,0.7287020604877683
27,google/vit-large-patch32-384,0.8883228814895079
28,microsoft/swin-large-patch4-window7-224,0.7702725571596222
29,lysandre/tiny-vit-random,0.6961101227194213
30,facebook/convnext-large-224-22k-1k,0.7595235024284893
31,facebook/convnext-base-384,0.8012600350348017
32,microsoft/resnet-50,0.6983643467009153
33,microsoft/beit-base-patch16-224-pt22k,0.712594696482846
34,microsoft/beit-large-patch16-224,0.800343597968457
35,google/vit-large-patch16-224,0.8180319442492654
36,facebook/convnext-large-384,0.8317411659817783
37,facebook/convnext-large-384-22k-1k,0.8329578356976995
38,microsoft/beit-large-patch16-384,0.874489113107991
39,nielsr/convnext-xlarge-224-22k-1k,0.8211060320994062
40,facebook/deit-base-patch16-384,0.8041220394174532
41,google/vit-base-patch16-384,0.8165470144342222
42,facebook/deit-base-distilled-patch16-384,0.8051930008419587
43,microsoft/swin-large-patch4-window12-384,0.8427331030149415
44,facebook/convnext-xlarge-224-22k-1k,0.8210945384219582
45,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.7523566422238801
46,karthiksv/vit-base-patch16-224-cifar10,0.7503061882909327
47,nateraw/vit-base-patch16-224-cifar10,0.7642548386722131
48,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.7506088034262296
49,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.7662516221923813
50,jadohu/BEiT-finetuned,0.734579762480684
51,tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,0.7537287555877487
52,nateraw/vit-base-beans-demo,0.7815657013979331
53,nickmuchi/vit-base-beans,0.7678630413120165
54,karthiksv/vit-base-beans,0.7797753733023801
55,nateraw/vit-base-beans-demo-v3,0.7683565370697214
56,johnnydevriese/vit_beans,0.765953418396146
57,nateraw/vit-base-beans-demo-v2,0.7682365087555114
58,mmekias/vit-base-beans,0.7797870755033164
59,nateraw/vit-base-beans,0.7813842449161014
