,model,score
0,firebolt/llama_or_what2,1715.2983
1,google/vit-base-patch16-224,1715.3184
2,nateraw/denver-nyc-paris,1715.31
3,black/simple_kitchen,1715.3394
4,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,1715.3511
5,Suzana/new-york-tokyo-london,1715.315
6,filipafcastro/beer_vs_wine,1715.3462
7,nateraw/baked-goods,1715.3623
8,ajanco/greens,1715.3242
9,nateraw/vit-base-beans-demo,1715.2817
10,HHousen/household-rooms,1715.394
11,Amrrs/indian-foods,1715.3364
12,nateraw/planes-trains-automobiles,1715.3511
13,julien-c/hotdog-not-hotdog,1715.3208
14,jmarshall/rare-puppers,1715.3721
15,nielsr/vit-finetuned-eurosat-kornia,1715.3442
16,eren23/pneumonia_test_attempt,1715.3315
17,micole66/dwarf-goats,1715.3789
18,nateraw/ex-for-evan,1715.3105
19,karthiksv/vit-base-patch16-224-cifar10,1715.31
20,ferdinand/rare-puppers,1715.3848
21,ipvikas/rare-puppers,1715.4165
22,Frodnar/bee-likes,1715.2998
23,nickmuchi/vit-base-beans,1715.3442
24,nateraw/baseball-stadium-foods,1715.3936
25,Giuliano/places,1715.377
26,firas-spanioli/beer-whisky-wine-detection,1715.3447
27,jjhoffstein/lotr,1715.3765
28,Nonem100/Test-Model,1715.3135
29,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,1715.377
30,LorenzoDeMattei/lawn-weeds,1715.291
31,nateraw/doggos-lol,1715.3257
32,IDEA-CCNL/Taiyi-vit-87M-D,1715.3496
33,nickmuchi/vit-finetuned-chest-xray-pneumonia,1715.355
34,karthiksv/vit-base-beans,1715.4009
35,Symbermine/rare-puppers,1715.3271
36,nateraw/vit-base-patch16-224-cifar10,1715.3291
37,gatecitypreservation/architectural_styles,1715.356
38,Amrrs/south-indian-foods,1715.3403
39,hafidber/fruits,1715.3296
40,nateraw/rare-puppers-123,1715.3359
41,Aftabhussain/Tomato_Leaf_Classifier,1715.3096
42,nickmuchi/vit-base-xray-pneumonia,1715.3237
43,Neto71/sea_mammals,1715.3599
44,lewtun/oz-fauna,1715.3403
45,hgarg/fruits,1715.3379
46,jasmeen/dogs,1715.3423
47,b25mayank3/shirt_identifier,1715.354
48,jeffboudier/vision-transformers-spain-or-italy-fan,1715.334
49,facebook/convnext-base-224-22k,1715.315
50,nickmuchi/vit-finetuned-cats-dogs,1715.3423
51,godiec/diam,1715.2964
52,Rajaram1996/FacialEmoRecog,1715.3213
53,nateraw/vit-base-beans-demo-v3,1715.2798
54,firebolt/llama_or_what,1715.3037
55,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,1715.31
56,johnnydevriese/vit_beans,1715.2944
57,nateraw/vit-age-classifier,1715.2837
58,nateraw/vit-base-beans-demo-v2,1715.3374
59,mmekias/vit-base-beans,1715.3066
60,juanfiguera/ice_cream,1715.3447
61,drab/Infrastructures,1715.3276
62,nateraw/vit-base-beans,1715.3721
63,Sena/dog,1715.3525
64,jaygala24/finetuned-vit-base-patch16-224-upside-down-detector,1715.2954
65,hafidber/rare-puppers,1715.3032
66,edixo/road_good_damaged_condition,1715.3623
67,AykeeSalazar/vc-bantai-vit-withoutAMBI,1715.3423
68,Sena/flowers,1715.3574
69,matteopilotto/vit-base-patch16-224-in21k-snacks,1715.2603
70,johnnydevriese/vit-airplanes,1715.3545
71,nateraw/pasta-shapes,1715.3491
72,mrm8488/vit-base-patch16-224_finetuned-pneumothorax,1715.3857
73,hgarg/indian-snacks,1715.3008
74,nateraw/vit-base-food101,1715.269
75,Hijazzi/rare-puppers,1715.2715
76,nateraw/trainer-rare-puppers,1715.3481
77,ibombonato/vit-age-classifier,1715.3828
78,nateraw/rare-puppers-new-auth,1715.3398
79,SriramSridhar78/sriram-car-classifier,1715.3252
80,ismgar01/vit-base-cats-vs-dogs,1715.312
81,nateraw/rare-puppers,1715.3096
82,iyzg/computer-stuff,1715.2852
83,nateraw/huggingpics-package-demo-2,1715.3281
84,imjeffhi/pokemon_classifier,1715.3721
85,nateraw/pasta-pizza-ravioli,1715.3301
86,akahana/vit-base-cats-vs-dogs,1715.3115
87,nateraw/donut-or-bagel,1715.3813
88,nateraw/rare-puppers-09-04-2021,1715.4014
89,nateraw/vit-base-cats-vs-dogs,1715.332
90,Zayn/VIT_Basic,1715.3354
91,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,1715.3301
92,AkshatSurolia/ViT-FaceMask-Finetuned,1715.3037
93,microsoft/swin-large-patch4-window7-224-in22k,1715.3296
94,Ahmed9275/Vit-Cifar100,1715.293
95,driboune/skin_type,1715.3442
96,microsoft/swin-base-patch4-window7-224-in22k,1715.3174
97,facebook/deit-base-patch16-224,1715.3291
98,facebook/deit-base-distilled-patch16-224,1715.4688
99,eslamxm/vit-base-food101,1715.3247
100,mrm8488/data2vec-base-finetuned-imagenet1k,1715.2788
101,facebook/convnext-base-224,1715.3428
