,mappedID,model,score
0,73,Aftabhussain/Tomato_Leaf_Classifier,1.3400058
1,74,Ahmed9275/ALL-3,1.7466615
2,75,Ahmed9275/ALL-test,1.9794261
3,76,Ahmed9275/Vit-Cifar100,2.0153294
4,77,AhmedSayeem/VIT_Basic,2.7872548
5,78,AkshatSurolia/BEiT-FaceMask-Finetuned,3.864464
6,79,AkshatSurolia/ConvNeXt-FaceMask-Finetuned,2.7186775
7,80,AkshatSurolia/DeiT-FaceMask-Finetuned,2.7025156
8,81,AkshatSurolia/ViT-FaceMask-Finetuned,2.380889
9,82,Amrrs/indian-foods,1.462839
10,83,Amrrs/south-indian-foods,7.1035285
11,84,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,5.0249968
12,85,AykeeSalazar/vc-bantai-vit-withoutAMBI,2.1058826
13,86,Frodnar/bee-likes,3.796661
14,87,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,2.67486
15,88,Giuliano/places,2.6824303
16,89,HHousen/household-rooms,1.3335121
17,90,Hijazzi/rare-puppers,1.8584788
18,91,IDEA-CCNL/Taiyi-vit-87M-D,1.2001207
19,92,LorenzoDeMattei/lawn-weeds,2.042263
20,93,Matthijs/snacks-classifier,2.6482525
21,94,Neto71/sea_mammals,11.619009
22,95,Nonem100/Test-Model,3.40469
23,96,Rajaram1996/FacialEmoRecog,2.3922012
24,97,Sena/dog,2.230691
25,98,Sena/flowers,2.0048187
26,99,SriramSridhar78/sriram-car-classifier,1.9150743
27,100,Suzana/new-york-tokyo-london,2.064609
28,101,Symbermine/rare-puppers,4.224235
29,102,Visual-Attention-Network/van-base,1.6122968
30,103,Visual-Attention-Network/van-large,3.3267584
31,104,Visual-Attention-Network/van-small,1.9184651
32,105,Visual-Attention-Network/van-tiny,1.7787948
33,106,Zayn/VIT_Basic,2.3427248
34,107,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,2.4923413
35,108,ajanco/greens,2.5186725
36,109,akahana/vit-base-cats-vs-dogs,3.0970383
37,110,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,11.780872
38,111,b25mayank3/shirt_identifier,2.4298878
39,112,black/simple_kitchen,1.6804452
40,113,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,1.7769465
41,114,drab/Infrastructures,2.1869717
42,115,driboune/skin_type,2.4299185
43,116,edixo/road_good_damaged_condition,2.6870966
44,117,eren23/pneumonia_test_attempt,2.415244
45,118,eslamxm/vit-base-food101,2.7456837
46,119,facebook/convnext-base-224,2.1825805
47,120,facebook/convnext-base-224-22k,5.8341775
48,121,facebook/convnext-base-224-22k-1k,1.379719
49,122,facebook/convnext-base-384,2.1010017
50,123,facebook/convnext-base-384-22k-1k,1.9999939
51,124,facebook/convnext-large-224,1.7494373
52,125,facebook/convnext-large-224-22k,4.59278
53,126,facebook/convnext-large-224-22k-1k,2.962976
54,127,facebook/convnext-large-384,1.5173336
55,128,facebook/convnext-large-384-22k-1k,2.1047444
56,129,facebook/convnext-small-224,3.380226
57,130,facebook/convnext-tiny-224,2.0193083
58,131,facebook/convnext-xlarge-224-22k,2.4165585
59,132,facebook/deit-base-distilled-patch16-224,17.399694
60,133,facebook/deit-base-distilled-patch16-384,2.3025022
61,134,facebook/deit-base-patch16-224,1.5468969
62,135,facebook/deit-base-patch16-384,2.0650582
63,136,facebook/deit-small-distilled-patch16-224,1.8539641
64,137,facebook/deit-small-patch16-224,1.5193172
65,138,facebook/deit-tiny-distilled-patch16-224,2.2123036
66,139,facebook/deit-tiny-patch16-224,2.2301557
67,140,ferdinand/rare-puppers,15.728758
68,141,filipafcastro/beer_vs_wine,1.2423031
69,142,firas-spanioli/beer-whisky-wine-detection,1.9123061
70,143,firebolt/llama_or_what,7.0936794
71,144,firebolt/llama_or_what2,1.782532
72,145,gatecitypreservation/architectural_styles,2.525947
73,146,godiec/diam,2.8815002
74,147,google/vit-base-patch16-224,1.662919
75,148,google/vit-base-patch16-384,1.9404466
76,149,google/vit-base-patch32-384,7.034421
77,150,google/vit-large-patch16-224,3.6806626
78,151,google/vit-large-patch32-384,1.7199264
79,152,guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,2.602572
80,153,hafidber/fruits,2.5677428
81,154,hafidber/rare-puppers,2.4643414
82,155,hgarg/fruits,2.0370047
83,156,hgarg/indian-snacks,5.752169
84,157,ibombonato/swin-age-classifier,2.4020782
85,158,ibombonato/vit-age-classifier,2.608451
86,159,imjeffhi/pokemon_classifier,2.5222697
87,160,ipvikas/rare-puppers,13.947238
88,161,ismgar01/vit-base-cats-vs-dogs,2.2923973
89,162,iyzg/computer-stuff,2.6376543
90,163,jadohu/BEiT-finetuned,2.0436618
91,164,jasmeen/dogs,2.2732553
92,165,jaygala24/finetuned-vit-base-patch16-224-upside-down-detector,11.632213
93,166,jeffboudier/vision-transformers-spain-or-italy-fan,2.0910225
94,167,jemole/swin-tiny-patch4-window7-224-finetuned-eurosat,2.4901164
95,168,jjhoffstein/lotr,2.2890348
96,169,jmarshall/rare-puppers,3.622922
97,170,johnnydevriese/vit-airplanes,2.0949159
98,171,juanfiguera/ice_cream,2.114358
99,172,julien-c/hotdog-not-hotdog,2.6596923
100,173,lewtun/oz-fauna,2.3559222
101,174,matteopilotto/vit-base-patch16-224-in21k-snacks,2.2611165
102,175,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,2.619482
103,176,meame2010/rare-puppers,2.9159431
104,177,mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,2.2874184
105,178,michaelbenayoun/vit-base-beans,2.242661
106,179,micole66/dwarf-goats,1.5505893
107,180,microsoft/beit-large-patch16-384,1.9784713
108,181,microsoft/swin-base-patch4-window12-384,3.055134
109,182,microsoft/swin-base-patch4-window12-384-in22k,2.8573275
