,model,score
0,Rajaram1996/FacialEmoRecog,0.823931046347846
1,matteopilotto/vit-base-patch16-224-in21k-snacks,0.7897425303232377
2,Matthijs/snacks-classifier,0.8211093371988039
3,ibombonato/vit-age-classifier,0.8414048029075312
4,ibombonato/swin-age-classifier,0.8294206216154294
5,karthiksv/vit-base-beans,0.8222952072612763
6,nateraw/vit-base-beans-demo-v2,0.8268596390546941
7,mmekias/vit-base-beans,0.8267428955522456
8,mrm8488/convnext-tiny-finetuned-beans,0.7848289569719926
9,nateraw/vit-base-beans,0.8629796201213566
10,johnnydevriese/vit_beans,0.8319098888381511
11,nickmuchi/vit-base-beans,0.8278374126939334
12,nateraw/vit-base-beans-demo,0.8714567831089999
13,nickmuchi/vit-finetuned-cats-dogs,0.8012771376198413
14,ismgar01/vit-base-cats-vs-dogs,0.8355126303055695
15,nateraw/vit-base-cats-vs-dogs,0.8508291251123716
16,akahana/vit-base-cats-vs-dogs,0.7653043150816493
17,nateraw/test_model_a,-0.034650598656321696
18,eren23/pneumonia_test_attempt,0.836770526746399
19,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.8659176668633393
20,nickmuchi/vit-base-xray-pneumonia,0.8272256376042237
21,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.8395305751180129
22,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.8030804280474195
23,karthiksv/vit-base-patch16-224-cifar10,0.8165864505669196
24,tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,0.8719599772883455
25,nateraw/vit-base-patch16-224-cifar10,0.8666284168614702
26,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.8526726140771694
27,jadohu/BEiT-finetuned,0.665237617022228
28,Ahmed9275/Vit-Cifar100,0.7170210981147659
29,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,0.8203002138276171
30,nielsr/vit-finetuned-eurosat-kornia,0.8356786501360284
31,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7890772945133078
32,nielsr/convnext-tiny-finetuned-eurosat,0.8243628320066709
33,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,0.8541053339811815
34,mrm8488/convnext-tiny-finetuned-eurosat,0.8368898259824357
35,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8380099745826051
36,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7915945788928497
37,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8395635201383203
38,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7889234500406445
39,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7759442607072318
40,nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,0.7994091191838468
41,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8331055131588326
42,jemole/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7621062402307494
43,mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8195596501406306
44,nateraw/vit-base-food101,0.8295769160602462
45,eslamxm/vit-base-food101,0.8047156275954898
46,driboune/skin_type,0.8424096772341443
47,nateraw/denver-nyc-paris,0.7578186250938865
48,nateraw/huggingpics-package-demo-2,0.8356380118497242
49,jeffboudier/vision-transformers-spain-or-italy-fan,0.8326511811184312
50,Suzana/new-york-tokyo-london,0.8137737948513466
51,nateraw/rare-puppers,0.8560701585384338
52,hgarg/fruits,0.8468031240655025
53,filipafcastro/beer_vs_wine,0.8916343445309773
54,nateraw/baseball-stadium-foods,0.8093142271272291
55,ipvikas/rare-puppers,0.829964829355486
56,nateraw/pasta-pizza-ravioli,0.7784321279778867
57,nateraw/rare-puppers-09-04-2021,0.8267962774568776
58,firas-spanioli/beer-whisky-wine-detection,0.8440040293360107
59,LorenzoDeMattei/lawn-weeds,0.8310156599717374
60,hgarg/indian-snacks,0.8544635447154288
61,nateraw/pasta-shapes,0.8570361079272518
62,firebolt/llama_or_what2,0.8469448894008988
63,nateraw/donut-or-bagel,0.8524699362571009
64,Giuliano/places,0.8424395560845486
65,Sena/flowers,0.8733253074695033
66,godiec/diam,0.8274812646943579
67,lewtun/oz-fauna,0.8955506728898357
68,iyzg/computer-stuff,0.7910370361248023
69,julien-c/hotdog-not-hotdog,0.8171728435787616
70,jjhoffstein/lotr,0.7890276110475853
71,jasmeen/dogs,0.8274390346253011
72,nateraw/rare-puppers-new-auth,0.8198363204256447
73,jmarshall/rare-puppers,0.8433599822105537
74,ferdinand/rare-puppers,0.8293351442577147
75,Amrrs/south-indian-foods,0.8441270198798516
76,Zayn/VIT_Basic,0.8256377450730334
77,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,0.8072932573403668
78,Frodnar/bee-likes,0.8242311877462762
79,firebolt/llama_or_what,0.8249040936596811
80,meame2010/rare-puppers,0.8537509434432529
81,hafidber/rare-puppers,0.7873502375119376
82,b25mayank3/shirt_identifier,0.8438591726502707
83,Neto71/sea_mammals,0.83999781338379
84,juanfiguera/ice_cream,0.8066691514602508
85,hafidber/fruits,0.8530254171753875
86,Aftabhussain/Tomato_Leaf_Classifier,0.8203161802492683
87,HHousen/household-rooms,0.8390665333925212
88,nateraw/rare-puppers-demo,0.8477386676734133
89,Hijazzi/rare-puppers,0.8601024295257924
90,mmgyorke/vit-world-landmarks,0.8145082946834531
91,Sena/dog,0.8535446520133751
92,drab/Infrastructures,0.8466212539013684
93,Symbermine/rare-puppers,0.8094922036385928
94,black/simple_kitchen,0.8477094946800126
95,mrm8488/vit-base-patch16-224_finetuned-pneumothorax,0.8604204236935833
96,gatecitypreservation/architectural_styles,0.8479881598794301
97,Nonem100/Test-Model,0.8204577876617934
98,nateraw/trainer-rare-puppers,0.7820247311834735
99,nateraw/doggos-lol,0.7701233593240636
100,jaygala24/finetuned-vit-base-patch16-224-upside-down-detector,0.8348525903430806
101,AykeeSalazar/vc-bantai-vit-withoutAMBI,0.8400478572987862
102,edixo/road_good_damaged_condition,0.8107956837345809
103,nateraw/ex-for-evan,0.8048444700952391
104,johnnydevriese/vit-airplanes,0.8117921576939576
105,AhmedSayeem/VIT_Basic,0.8867749607716418
