,model,score
0,firebolt/llama_or_what2,0.7602624697478105
1,google/vit-base-patch16-224,0.8139373372385972
2,nateraw/denver-nyc-paris,0.7633944516036008
3,black/simple_kitchen,0.7535750978659542
4,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.7459718580809975
5,Suzana/new-york-tokyo-london,0.7902776165164926
6,filipafcastro/beer_vs_wine,0.7497246753281668
7,nateraw/baked-goods,0.7273213759669939
8,ajanco/greens,0.754699416416834
9,nateraw/vit-base-beans-demo,0.7467989354620399
10,HHousen/household-rooms,0.772489464563517
11,Amrrs/indian-foods,0.8294609747574117
12,nateraw/planes-trains-automobiles,0.79574480755998
13,julien-c/hotdog-not-hotdog,0.755909080100716
14,jmarshall/rare-puppers,0.7888281826841126
15,nielsr/vit-finetuned-eurosat-kornia,0.7598054704971344
16,eren23/pneumonia_test_attempt,0.8024929273288233
17,micole66/dwarf-goats,0.7417349865026867
18,nateraw/ex-for-evan,0.7229341409311328
19,karthiksv/vit-base-patch16-224-cifar10,0.8052655054637858
20,ferdinand/rare-puppers,0.8288336377698103
21,ipvikas/rare-puppers,0.727187032281399
22,Frodnar/bee-likes,0.7557685090616234
23,nickmuchi/vit-base-beans,0.769256574589904
24,nateraw/baseball-stadium-foods,0.8517564009298855
25,Giuliano/places,0.7792020875111425
26,firas-spanioli/beer-whisky-wine-detection,0.7833723817470528
27,jjhoffstein/lotr,0.7659198789420417
28,Nonem100/Test-Model,0.7915300484821887
29,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,0.7424474433982442
30,LorenzoDeMattei/lawn-weeds,0.7779436858890533
31,nateraw/doggos-lol,0.6813851852404885
32,IDEA-CCNL/Taiyi-vit-87M-D,0.6978964447400897
33,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.7293116210147084
34,karthiksv/vit-base-beans,0.8099380203557061
35,Symbermine/rare-puppers,0.71259186385275
36,nateraw/vit-base-patch16-224-cifar10,0.7109100013170473
37,gatecitypreservation/architectural_styles,0.7833490976329018
38,Amrrs/south-indian-foods,0.7535136916995022
39,hafidber/fruits,0.7888061677021694
40,nateraw/rare-puppers-123,0.7716084868708559
41,Aftabhussain/Tomato_Leaf_Classifier,1.0018247242838996
42,nickmuchi/vit-base-xray-pneumonia,0.8133982642228269
43,Neto71/sea_mammals,0.7717511065826687
44,lewtun/oz-fauna,0.7862485939896305
45,hgarg/fruits,0.7325466710632094
46,jasmeen/dogs,0.7553927465654979
47,b25mayank3/shirt_identifier,0.7085425463052017
48,jeffboudier/vision-transformers-spain-or-italy-fan,0.7737769886660518
49,facebook/convnext-base-224-22k,0.7988342826385617
50,nickmuchi/vit-finetuned-cats-dogs,0.7387146333757862
51,godiec/diam,0.7421383526863781
52,Rajaram1996/FacialEmoRecog,0.6774456868574501
53,nateraw/vit-base-beans-demo-v3,0.8414449043674036
54,firebolt/llama_or_what,0.7391376202724091
55,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.7015153026906721
56,johnnydevriese/vit_beans,0.7602078268130116
57,nateraw/vit-age-classifier,0.7900974347231712
58,nateraw/vit-base-beans-demo-v2,0.7709754640260418
59,mmekias/vit-base-beans,0.7871276284892449
60,juanfiguera/ice_cream,0.7950261886928448
61,drab/Infrastructures,0.7459898983835428
62,nateraw/vit-base-beans,0.7916528473951743
63,Sena/dog,0.43837592262480374
64,jaygala24/finetuned-vit-base-patch16-224-upside-down-detector,0.7754807631947864
65,hafidber/rare-puppers,0.7250860268251087
66,edixo/road_good_damaged_condition,0.8574148358111746
67,AykeeSalazar/vc-bantai-vit-withoutAMBI,0.7370833882585733
68,Sena/flowers,0.7391964430688449
69,matteopilotto/vit-base-patch16-224-in21k-snacks,0.8808308806616004
70,johnnydevriese/vit-airplanes,0.7440258305632015
71,nateraw/pasta-shapes,0.7275581860844929
72,mrm8488/vit-base-patch16-224_finetuned-pneumothorax,0.7580083510881535
73,hgarg/indian-snacks,0.9632720878060035
74,nateraw/vit-base-food101,0.6791004033328581
75,Hijazzi/rare-puppers,0.7497798050202037
76,nateraw/trainer-rare-puppers,0.657332527854731
77,ibombonato/vit-age-classifier,0.697067239666233
78,nateraw/rare-puppers-new-auth,0.7584647172744329
79,SriramSridhar78/sriram-car-classifier,0.7325889513565592
80,ismgar01/vit-base-cats-vs-dogs,0.6957017294512577
81,nateraw/rare-puppers,0.7573940134847306
82,iyzg/computer-stuff,0.8061862825152681
83,nateraw/huggingpics-package-demo-2,0.5950651763886875
84,imjeffhi/pokemon_classifier,0.6072498111206641
85,nateraw/pasta-pizza-ravioli,0.717405806868798
86,akahana/vit-base-cats-vs-dogs,0.7614247860416252
87,nateraw/donut-or-bagel,0.7445172152112107
88,nateraw/rare-puppers-09-04-2021,0.683873872001008
89,nateraw/vit-base-cats-vs-dogs,0.8196050551047044
90,Zayn/VIT_Basic,0.7630984315852908
91,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.7655581508098479
92,AkshatSurolia/ViT-FaceMask-Finetuned,0.584322276406097
93,microsoft/swin-large-patch4-window7-224-in22k,0.9084262962267817
94,Ahmed9275/Vit-Cifar100,0.7308105463560647
95,driboune/skin_type,1.050515899895507
96,microsoft/swin-base-patch4-window7-224-in22k,0.7871165842498193
97,facebook/deit-base-patch16-224,0.7725405619081138
98,facebook/deit-base-distilled-patch16-224,0.7879423019044403
99,eslamxm/vit-base-food101,0.670537266395203
100,mrm8488/data2vec-base-finetuned-imagenet1k,0.5097072665051692
101,facebook/convnext-base-224,0.7673661674347872
102,facebook/convnext-small-224,0.7669579277051154
103,microsoft/swin-base-patch4-window7-224,0.7842854614519913
104,microsoft/beit-base-patch16-224,0.34130913742976304
105,mrm8488/convnext-tiny-finetuned-eurosat,0.7726928865533402
106,mrm8488/convnext-tiny-finetuned-beans,0.8007317214037453
107,facebook/convnext-tiny-224,0.6482242330708399
108,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,0.7815038402678718
109,microsoft/beit-base-patch16-224-pt22k-ft22k,0.598356203262934
110,AkshatSurolia/ConvNeXt-FaceMask-Finetuned,0.7533397264003723
111,Calin/convnext-tiny-finteuned-eurosat,0.7708476103907677
112,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,0.8037299269121236
113,Visual-Attention-Network/van-small,0.7158815312678115
114,WinKawaks/vit-small-patch16-224,0.862761626646869
115,facebook/deit-small-distilled-patch16-224,0.6817990020134546
116,Visual-Attention-Network/van-base,0.7348344231254571
117,jadohu/BEiT-finetuned,0.7946989648502903
118,nielsr/convnext-tiny-finetuned-eurostat,0.6555696325246505
119,facebook/deit-small-patch16-224,0.7226954549598209
120,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7100510968531831
121,microsoft/swin-small-patch4-window7-224,0.7524799159734874
122,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,0.6995782672974084
123,Ahmed9275/ALL-3,0.8122231460516303
124,facebook/convnext-large-224,0.8061209104210939
125,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7720659044389118
126,WinKawaks/vit-tiny-patch16-224,0.6610966346703749
127,Visual-Attention-Network/van-tiny,0.6839728000338571
128,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,0.664844613464937
129,facebook/deit-tiny-distilled-patch16-224,0.6707883353410359
130,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8157538741269486
131,nielsr/convnext-tiny-finetuned-eurosat,0.5787612341567873
132,ibombonato/swin-age-classifier,0.746626126419956
133,Ahmed9275/ALL-test,0.7050315112892493
134,nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,0.7207826262402809
135,facebook/deit-tiny-patch16-224,0.6042280371995219
136,microsoft/swin-tiny-patch4-window7-224,0.7851755385262483
137,flyswot/test,0.5510845904894275
138,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7304907436735742
139,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7584043651749732
140,nielsr/van-base-finetuned-eurosat-imgaug,0.801724842028254
141,mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7133462053113874
142,Visual-Attention-Network/van-large,0.6355246642060034
143,Matthijs/snacks-classifier,0.735840822895211
144,jemole/swin-tiny-patch4-window7-224-finetuned-eurosat,0.6564671916722298
145,nateraw/test_model_a,-0.008850028668333954
146,guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7714338188961781
147,google/vit-base-patch32-384,0.6957680058453695
148,nateraw/rare-puppers-demo,0.7122922633219276
149,AkshatSurolia/BEiT-FaceMask-Finetuned,0.5080352430055133
150,AkshatSurolia/DeiT-FaceMask-Finetuned,0.6333986077239537
151,meame2010/rare-puppers,0.9387006096705233
152,facebook/convnext-base-224-22k-1k,0.8150446058826628
153,google/vit-large-patch32-384,0.5761222769670484
154,microsoft/swin-large-patch4-window7-224,0.7956389090208696
155,mmgyorke/vit-world-landmarks,0.898762669556704
156,lysandre/tiny-vit-random,-0.11487333456691085
157,AhmedSayeem/VIT_Basic,0.5957181484466931
158,facebook/convnext-large-224-22k-1k,0.7624772558679525
159,tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,0.7313780794244887
160,facebook/convnext-base-384,0.8731863802350548
161,microsoft/resnet-50,0.6651266254551131
162,microsoft/beit-base-patch16-224-pt22k,0.6911074989254243
163,microsoft/beit-large-patch16-224,0.4710829053106829
164,facebook/convnext-large-224-22k,0.8054392314351887
165,google/vit-large-patch16-224,0.7478460441997039
166,facebook/convnext-large-384,0.7481219570862983
167,facebook/convnext-xlarge-224-22k,0.8305683801077699
168,facebook/convnext-large-384-22k-1k,0.8165562237158493
169,nielsr/convnext-xlarge-224-22k-1k,0.8426730776398672
170,facebook/deit-base-patch16-384,0.7102202224140919
171,google/vit-base-patch16-384,0.8047841103792253
172,microsoft/swin-base-patch4-window12-384-in22k,0.8836511323727136
173,microsoft/beit-large-patch16-224-pt22k-ft22k,0.4458610967754316
174,facebook/deit-base-distilled-patch16-384,0.7773034925041956
175,facebook/convnext-xlarge-224-22k-1k,0.8133163223464919
176,nielsr/convnext-xlarge-224-22k,0.8519801741818249
177,microsoft/beit-large-patch16-384,0.3622562690968631
178,microsoft/swin-large-patch4-window12-384,0.9055803735726621
