,model,score
0,google/vit-base-patch16-224,0.7395874802813927
1,IDEA-CCNL/Taiyi-vit-87M-D,0.7915982917326826
2,facebook/deit-base-patch16-224,0.7821835616706962
3,facebook/deit-base-distilled-patch16-224,0.775283532791673
4,mrm8488/data2vec-base-finetuned-imagenet1k,0.7619035275186531
5,facebook/convnext-base-224,0.8005453860057153
6,facebook/convnext-small-224,0.746891838651822
7,microsoft/swin-base-patch4-window7-224,0.820571139874646
8,microsoft/beit-base-patch16-224,0.5300522052323517
9,facebook/convnext-tiny-224,0.7990299992682051
10,Visual-Attention-Network/van-small,0.7193789939378576
11,WinKawaks/vit-small-patch16-224,0.7297965310694591
12,facebook/deit-small-distilled-patch16-224,0.7155953481922417
13,Visual-Attention-Network/van-base,0.7328201018766007
14,facebook/deit-small-patch16-224,0.7395303261394149
15,microsoft/swin-small-patch4-window7-224,0.6622861602601124
16,Ahmed9275/ALL-3,0.7541821082557576
17,facebook/convnext-large-224,0.7949403159413571
18,WinKawaks/vit-tiny-patch16-224,0.5142357550968868
19,Visual-Attention-Network/van-tiny,0.6027250810473095
20,facebook/deit-tiny-distilled-patch16-224,0.6584660460463632
21,Ahmed9275/ALL-test,0.7418747393663507
22,facebook/deit-tiny-patch16-224,0.6200371468042869
23,microsoft/swin-tiny-patch4-window7-224,0.7246663281999739
24,Visual-Attention-Network/van-large,0.7927033343518051
25,google/vit-base-patch32-384,0.7176191419107156
26,facebook/convnext-base-224-22k-1k,0.7778179411579766
27,google/vit-large-patch32-384,0.8161607531794035
28,microsoft/swin-large-patch4-window7-224,0.8024288064255571
29,lysandre/tiny-vit-random,-0.10018074336114047
30,facebook/convnext-large-224-22k-1k,0.8721985867043839
31,facebook/convnext-base-384,0.8563798186397825
32,microsoft/resnet-50,0.6558351584684139
33,microsoft/beit-base-patch16-224-pt22k,0.3734288877618283
34,microsoft/beit-large-patch16-224,0.789512741031708
35,google/vit-large-patch16-224,0.7526897405904056
36,facebook/convnext-large-384,0.8310306421090792
37,facebook/convnext-large-384-22k-1k,0.853571589555872
38,nielsr/convnext-xlarge-224-22k-1k,0.9007424923637465
39,facebook/deit-base-patch16-384,0.8676395267091366
40,google/vit-base-patch16-384,0.7995656532742075
41,facebook/deit-base-distilled-patch16-384,0.924188468460856
42,facebook/convnext-xlarge-224-22k-1k,0.9209914029424006
43,microsoft/beit-large-patch16-384,0.5636292633474628
44,microsoft/swin-large-patch4-window12-384,0.9379084830423764
45,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.9117395568398644
46,karthiksv/vit-base-patch16-224-cifar10,0.6750031694174277
47,nateraw/vit-base-patch16-224-cifar10,0.7793641669439543
48,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.7443119459683818
49,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.7998692589562056
50,jadohu/BEiT-finetuned,0.5808010375603445
51,tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,0.7795797227211545
52,nateraw/vit-base-beans-demo,0.7619800290444512
53,nickmuchi/vit-base-beans,0.7506435893314523
54,karthiksv/vit-base-beans,0.7800092328040702
55,nateraw/vit-base-beans-demo-v3,0.7440281056989525
56,johnnydevriese/vit_beans,0.7626387230313189
57,nateraw/vit-base-beans-demo-v2,0.778106616193645
58,mmekias/vit-base-beans,0.7455755117395095
59,nateraw/vit-base-beans,0.730184966283489
60,mrm8488/convnext-tiny-finetuned-beans,0.7759806912978632
61,nielsr/vit-finetuned-eurosat-kornia,0.7528708034977718
62,mrm8488/convnext-tiny-finetuned-eurosat,0.6889417081070945
63,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,0.7255775911297465
64,Calin/convnext-tiny-finteuned-eurosat,0.7092140958870747
65,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,0.7453059413693279
66,nielsr/convnext-tiny-finetuned-eurostat,0.7578043891611366
67,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,0.6936723533177093
68,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7305944859654314
69,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,0.6872428764690186
70,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,0.6884345944491737
71,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,0.6745516062209167
72,nielsr/convnext-tiny-finetuned-eurosat,0.7628131808432393
73,nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,0.738320587600392
74,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,0.6722344638697242
75,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,0.6833706129238424
76,nielsr/van-base-finetuned-eurosat-imgaug,0.7644014217264393
77,mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7235233909013251
78,jemole/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7243175914171264
79,guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,0.6991078689953316
80,eren23/pneumonia_test_attempt,0.749955056842126
81,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.7191535395867992
82,nickmuchi/vit-base-xray-pneumonia,0.7553828003826153
83,facebook/convnext-base-224-22k,0.8110194027610754
84,microsoft/swin-large-patch4-window7-224-in22k,0.8106168933105753
85,microsoft/swin-base-patch4-window7-224-in22k,0.7895882354035221
86,microsoft/beit-base-patch16-224-pt22k-ft22k,0.6738082939167386
87,facebook/convnext-large-224-22k,0.8398154878239203
88,facebook/convnext-xlarge-224-22k,0.5621818912762995
89,microsoft/swin-base-patch4-window12-384-in22k,0.9149459771185002
90,microsoft/beit-large-patch16-224-pt22k-ft22k,0.6099934309571433
91,nielsr/convnext-xlarge-224-22k,0.9165625737117152
92,nickmuchi/vit-finetuned-cats-dogs,0.7845102892523365
93,ismgar01/vit-base-cats-vs-dogs,0.7235333903003827
94,akahana/vit-base-cats-vs-dogs,0.7438244510327567
95,nateraw/vit-base-cats-vs-dogs,0.7704442454114013
96,nateraw/test_model_a,-0.07756989974402007
97,matteopilotto/vit-base-patch16-224-in21k-snacks,0.7877855219958252
98,Matthijs/snacks-classifier,0.7525072088038458
99,nateraw/vit-base-food101,0.7627165401996776
100,eslamxm/vit-base-food101,0.7077739513369543
101,SriramSridhar78/sriram-car-classifier,0.7904121733056747
102,imjeffhi/pokemon_classifier,0.7655218183615864
103,AkshatSurolia/ViT-FaceMask-Finetuned,0.673342389730641
104,AkshatSurolia/BEiT-FaceMask-Finetuned,0.3146412113825907
105,AkshatSurolia/DeiT-FaceMask-Finetuned,0.7450201901614717
106,Ahmed9275/Vit-Cifar100,0.7174590514083099
