,model,score
0,google/vit-base-patch16-224,0.815661754829099
1,IDEA-CCNL/Taiyi-vit-87M-D,0.7960350171872905
2,facebook/deit-base-patch16-224,0.8403974859357356
3,facebook/deit-base-distilled-patch16-224,0.7274803911792718
4,mrm8488/data2vec-base-finetuned-imagenet1k,0.8123923644270528
5,facebook/convnext-base-224,0.7881936174278843
6,facebook/convnext-small-224,0.8183589728185665
7,microsoft/swin-base-patch4-window7-224,0.8429366910822981
8,microsoft/beit-base-patch16-224,0.5663056395769062
9,facebook/convnext-tiny-224,0.8640380626185207
10,Visual-Attention-Network/van-small,0.7740323525414704
11,WinKawaks/vit-small-patch16-224,0.756817017096211
12,facebook/deit-small-distilled-patch16-224,0.7033366988903116
13,Visual-Attention-Network/van-base,0.8063667873302609
14,facebook/deit-small-patch16-224,0.7944620154661521
15,microsoft/swin-small-patch4-window7-224,0.6025565576284656
16,Ahmed9275/ALL-3,0.7751941813518197
17,facebook/convnext-large-224,0.8904243157912684
18,WinKawaks/vit-tiny-patch16-224,0.7540996071781304
19,Visual-Attention-Network/van-tiny,0.7880655320499743
20,facebook/deit-tiny-distilled-patch16-224,0.7656706452898464
21,Ahmed9275/ALL-test,0.7129248467665621
22,facebook/deit-tiny-patch16-224,0.6315378062738795
23,microsoft/swin-tiny-patch4-window7-224,0.7238400405614989
24,Visual-Attention-Network/van-large,0.8174539058718635
25,google/vit-base-patch32-384,0.9056011018201228
26,facebook/convnext-base-224-22k-1k,0.7066761418738963
27,google/vit-large-patch32-384,0.926484752532841
28,microsoft/swin-large-patch4-window7-224,0.8345185066663315
29,lysandre/tiny-vit-random,0.49018114988271705
30,facebook/convnext-large-224-22k-1k,0.819003304593557
31,facebook/convnext-base-384,0.8210844906325814
32,microsoft/resnet-50,0.7780573649577023
33,microsoft/beit-base-patch16-224-pt22k,0.7731372978266979
34,microsoft/beit-large-patch16-224,0.7016987131991641
35,google/vit-large-patch16-224,0.852023661046808
36,facebook/convnext-large-384,0.9438895009436115
37,facebook/convnext-large-384-22k-1k,0.9158295610387676
38,nielsr/convnext-xlarge-224-22k-1k,0.8649274949534119
39,facebook/deit-base-patch16-384,0.8210598091767463
40,google/vit-base-patch16-384,0.7302463789029972
41,facebook/deit-base-distilled-patch16-384,0.8517417171314574
42,facebook/convnext-xlarge-224-22k-1k,0.8877054869251045
43,microsoft/beit-large-patch16-384,0.7225589776344242
44,microsoft/swin-large-patch4-window12-384,0.8784772809906277
