,model,score
0,firebolt/llama_or_what2,0.7780843157737304
1,google/vit-base-patch16-224,0.8321042546876328
2,nateraw/denver-nyc-paris,0.8122383190610509
3,black/simple_kitchen,0.7943526309951653
4,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.7810383967229407
5,Suzana/new-york-tokyo-london,0.780474580676637
6,filipafcastro/beer_vs_wine,0.8159797758718986
7,nateraw/baked-goods,0.8054729818393402
8,ajanco/greens,0.7620106608390848
9,nateraw/vit-base-beans-demo,0.7025850717161662
10,HHousen/household-rooms,0.7328686075795074
11,Amrrs/indian-foods,0.7425100082424417
12,nateraw/planes-trains-automobiles,0.8107728984843424
13,julien-c/hotdog-not-hotdog,0.736253370290367
14,jmarshall/rare-puppers,0.8333010058292076
15,nielsr/vit-finetuned-eurosat-kornia,0.7591370181860836
16,eren23/pneumonia_test_attempt,0.776757179912153
17,micole66/dwarf-goats,0.8353970279463809
18,nateraw/ex-for-evan,0.7678974392566517
19,karthiksv/vit-base-patch16-224-cifar10,0.7764136767522338
20,ferdinand/rare-puppers,0.8408788368161398
21,ipvikas/rare-puppers,0.7777702939747467
22,Frodnar/bee-likes,0.8177012039111339
23,nickmuchi/vit-base-beans,0.7370250672397056
24,nateraw/baseball-stadium-foods,0.7987694747637665
25,Giuliano/places,0.8237260403448183
26,firas-spanioli/beer-whisky-wine-detection,0.7505445859261689
27,jjhoffstein/lotr,0.8079639191180163
28,Nonem100/Test-Model,0.8215757666134124
29,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,0.8632243883337669
30,LorenzoDeMattei/lawn-weeds,0.7185722816317097
31,nateraw/doggos-lol,0.7941758695000949
32,IDEA-CCNL/Taiyi-vit-87M-D,0.8301243349935057
33,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.8672746336927346
34,karthiksv/vit-base-beans,0.7372459558979123
35,Symbermine/rare-puppers,0.7670022972591891
36,nateraw/vit-base-patch16-224-cifar10,0.794593222278292
37,gatecitypreservation/architectural_styles,0.7882617450572236
38,Amrrs/south-indian-foods,0.7706358166114577
39,hafidber/fruits,0.8338604301733771
40,nateraw/rare-puppers-123,0.801360738517189
41,Aftabhussain/Tomato_Leaf_Classifier,0.8933663258575273
42,nickmuchi/vit-base-xray-pneumonia,0.8018240192344755
43,Neto71/sea_mammals,0.831936575762277
44,lewtun/oz-fauna,0.8383144500490378
45,hgarg/fruits,0.7367449334452585
46,jasmeen/dogs,0.8491424038607511
47,b25mayank3/shirt_identifier,0.82173771150988
48,jeffboudier/vision-transformers-spain-or-italy-fan,0.7772335966441706
49,facebook/convnext-base-224-22k,0.9026390992594497
50,nickmuchi/vit-finetuned-cats-dogs,0.7850486760530792
51,godiec/diam,0.830487320406792
52,Rajaram1996/FacialEmoRecog,0.8182270570816338
53,nateraw/vit-base-beans-demo-v3,0.8820858631006179
54,firebolt/llama_or_what,0.8266993800192259
55,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.7753437295678444
56,johnnydevriese/vit_beans,0.7709539376348983
57,nateraw/vit-age-classifier,0.8166002532569626
58,nateraw/vit-base-beans-demo-v2,0.8743975378106689
59,mmekias/vit-base-beans,0.7723593734999031
60,juanfiguera/ice_cream,0.8444261681628564
61,drab/Infrastructures,0.7837266185878985
62,nateraw/vit-base-beans,0.8580569692731713
63,Sena/dog,0.7664692383035385
64,jaygala24/finetuned-vit-base-patch16-224-upside-down-detector,0.8770194656836627
65,hafidber/rare-puppers,0.821349446068641
66,edixo/road_good_damaged_condition,0.7935957031568595
67,AykeeSalazar/vc-bantai-vit-withoutAMBI,0.7673242659630888
68,Sena/flowers,0.7986269437813724
69,matteopilotto/vit-base-patch16-224-in21k-snacks,0.7912208362614696
70,johnnydevriese/vit-airplanes,0.8395745895845181
71,nateraw/pasta-shapes,0.8149523582035407
72,mrm8488/vit-base-patch16-224_finetuned-pneumothorax,0.8280945073108658
73,hgarg/indian-snacks,0.8028010066761443
74,nateraw/vit-base-food101,0.7622724420455007
75,Hijazzi/rare-puppers,0.7958870020550685
76,nateraw/trainer-rare-puppers,0.7811098623406937
77,ibombonato/vit-age-classifier,0.837893109947294
78,nateraw/rare-puppers-new-auth,0.8263455668209777
79,SriramSridhar78/sriram-car-classifier,0.7546298185653882
80,ismgar01/vit-base-cats-vs-dogs,0.8416948650011219
81,nateraw/rare-puppers,0.8017421190815036
82,iyzg/computer-stuff,0.8196441554975666
83,nateraw/huggingpics-package-demo-2,0.8243866240640101
84,imjeffhi/pokemon_classifier,0.817347824097656
85,nateraw/pasta-pizza-ravioli,0.780839125750822
86,akahana/vit-base-cats-vs-dogs,0.7334308004729744
87,nateraw/donut-or-bagel,0.8162516562064854
88,nateraw/rare-puppers-09-04-2021,0.707600788523033
89,nateraw/vit-base-cats-vs-dogs,0.811678696176932
90,Zayn/VIT_Basic,0.7842836383512538
91,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.8226916190189548
92,AkshatSurolia/ViT-FaceMask-Finetuned,0.711762432001699
93,microsoft/swin-large-patch4-window7-224-in22k,0.8506878959310911
94,Ahmed9275/Vit-Cifar100,0.7795559099974408
95,driboune/skin_type,0.8149935723672659
