,model,score
0,firebolt/llama_or_what2,0.7625183294694294
1,google/vit-base-patch16-224,0.7702206778453744
2,nateraw/denver-nyc-paris,0.7846139492866688
3,black/simple_kitchen,0.7823348579887835
4,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.7839340293747548
5,Suzana/new-york-tokyo-london,0.7857819189612846
6,filipafcastro/beer_vs_wine,0.7869588106731271
7,nateraw/baked-goods,0.7847927920263287
8,ajanco/greens,0.7828563088764566
9,nateraw/vit-base-beans-demo,0.8056593697462334
10,HHousen/household-rooms,0.7845831159089264
11,Amrrs/indian-foods,0.785845499721093
12,nateraw/planes-trains-automobiles,0.786757336895848
13,julien-c/hotdog-not-hotdog,0.7841077039313747
14,jmarshall/rare-puppers,0.7724769568340601
15,nielsr/vit-finetuned-eurosat-kornia,0.7768085728673301
16,eren23/pneumonia_test_attempt,0.7867396048170644
17,micole66/dwarf-goats,0.766058369968813
18,nateraw/ex-for-evan,0.7867565890892262
19,karthiksv/vit-base-patch16-224-cifar10,0.781888527097965
20,ferdinand/rare-puppers,0.7966565631771786
21,ipvikas/rare-puppers,0.7732204741524284
22,Frodnar/bee-likes,0.7839972597460874
23,nickmuchi/vit-base-beans,0.7922320560989963
24,nateraw/baseball-stadium-foods,0.7855095528586249
25,Giuliano/places,0.7871949097898899
26,firas-spanioli/beer-whisky-wine-detection,0.7730115250597609
27,jjhoffstein/lotr,0.7627670006398062
28,Nonem100/Test-Model,0.7714415789199713
29,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,0.7874947618212781
30,LorenzoDeMattei/lawn-weeds,0.7720538412196556
31,nateraw/doggos-lol,0.772061179961508
32,IDEA-CCNL/Taiyi-vit-87M-D,0.7695676493400584
33,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.7995349940809435
34,karthiksv/vit-base-beans,0.8038811828102801
35,Symbermine/rare-puppers,0.785822704962614
36,nateraw/vit-base-patch16-224-cifar10,0.7956270311750473
37,gatecitypreservation/architectural_styles,0.7830102745516907
38,Amrrs/south-indian-foods,0.7712386933071571
39,hafidber/fruits,0.7739575553191673
40,nateraw/rare-puppers-123,0.8001876348062669
41,Aftabhussain/Tomato_Leaf_Classifier,0.7732986332411563
42,nickmuchi/vit-base-xray-pneumonia,0.7848687643244837
43,Neto71/sea_mammals,0.7705680248377358
44,lewtun/oz-fauna,0.7844254819941753
45,hgarg/fruits,0.7866919326797076
46,jasmeen/dogs,0.7736391549606773
47,b25mayank3/shirt_identifier,0.7679620016540983
48,jeffboudier/vision-transformers-spain-or-italy-fan,0.7653761917788043
49,facebook/convnext-base-224-22k,0.7687280996973883
50,nickmuchi/vit-finetuned-cats-dogs,0.8033640322380953
51,godiec/diam,0.7732235715285443
52,Rajaram1996/FacialEmoRecog,0.7988223034401496
53,nateraw/vit-base-beans-demo-v3,0.792754642239379
54,firebolt/llama_or_what,0.7605432413200506
55,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.782240117823551
56,johnnydevriese/vit_beans,0.7902898787544721
57,nateraw/vit-age-classifier,0.8068841332288185
58,nateraw/vit-base-beans-demo-v2,0.7925675844422575
59,mmekias/vit-base-beans,0.8038947789102415
60,juanfiguera/ice_cream,0.7779874016981739
61,drab/Infrastructures,0.7718734623077304
62,nateraw/vit-base-beans,0.805550101243113
63,Sena/dog,0.7726855016168582
64,jaygala24/finetuned-vit-base-patch16-224-upside-down-detector,0.785040138232897
65,hafidber/rare-puppers,0.7863440812080327
66,edixo/road_good_damaged_condition,0.7732792672818899
67,AykeeSalazar/vc-bantai-vit-withoutAMBI,0.7862856619474714
68,Sena/flowers,0.7665300811651317
69,matteopilotto/vit-base-patch16-224-in21k-snacks,0.7959503269004268
70,johnnydevriese/vit-airplanes,0.773313234683031
71,nateraw/pasta-shapes,0.7860534092815836
72,mrm8488/vit-base-patch16-224_finetuned-pneumothorax,0.7712274469454936
73,hgarg/indian-snacks,0.7671642308987486
74,nateraw/vit-base-food101,0.7883222748567962
75,Hijazzi/rare-puppers,0.7866339493576251
76,nateraw/trainer-rare-puppers,0.7713217751306183
77,ibombonato/vit-age-classifier,0.7921004308740707
78,nateraw/rare-puppers-new-auth,0.7852288184112137
79,SriramSridhar78/sriram-car-classifier,0.7680165722563549
80,ismgar01/vit-base-cats-vs-dogs,0.7897286229510422
81,nateraw/rare-puppers,0.7728090993129325
82,iyzg/computer-stuff,0.771402271824433
83,nateraw/huggingpics-package-demo-2,0.7727663310470856
84,imjeffhi/pokemon_classifier,0.779972627982782
85,nateraw/pasta-pizza-ravioli,0.7723994809860735
86,akahana/vit-base-cats-vs-dogs,0.7898933352780658
87,nateraw/donut-or-bagel,0.7860110956091482
88,nateraw/rare-puppers-09-04-2021,0.7713380192234955
89,nateraw/vit-base-cats-vs-dogs,0.8037558746703624
90,Zayn/VIT_Basic,0.7855223439175321
91,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.797638739328282
92,AkshatSurolia/ViT-FaceMask-Finetuned,0.7760208719583244
93,microsoft/swin-large-patch4-window7-224-in22k,0.8299214995389195
94,Ahmed9275/Vit-Cifar100,0.7935797541639519
95,driboune/skin_type,0.7701797721917392
96,microsoft/swin-base-patch4-window7-224-in22k,0.810026286443466
97,facebook/deit-base-patch16-224,0.7830705877335623
98,facebook/deit-base-distilled-patch16-224,0.7522096116489285
99,eslamxm/vit-base-food101,0.7871993477690244
100,mrm8488/data2vec-base-finetuned-imagenet1k,0.733616251786633
101,facebook/convnext-base-224,0.7258921241322919
102,facebook/convnext-small-224,0.7148811771443511
103,microsoft/swin-base-patch4-window7-224,0.7545769388729708
104,microsoft/beit-base-patch16-224,0.7317678412802072
105,mrm8488/convnext-tiny-finetuned-eurosat,0.7174375416529568
106,mrm8488/convnext-tiny-finetuned-beans,0.7306658405891602
107,facebook/convnext-tiny-224,0.7084540846669757
108,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,0.731042712070231
109,microsoft/beit-base-patch16-224-pt22k-ft22k,0.7720067336138078
110,AkshatSurolia/ConvNeXt-FaceMask-Finetuned,0.6989365713373286
111,Calin/convnext-tiny-finteuned-eurosat,0.7156750092348506
112,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,0.7293077779253639
113,Visual-Attention-Network/van-small,0.7411693177464374
114,WinKawaks/vit-small-patch16-224,0.752463052802145
115,facebook/deit-small-distilled-patch16-224,0.7197559280487452
116,Visual-Attention-Network/van-base,0.7590057760341957
117,jadohu/BEiT-finetuned,0.7314676823313193
118,nielsr/convnext-tiny-finetuned-eurostat,0.7156744969355845
119,facebook/deit-small-patch16-224,0.7603374775421027
120,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7582910156170247
121,microsoft/swin-small-patch4-window7-224,0.757182889978914
122,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7599247221458713
123,Ahmed9275/ALL-3,0.7533005401400353
124,facebook/convnext-large-224,0.772107100740693
125,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7465800976265187
126,WinKawaks/vit-tiny-patch16-224,0.7478043142403155
127,Visual-Attention-Network/van-tiny,0.7371403667340177
128,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7464643777866193
129,facebook/deit-tiny-distilled-patch16-224,0.7275003447446036
130,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7467051439046952
131,nielsr/convnext-tiny-finetuned-eurosat,0.72912782108498
132,ibombonato/swin-age-classifier,0.7732896701665929
133,Ahmed9275/ALL-test,0.7536523741029437
134,nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,0.7600305393154161
135,facebook/deit-tiny-patch16-224,0.7584139847033348
136,microsoft/swin-tiny-patch4-window7-224,0.7508830136771576
137,flyswot/test,0.7486493960059928
138,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7467537563506663
139,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7466609767597809
140,nielsr/van-base-finetuned-eurosat-imgaug,0.7681855517659546
141,mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7467327228454734
142,Visual-Attention-Network/van-large,0.7506123354035271
143,Matthijs/snacks-classifier,0.7644875202646829
144,jemole/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7464006984369594
145,nateraw/test_model_a,0.7768039784921504
146,guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7462144306015325
147,google/vit-base-patch32-384,0.8002470475858222
148,nateraw/rare-puppers-demo,0.7719323807916175
149,AkshatSurolia/BEiT-FaceMask-Finetuned,0.7097376138602293
150,AkshatSurolia/DeiT-FaceMask-Finetuned,0.7338740184551151
151,meame2010/rare-puppers,0.7668289023483186
152,facebook/convnext-base-224-22k-1k,0.7384863303307418
153,google/vit-large-patch32-384,0.8619069437473539
