,model,score
0,firebolt/llama_or_what2,-0.23514369100628865
1,google/vit-base-patch16-224,-0.23000703957281754
2,nateraw/denver-nyc-paris,-0.21599123071118573
3,black/simple_kitchen,-0.19747870977441337
4,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,-0.002469316767283441
5,Suzana/new-york-tokyo-london,-0.2036796610928148
6,filipafcastro/beer_vs_wine,-0.24413633290420042
7,nateraw/baked-goods,-0.21663117006951627
8,ajanco/greens,-0.21599123071118573
9,nateraw/vit-base-beans-demo,0.06446833188228211
10,HHousen/household-rooms,-0.21599123071118573
11,Amrrs/indian-foods,-0.3608800836659291
12,nateraw/planes-trains-automobiles,-0.19747870977441337
13,julien-c/hotdog-not-hotdog,-0.21599123071118573
14,jmarshall/rare-puppers,-0.23514369100628865
15,nielsr/vit-finetuned-eurosat-kornia,-0.002469316767283441
16,eren23/pneumonia_test_attempt,-0.21877895146161677
17,micole66/dwarf-goats,-0.2308254407871689
18,nateraw/ex-for-evan,-0.19747870977441337
19,karthiksv/vit-base-patch16-224-cifar10,-0.19281599237244218
20,ferdinand/rare-puppers,-0.37264189270646214
21,ipvikas/rare-puppers,-0.19747870977441337
22,Frodnar/bee-likes,-0.38931873938363787
23,nickmuchi/vit-base-beans,-0.23729147239838916
24,nateraw/baseball-stadium-foods,-0.21599123071118573
25,Giuliano/places,-0.19747870977441337
26,firas-spanioli/beer-whisky-wine-detection,-0.22768714158417777
27,jjhoffstein/lotr,-0.21599123071118573
28,Nonem100/Test-Model,-0.21663117006951627
29,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,-0.29875964213896095
30,LorenzoDeMattei/lawn-weeds,-0.19747870977441337
31,nateraw/doggos-lol,-0.21167298049206595
32,IDEA-CCNL/Taiyi-vit-87M-D,-0.20321151645118912
33,nickmuchi/vit-finetuned-chest-xray-pneumonia,-0.20853468128907482
34,karthiksv/vit-base-beans,-0.19747870977441337
35,Symbermine/rare-puppers,-0.19747870977441337
36,nateraw/vit-base-patch16-224-cifar10,-0.21132851330921454
37,gatecitypreservation/architectural_styles,-0.21466369337111527
38,Amrrs/south-indian-foods,-0.20853468128907482
39,hafidber/fruits,-0.21599123071118573
40,nateraw/rare-puppers-123,-0.2036796610928148
41,Aftabhussain/Tomato_Leaf_Classifier,-0.21167298049206595
42,nickmuchi/vit-base-xray-pneumonia,-0.23729147239838916
43,Neto71/sea_mammals,-0.19747870977441337
44,lewtun/oz-fauna,-0.2036796610928148
45,hgarg/fruits,-0.21599123071118573
46,jasmeen/dogs,-0.21599123071118573
47,b25mayank3/shirt_identifier,-0.33383075183524014
48,jeffboudier/vision-transformers-spain-or-italy-fan,-0.21599123071118573
49,facebook/convnext-base-224-22k,0.24791076508945664
50,nickmuchi/vit-finetuned-cats-dogs,-0.5374940837621758
51,godiec/diam,-0.2249799027800182
52,Rajaram1996/FacialEmoRecog,-0.20853468128907482
