,model,score
0,matteopilotto/vit-base-patch16-224-in21k-snacks,0.7494669747194027
1,Matthijs/snacks-classifier,0.7697401091228652
2,ibombonato/vit-age-classifier,0.765769064016651
3,ibombonato/swin-age-classifier,0.7816128826084454
4,nateraw/vit-age-classifier,0.7511087849995272
5,karthiksv/vit-base-beans,0.7665580105291866
6,nateraw/vit-base-beans-demo-v2,0.7797600645915381
7,mmekias/vit-base-beans,0.7238960205925222
8,mrm8488/convnext-tiny-finetuned-beans,0.7707909496475405
9,nateraw/vit-base-beans,0.7511087849995272
10,johnnydevriese/vit_beans,0.7494669747194027
11,nateraw/vit-base-beans-demo-v3,0.7755191773134039
12,nateraw/vit-base-beans-demo,0.7542425559881869
13,ismgar01/vit-base-cats-vs-dogs,0.7494824521259524
14,nateraw/vit-base-cats-vs-dogs,0.7603486596338928
15,akahana/vit-base-cats-vs-dogs,0.7489554034695048
16,nateraw/test_model_a,0.06636246138406819
17,eren23/pneumonia_test_attempt,0.7511235532625933
18,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.7499815779332647
19,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.7554037082619175
20,karthiksv/vit-base-patch16-224-cifar10,0.7523440040224805
21,nateraw/vit-base-patch16-224-cifar10,0.752836050980149
22,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.7532337253348677
23,jadohu/BEiT-finetuned,0.5430844468685064
24,nielsr/vit-finetuned-eurosat-kornia,0.7749950966769341
25,nielsr/van-base-finetuned-eurosat-imgaug,0.7798039698479725
26,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,0.78759135043161
27,Calin/convnext-tiny-finteuned-eurosat,0.7730871118519965
28,nielsr/convnext-tiny-finetuned-eurosat,0.7837527178400059
29,nielsr/convnext-tiny-finetuned-eurostat,0.7847131251540586
30,mrm8488/convnext-tiny-finetuned-eurosat,0.7792933244515868
31,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7668841742596499
32,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7675127800442156
33,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,0.782303214472934
34,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7675127800442156
35,jemole/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7810193560064738
36,mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7917264166720023
37,nateraw/vit-base-food101,0.7564148504518541
38,eslamxm/vit-base-food101,0.6770508143042798
39,driboune/skin_type,0.7499815779332647
40,nateraw/denver-nyc-paris,0.7511087849995272
41,nateraw/huggingpics-package-demo-2,0.7499815779332647
42,nateraw/baseball-stadium-foods,0.7504213144023416
43,ajanco/greens,0.7499815779332647
44,ipvikas/rare-puppers,0.7499815779332647
45,nateraw/pasta-pizza-ravioli,0.7506277831682485
46,nateraw/rare-puppers-09-04-2021,0.746626394167273
47,firas-spanioli/beer-whisky-wine-detection,0.7499815779332647
48,LorenzoDeMattei/lawn-weeds,0.7511903487199523
49,nateraw/pasta-shapes,0.7575830299878175
50,nateraw/donut-or-bagel,0.7506591952620475
51,lewtun/oz-fauna,0.7499067111884795
52,iyzg/computer-stuff,0.7646618577043469
53,julien-c/hotdog-not-hotdog,0.7648775575543424
54,jasmeen/dogs,0.7494669747194027
55,nateraw/rare-puppers-new-auth,0.7499221885950292
56,jmarshall/rare-puppers,0.7499815779332647
57,Amrrs/south-indian-foods,0.7506277831682485
58,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,0.7499815779332647
59,Frodnar/bee-likes,0.7506591952620475
60,firebolt/llama_or_what,0.7546867408297305
61,meame2010/rare-puppers,0.7499815779332647
62,hafidber/rare-puppers,0.7499815779332647
63,b25mayank3/shirt_identifier,0.7499815779332647
64,Neto71/sea_mammals,0.7499815779332647
65,juanfiguera/ice_cream,0.7499815779332647
66,hafidber/fruits,0.7494669747194027
67,nateraw/rare-puppers-123,0.7499815779332647
68,micole66/dwarf-goats,0.752634329621212
69,HHousen/household-rooms,0.7499815779332647
70,mmgyorke/vit-world-landmarks,0.7499815779332647
71,Sena/dog,0.7499815779332647
72,drab/Infrastructures,0.7511903487199523
73,Symbermine/rare-puppers,0.7499067111884795
74,mrm8488/vit-base-patch16-224_finetuned-pneumothorax,0.7499815779332647
75,gatecitypreservation/architectural_styles,0.7532469509430462
76,Nonem100/Test-Model,0.7507522755521069
77,nateraw/trainer-rare-puppers,0.6336378997382267
78,nateraw/doggos-lol,0.6587451239813876
79,jaygala24/finetuned-vit-base-patch16-224-upside-down-detector,0.7499067111884795
80,nateraw/ex-for-evan,0.7499815779332647
81,johnnydevriese/vit-airplanes,0.7670049354202404
82,flyswot/test,0.614438657188654
83,IDEA-CCNL/Taiyi-vit-87M-D,0.7621787546070042
84,google/vit-large-patch32-384,0.7763395473144513
85,microsoft/swin-base-patch4-window7-224,0.7876920361648704
86,facebook/convnext-large-224,0.817899408899066
87,WinKawaks/vit-small-patch16-224,0.72213929825611
88,facebook/convnext-large-384,0.8324071760057855
89,facebook/deit-base-distilled-patch16-224,0.8077973538405255
90,facebook/deit-base-patch16-224,0.7589716076801705
91,facebook/convnext-base-224,0.7870464574700676
92,Visual-Attention-Network/van-base,0.7694698735178775
93,microsoft/swin-tiny-patch4-window7-224,0.7935355580934399
94,Visual-Attention-Network/van-small,0.7615630799610558
95,facebook/deit-tiny-distilled-patch16-224,0.5772005770940964
96,facebook/convnext-small-224,0.8170807053982968
97,Visual-Attention-Network/van-large,0.7932539247217493
98,facebook/convnext-base-224-22k-1k,0.7836791765972415
99,Visual-Attention-Network/van-tiny,0.7315702393652637
100,microsoft/swin-small-patch4-window7-224,0.7380276917865524
101,lysandre/tiny-vit-random,0.06449148112811963
102,microsoft/beit-base-patch16-224,0.44398119610650044
103,facebook/convnext-large-384-22k-1k,0.9019849372191797
104,microsoft/beit-large-patch16-384,0.4448295979887803
105,facebook/convnext-base-384,0.9071358786795253
106,microsoft/resnet-50,0.7102150210225829
107,google/vit-base-patch16-384,0.7901646371770852
108,google/vit-large-patch16-224,0.7771057937558103
109,facebook/deit-base-patch16-384,0.8222169361962215
110,microsoft/beit-large-patch16-224,0.4970171842765458
111,facebook/convnext-xlarge-224-22k-1k,0.8719291398285705
112,nielsr/convnext-xlarge-224-22k-1k,0.875728280516087
113,microsoft/swin-large-patch4-window12-384,0.8707307441338626
114,microsoft/beit-base-patch16-224-pt22k-ft22k,0.5999914279518527
115,microsoft/swin-large-patch4-window7-224-in22k,0.8145829999751198
116,facebook/convnext-large-224-22k,0.8408211081121212
117,facebook/convnext-xlarge-224-22k,0.8314746836186059
118,microsoft/beit-large-patch16-224-pt22k-ft22k,0.6164518717787804
119,microsoft/swin-base-patch4-window12-384-in22k,0.8339602028185655
120,imjeffhi/pokemon_classifier,0.7474665551088754
121,AkshatSurolia/ViT-FaceMask-Finetuned,0.687298965547027
122,AkshatSurolia/BEiT-FaceMask-Finetuned,0.28026180517792393
123,SriramSridhar78/sriram-car-classifier,0.7548246866675403
