,model,score
0,firebolt/llama_or_what2,0.927515681368627
1,google/vit-base-patch16-224,0.9273579918349261
2,nateraw/denver-nyc-paris,0.9276376046731294
3,black/simple_kitchen,0.9276376046731294
4,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.9276376046731294
5,Suzana/new-york-tokyo-london,0.8950218055940828
6,filipafcastro/beer_vs_wine,0.9276376046731294
7,nateraw/baked-goods,0.9276376046731294
8,ajanco/greens,0.9276376046731294
9,nateraw/vit-base-beans-demo,0.9276376046731294
10,HHousen/household-rooms,0.9276376046731294
11,Amrrs/indian-foods,0.9276376046731294
12,nateraw/planes-trains-automobiles,0.9276376046731294
13,julien-c/hotdog-not-hotdog,0.9276376046731294
14,jmarshall/rare-puppers,0.9276376046731294
15,nielsr/vit-finetuned-eurosat-kornia,0.9070547512181797
16,eren23/pneumonia_test_attempt,0.9276376046731294
17,micole66/dwarf-goats,0.9276376046731294
18,nateraw/ex-for-evan,0.9276376046731294
19,karthiksv/vit-base-patch16-224-cifar10,0.9276376046731294
20,ferdinand/rare-puppers,0.9117050747510526
21,ipvikas/rare-puppers,0.9276376046731294
22,Frodnar/bee-likes,0.9106432147219546
23,nickmuchi/vit-base-beans,0.9075482274773912
24,nateraw/baseball-stadium-foods,0.9276376046731294
25,Giuliano/places,0.9276376046731294
26,firas-spanioli/beer-whisky-wine-detection,0.9276376046731294
27,jjhoffstein/lotr,0.9276376046731294
28,Nonem100/Test-Model,0.9276376046731294
29,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,0.9276376046731294
30,LorenzoDeMattei/lawn-weeds,0.9276376046731294
31,nateraw/doggos-lol,0.9114651956963016
32,IDEA-CCNL/Taiyi-vit-87M-D,0.9273579918349261
33,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.9276376046731294
34,karthiksv/vit-base-beans,0.9276376046731294
35,Symbermine/rare-puppers,0.9276376046731294
36,nateraw/vit-base-patch16-224-cifar10,0.9139514846491084
37,gatecitypreservation/architectural_styles,0.9276376046731294
38,Amrrs/south-indian-foods,0.9276376046731294
39,hafidber/fruits,0.9276376046731294
40,nateraw/rare-puppers-123,0.9276376046731294
41,Aftabhussain/Tomato_Leaf_Classifier,0.9276376046731294
42,nickmuchi/vit-base-xray-pneumonia,0.9273579918349261
43,Neto71/sea_mammals,0.9276376046731294
44,lewtun/oz-fauna,0.9276376046731294
45,hgarg/fruits,0.9276376046731294
46,jasmeen/dogs,0.9276376046731294
47,b25mayank3/shirt_identifier,0.9276376046731294
48,jeffboudier/vision-transformers-spain-or-italy-fan,0.8985232197207311
49,facebook/convnext-base-224-22k,0.9219688882875019
50,nickmuchi/vit-finetuned-cats-dogs,0.9276376046731294
51,godiec/diam,0.9276376046731294
52,Rajaram1996/FacialEmoRecog,0.9276376046731294
53,nateraw/vit-base-beans-demo-v3,0.9276376046731294
54,firebolt/llama_or_what,0.927515681368627
55,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.9276376046731294
56,johnnydevriese/vit_beans,0.9276376046731294
57,nateraw/vit-age-classifier,0.9139514846491084
58,nateraw/vit-base-beans-demo-v2,0.9075482274773912
59,mmekias/vit-base-beans,0.9276376046731294
60,juanfiguera/ice_cream,0.9276376046731294
61,drab/Infrastructures,0.9276376046731294
62,nateraw/vit-base-beans,0.9276376046731294
63,Sena/dog,0.9276376046731294
64,jaygala24/finetuned-vit-base-patch16-224-upside-down-detector,0.9273579918349261
65,hafidber/rare-puppers,0.9276376046731294
66,edixo/road_good_damaged_condition,0.9276376046731294
67,AykeeSalazar/vc-bantai-vit-withoutAMBI,0.9276376046731294
68,Sena/flowers,0.9276376046731294
69,matteopilotto/vit-base-patch16-224-in21k-snacks,0.9276376046731294
70,johnnydevriese/vit-airplanes,0.9276376046731294
71,nateraw/pasta-shapes,0.9276376046731294
72,mrm8488/vit-base-patch16-224_finetuned-pneumothorax,0.9276376046731294
73,hgarg/indian-snacks,0.9276376046731294
74,nateraw/vit-base-food101,0.9276376046731294
75,Hijazzi/rare-puppers,0.9276376046731294
76,nateraw/trainer-rare-puppers,0.8919826396877462
77,ibombonato/vit-age-classifier,0.9276376046731294
78,nateraw/rare-puppers-new-auth,0.9276376046731294
79,SriramSridhar78/sriram-car-classifier,0.9106432147219546
80,ismgar01/vit-base-cats-vs-dogs,0.9276376046731294
