,model,score
0,google/vit-base-patch16-224,-0.08863835615335797
1,IDEA-CCNL/Taiyi-vit-87M-D,-0.08984388529230214
2,facebook/deit-base-patch16-224,-0.08984388529230214
3,facebook/deit-base-distilled-patch16-224,-0.10059831607560482
4,mrm8488/data2vec-base-finetuned-imagenet1k,-0.2747864265278656
5,facebook/convnext-base-224,0.28693173773221936
6,facebook/convnext-small-224,0.24868942188497428
7,microsoft/swin-base-patch4-window7-224,1.12472825754242
8,microsoft/beit-base-patch16-224,-0.3517179451292742
9,facebook/convnext-tiny-224,0.20991089160970552
10,Visual-Attention-Network/van-small,-0.3514579556463181
11,WinKawaks/vit-small-patch16-224,-0.34083386889673867
12,facebook/deit-small-distilled-patch16-224,-0.17577815773429623
13,Visual-Attention-Network/van-base,-0.11149276947004406
14,facebook/deit-small-patch16-224,-0.36177904328915633
15,microsoft/swin-small-patch4-window7-224,0.19007114600001024
16,Ahmed9275/ALL-3,-0.27028304887094706
17,facebook/convnext-large-224,1.2672109213733869
18,WinKawaks/vit-tiny-patch16-224,-0.49792910641165233
19,Visual-Attention-Network/van-tiny,-0.43843187555805807
20,facebook/deit-tiny-distilled-patch16-224,-0.4003232535186674
21,Ahmed9275/ALL-test,-0.27315417867713804
22,facebook/deit-tiny-patch16-224,-0.4303248589913186
23,microsoft/swin-tiny-patch4-window7-224,0.17796203428789248
24,Visual-Attention-Network/van-large,-0.1195702432159618
25,google/vit-base-patch32-384,0.002663194617838498
26,facebook/convnext-base-224-22k-1k,1.2867162125564462
27,google/vit-large-patch32-384,1.0209060702111659
28,microsoft/swin-large-patch4-window7-224,1.3176204652629477
29,lysandre/tiny-vit-random,-0.5922369378293518
30,facebook/convnext-large-224-22k-1k,1.9173590319376599
31,facebook/convnext-base-384,0.1248888281960291
32,microsoft/resnet-50,-0.281549394615695
33,microsoft/beit-large-patch16-224,-0.3377262487352244
34,google/vit-large-patch16-224,1.4763420420496391
35,facebook/convnext-large-384,0.33486452408243345
36,facebook/convnext-large-384-22k-1k,2.1194194627259013
37,nielsr/convnext-xlarge-224-22k-1k,3.8653258742966936
38,facebook/deit-base-patch16-384,0.1490310422976693
39,google/vit-base-patch16-384,-0.040033876804998314
40,facebook/deit-base-distilled-patch16-384,0.022598265197734224
41,facebook/convnext-xlarge-224-22k-1k,2.7035699032958176
42,microsoft/beit-large-patch16-384,-0.22295887103820963
43,microsoft/swin-large-patch4-window12-384,0.24793434590627608
44,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.0808159164337731
45,karthiksv/vit-base-patch16-224-cifar10,-0.09137607213315789
46,nateraw/vit-base-patch16-224-cifar10,-0.2718867937504654
47,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,-0.2718867937504654
48,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,-0.11987079509978267
49,jadohu/BEiT-finetuned,-0.38942596417876724
50,nateraw/vit-base-beans-demo,-0.12209600129746973
51,nickmuchi/vit-base-beans,-0.2821094687080263
52,karthiksv/vit-base-beans,-0.1076630244883393
53,nateraw/vit-base-beans-demo-v3,-0.2821094687080263
54,johnnydevriese/vit_beans,-0.1687896206606107
55,nateraw/vit-base-beans-demo-v2,-0.12209600129746973
56,mmekias/vit-base-beans,-0.1687896206606107
57,nateraw/vit-base-beans,-0.2741119999481525
58,mrm8488/convnext-tiny-finetuned-beans,0.21533588507273962
59,nielsr/vit-finetuned-eurosat-kornia,0.10130397479440875
60,mrm8488/convnext-tiny-finetuned-eurosat,0.20949378299208973
61,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,0.3212871591049909
62,Calin/convnext-tiny-finteuned-eurosat,0.16016388158147207
63,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,0.10899573464081755
64,nielsr/convnext-tiny-finetuned-eurostat,0.11233554812202398
65,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,0.10899573464081755
66,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,0.16720495771932664
67,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,0.1444292660232614
68,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,0.1444292660232614
69,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,0.1444292660232614
70,nielsr/convnext-tiny-finetuned-eurosat,0.11233554812202398
71,nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,0.16793886327613128
72,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,0.12735850401927784
73,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,0.1444292660232614
74,nielsr/van-base-finetuned-eurosat-imgaug,-0.012353468987123122
75,mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,0.1444292660232614
76,jemole/swin-tiny-patch4-window7-224-finetuned-eurosat,0.1444292660232614
77,guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,0.1444292660232614
78,eren23/pneumonia_test_attempt,-0.14368304302201163
79,nickmuchi/vit-finetuned-chest-xray-pneumonia,-0.2090550460487471
80,nickmuchi/vit-base-xray-pneumonia,-0.3097607878301887
81,facebook/convnext-base-224-22k,0.211691159512513
82,microsoft/swin-large-patch4-window7-224-in22k,0.5132915939064574
83,microsoft/swin-base-patch4-window7-224-in22k,0.9171272325511481
84,microsoft/beit-base-patch16-224-pt22k-ft22k,-0.3327320432271055
85,facebook/convnext-large-224-22k,1.9955542330526657
86,facebook/convnext-xlarge-224-22k,2.553245620889537
87,microsoft/swin-base-patch4-window12-384-in22k,1.6884942432642378
88,microsoft/beit-large-patch16-224-pt22k-ft22k,-0.3164588756602728
89,nielsr/convnext-xlarge-224-22k,3.155552481439955
90,nickmuchi/vit-finetuned-cats-dogs,-0.29325647725641174
91,ismgar01/vit-base-cats-vs-dogs,-0.2991638450118883
92,akahana/vit-base-cats-vs-dogs,-0.2991638450118883
93,nateraw/vit-base-cats-vs-dogs,-0.29325647725641174
94,nateraw/test_model_a,-0.6624958935868398
95,matteopilotto/vit-base-patch16-224-in21k-snacks,-0.2603654220970428
96,Matthijs/snacks-classifier,-0.28327974420192764
97,nateraw/vit-base-food101,-0.0948116305044409
98,eslamxm/vit-base-food101,-0.24951695372073104
99,SriramSridhar78/sriram-car-classifier,-0.24643292356102664
100,imjeffhi/pokemon_classifier,-0.10661967653627738
101,AkshatSurolia/ViT-FaceMask-Finetuned,-0.3200048008820295
102,AkshatSurolia/BEiT-FaceMask-Finetuned,-0.43568830826317057
103,AkshatSurolia/DeiT-FaceMask-Finetuned,-0.1766447343612324
104,Ahmed9275/Vit-Cifar100,-0.28251116711586943
