,model,score
0,google/vit-base-patch16-224,0.8893118427898394
1,IDEA-CCNL/Taiyi-vit-87M-D,0.885494168571658
2,facebook/deit-base-patch16-224,0.8849046020190882
3,facebook/deit-base-distilled-patch16-224,0.887893951390582
4,mrm8488/data2vec-base-finetuned-imagenet1k,0.8753635155308902
5,facebook/convnext-base-224,0.8881544255129076
6,facebook/convnext-small-224,0.8692655346671403
7,microsoft/swin-base-patch4-window7-224,0.8877759482585615
8,microsoft/beit-base-patch16-224,0.7296969013336433
9,facebook/convnext-tiny-224,0.8737323774833706
10,Visual-Attention-Network/van-small,0.8725301979841227
11,WinKawaks/vit-small-patch16-224,0.8683835323250313
12,facebook/deit-small-distilled-patch16-224,0.8451139476382551
13,Visual-Attention-Network/van-base,0.885453048927573
14,facebook/deit-small-patch16-224,0.8542163557381437
15,microsoft/swin-small-patch4-window7-224,0.8731281215620905
16,Ahmed9275/ALL-3,0.8726476413348822
17,facebook/convnext-large-224,0.8909501482270976
18,WinKawaks/vit-tiny-patch16-224,0.838953397401389
19,Visual-Attention-Network/van-tiny,0.8564965643918651
20,facebook/deit-tiny-distilled-patch16-224,0.8466218989027803
21,Ahmed9275/ALL-test,0.8748049740890781
22,facebook/deit-tiny-patch16-224,0.851457931327433
23,microsoft/swin-tiny-patch4-window7-224,0.8734138840706568
24,Visual-Attention-Network/van-large,0.8902138202147415
25,google/vit-base-patch32-384,0.8756144970945237
26,facebook/convnext-base-224-22k-1k,0.8896726310997027
27,google/vit-large-patch32-384,0.8838171493869906
28,microsoft/swin-large-patch4-window7-224,0.8977115183563096
29,lysandre/tiny-vit-random,0.19657418128484178
30,facebook/convnext-large-224-22k-1k,0.890519643463825
31,facebook/convnext-base-384,0.8930494907611911
32,microsoft/resnet-50,0.8573446623249542
33,microsoft/beit-base-patch16-224-pt22k,0.7805241534634542
34,microsoft/beit-large-patch16-224,0.7322641541302343
35,google/vit-large-patch16-224,0.8874779247259184
36,facebook/convnext-large-384,0.8900936335724257
37,facebook/convnext-large-384-22k-1k,0.8962824914132825
38,nielsr/convnext-xlarge-224-22k-1k,0.8936762428062126
39,facebook/deit-base-patch16-384,0.8894917848127208
40,google/vit-base-patch16-384,0.8923932782084768
41,facebook/deit-base-distilled-patch16-384,0.8939723124623328
42,facebook/convnext-xlarge-224-22k-1k,0.8917857998244527
43,microsoft/beit-large-patch16-384,0.7882393927443991
44,microsoft/swin-large-patch4-window12-384,0.8820979580255138
45,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.8787964353996108
46,karthiksv/vit-base-patch16-224-cifar10,0.8746722373065989
47,nateraw/vit-base-patch16-224-cifar10,0.877703762811934
48,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.8889297432686949
49,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.8813094033868641
50,jadohu/BEiT-finetuned,0.7758383333861737
51,tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,0.8887330956424653
52,nateraw/vit-base-beans-demo,0.8899677323815114
53,nickmuchi/vit-base-beans,0.875941769462324
54,karthiksv/vit-base-beans,0.886719543751516
55,nateraw/vit-base-beans-demo-v3,0.8906906812779435
