,model,score
0,firebolt/llama_or_what2,0.8350502542679712
1,google/vit-base-patch16-224,0.85629693747125
2,nateraw/denver-nyc-paris,0.8584087212989039
3,black/simple_kitchen,0.8421649574933483
4,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.8455974159548488
5,Suzana/new-york-tokyo-london,0.8552816446746492
6,filipafcastro/beer_vs_wine,0.8545666851699015
7,nateraw/baked-goods,0.8541123864099626
8,ajanco/greens,0.8584601186446696
9,nateraw/vit-base-beans-demo,0.8232852140235647
10,HHousen/household-rooms,0.8530761720037328
11,Amrrs/indian-foods,0.8540422879580553
12,nateraw/planes-trains-automobiles,0.8536055448460844
13,julien-c/hotdog-not-hotdog,0.8551739607170586
14,jmarshall/rare-puppers,0.855511496918419
15,nielsr/vit-finetuned-eurosat-kornia,0.8621708575851561
16,eren23/pneumonia_test_attempt,0.8457361547548458
17,micole66/dwarf-goats,0.8497304256357404
18,nateraw/ex-for-evan,0.8517587750357002
19,karthiksv/vit-base-patch16-224-cifar10,0.8499370318468752
20,ferdinand/rare-puppers,0.850581317124444
21,ipvikas/rare-puppers,0.8422288679296471
22,Frodnar/bee-likes,0.8377860045816654
23,nickmuchi/vit-base-beans,0.8301447393096517
24,nateraw/baseball-stadium-foods,0.8521170356389816
25,Giuliano/places,0.8506763135699322
26,firas-spanioli/beer-whisky-wine-detection,0.8623132820370665
27,jjhoffstein/lotr,0.8506084083302199
28,Nonem100/Test-Model,0.8488679440507788
29,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,0.8632873417964284
30,LorenzoDeMattei/lawn-weeds,0.8557196222780503
31,nateraw/doggos-lol,0.8477460360688828
32,IDEA-CCNL/Taiyi-vit-87M-D,0.8434515569696004
33,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.8508723065470305
34,karthiksv/vit-base-beans,0.848953924494421
35,Symbermine/rare-puppers,0.8540274394332744
36,nateraw/vit-base-patch16-224-cifar10,0.8574969132919423
37,gatecitypreservation/architectural_styles,0.8508947281581305
38,Amrrs/south-indian-foods,0.8507888399158273
39,hafidber/fruits,0.8459789321958371
40,nateraw/rare-puppers-123,0.8592452352750262
41,Aftabhussain/Tomato_Leaf_Classifier,0.8466838779936461
42,nickmuchi/vit-base-xray-pneumonia,0.8277933816153014
43,Neto71/sea_mammals,0.8474960965399164
44,lewtun/oz-fauna,0.8494047571677185
45,hgarg/fruits,0.8509019471069201
46,jasmeen/dogs,0.8574868568165412
47,b25mayank3/shirt_identifier,0.8581229157509935
48,jeffboudier/vision-transformers-spain-or-italy-fan,0.8496386132709435
49,facebook/convnext-base-224-22k,0.8542589439013841
50,nickmuchi/vit-finetuned-cats-dogs,0.8596980112004105
51,godiec/diam,0.8458624378155842
52,Rajaram1996/FacialEmoRecog,0.8421617937904082
53,nateraw/vit-base-beans-demo-v3,0.845948067135566
54,firebolt/llama_or_what,0.8501220800871423
55,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.8534936723238384
56,johnnydevriese/vit_beans,0.8490987127124632
57,nateraw/vit-age-classifier,0.8424743439503122
58,nateraw/vit-base-beans-demo-v2,0.8544635503653031
59,mmekias/vit-base-beans,0.8392762355724895
60,juanfiguera/ice_cream,0.8509862509504695
61,drab/Infrastructures,0.8433741980869204
62,nateraw/vit-base-beans,0.8561358843059425
63,Sena/dog,0.8162020046991255
64,jaygala24/finetuned-vit-base-patch16-224-upside-down-detector,0.8538826820617116
65,hafidber/rare-puppers,0.8563511148170447
66,edixo/road_good_damaged_condition,0.8497357007219531
67,AykeeSalazar/vc-bantai-vit-withoutAMBI,0.8511749817053668
68,Sena/flowers,0.8519670947163586
69,matteopilotto/vit-base-patch16-224-in21k-snacks,0.8459556055032903
70,johnnydevriese/vit-airplanes,0.848452864248782
71,nateraw/pasta-shapes,0.8561986778965327
72,mrm8488/vit-base-patch16-224_finetuned-pneumothorax,0.8388907833493283
73,hgarg/indian-snacks,0.8558604250374087
74,nateraw/vit-base-food101,0.8506164074618213
75,Hijazzi/rare-puppers,0.8548450445765619
76,nateraw/trainer-rare-puppers,0.8467806289681711
77,ibombonato/vit-age-classifier,0.8006898093163347
78,nateraw/rare-puppers-new-auth,0.8533336099421429
79,SriramSridhar78/sriram-car-classifier,0.8478725232643908
80,ismgar01/vit-base-cats-vs-dogs,0.8570859431744686
81,nateraw/rare-puppers,0.8523868276138102
82,iyzg/computer-stuff,0.8562503246456866
83,nateraw/huggingpics-package-demo-2,0.8521702333591699
84,imjeffhi/pokemon_classifier,0.824515370549498
85,nateraw/pasta-pizza-ravioli,0.8490403167478418
86,akahana/vit-base-cats-vs-dogs,0.8470770438667904
87,nateraw/donut-or-bagel,0.8497640292888863
88,nateraw/rare-puppers-09-04-2021,0.8529297605637552
89,nateraw/vit-base-cats-vs-dogs,0.8513657227096643
90,Zayn/VIT_Basic,0.8589746948764956
91,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.8530514830803364
92,AkshatSurolia/ViT-FaceMask-Finetuned,0.8304350090094431
93,microsoft/swin-large-patch4-window7-224-in22k,0.8324403614860478
94,Ahmed9275/Vit-Cifar100,0.8196083732055977
95,driboune/skin_type,0.85366620376579
96,microsoft/swin-base-patch4-window7-224-in22k,0.8512391828390627
