,model,score
0,google/vit-base-patch16-224,0.8487339806683104
1,IDEA-CCNL/Taiyi-vit-87M-D,0.8571195952426717
2,facebook/deit-base-patch16-224,0.855461353136948
3,facebook/deit-base-distilled-patch16-224,0.8610966579323059
4,mrm8488/data2vec-base-finetuned-imagenet1k,0.848051927880391
5,facebook/convnext-base-224,0.8496237556977081
6,facebook/convnext-small-224,0.8472266807297
7,microsoft/swin-base-patch4-window7-224,0.8524167066831362
8,microsoft/beit-base-patch16-224,0.7428906734679517
9,facebook/convnext-tiny-224,0.8544731971451863
10,Visual-Attention-Network/van-small,0.8315377074314965
11,WinKawaks/vit-small-patch16-224,0.8311138389631609
12,facebook/deit-small-distilled-patch16-224,0.8258768404055986
13,Visual-Attention-Network/van-base,0.8522265109988851
14,facebook/deit-small-patch16-224,0.8433611056129838
15,microsoft/swin-small-patch4-window7-224,0.8442033563681448
16,Ahmed9275/ALL-3,0.84568586676228
17,facebook/convnext-large-224,0.8655240250706442
18,WinKawaks/vit-tiny-patch16-224,0.7872555834732086
19,Visual-Attention-Network/van-tiny,0.8144406705318346
20,facebook/deit-tiny-distilled-patch16-224,0.8183390815203343
21,Ahmed9275/ALL-test,0.8251154781039345
22,facebook/deit-tiny-patch16-224,0.8108959802957081
23,microsoft/swin-tiny-patch4-window7-224,0.8427061606360304
24,Visual-Attention-Network/van-large,0.8294111429818432
25,google/vit-base-patch32-384,0.8520111023977895
26,facebook/convnext-base-224-22k-1k,0.857634028854539
27,google/vit-large-patch32-384,0.8392987668367141
28,microsoft/swin-large-patch4-window7-224,0.8594962901954832
29,lysandre/tiny-vit-random,0.15079110801271267
30,facebook/convnext-large-224-22k-1k,0.8697248935557428
31,facebook/convnext-base-384,0.8633407279123003
32,microsoft/resnet-50,0.8310036540886194
33,microsoft/beit-base-patch16-224-pt22k,0.7630439414601569
34,microsoft/beit-large-patch16-224,0.7603105896788334
35,google/vit-large-patch16-224,0.8602425814472664
36,facebook/convnext-large-384,0.8791389414524966
37,facebook/convnext-large-384-22k-1k,0.8786569018978162
38,nielsr/convnext-xlarge-224-22k-1k,0.8584711092117132
39,facebook/deit-base-patch16-384,0.8756490816409336
40,google/vit-base-patch16-384,0.8721945306084047
41,facebook/deit-base-distilled-patch16-384,0.8604497535611293
42,facebook/convnext-xlarge-224-22k-1k,0.865948207216042
43,microsoft/beit-large-patch16-384,0.7780400253166132
44,microsoft/swin-large-patch4-window12-384,0.8817630385512899
45,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.8380032490521861
46,karthiksv/vit-base-patch16-224-cifar10,0.8448191916786851
47,nateraw/vit-base-patch16-224-cifar10,0.8531159450736773
48,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.8579981291619049
49,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.8462363060717547
50,jadohu/BEiT-finetuned,0.7665586606468758
51,tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,0.8550079450518617
52,nateraw/vit-base-beans-demo,0.8323079476314093
53,nickmuchi/vit-base-beans,0.8489759148772177
54,karthiksv/vit-base-beans,0.8445370273304406
55,nateraw/vit-base-beans-demo-v3,0.8502860793890242
56,johnnydevriese/vit_beans,0.8509661918201138
57,nateraw/vit-base-beans-demo-v2,0.8515895933044348
58,mmekias/vit-base-beans,0.8555543170005805
59,nateraw/vit-base-beans,0.843854771128353
60,mrm8488/convnext-tiny-finetuned-beans,0.8425900585731294
61,nielsr/vit-finetuned-eurosat-kornia,0.8390439476901338
62,mrm8488/convnext-tiny-finetuned-eurosat,0.8358002275958542
63,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,0.8363712246558914
64,Calin/convnext-tiny-finteuned-eurosat,0.848977825131134
65,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,0.8463326018019133
66,nielsr/convnext-tiny-finetuned-eurostat,0.8558877177109387
67,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8490088078007167
68,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8303018039232454
69,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8447424569128813
70,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8333687558283721
71,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8518109121232763
72,nielsr/convnext-tiny-finetuned-eurosat,0.8357489306958555
73,nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,0.8454414812739607
74,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8415444253673766
75,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8535772300652468
76,nielsr/van-base-finetuned-eurosat-imgaug,0.857868942466342
77,mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,0.820396113863655
78,jemole/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8512662699317072
79,guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8500327771603047
80,eren23/pneumonia_test_attempt,0.8566647893669621
81,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.8505561876215162
82,nickmuchi/vit-base-xray-pneumonia,0.8481178564970682
83,facebook/convnext-base-224-22k,0.8569045671106914
84,microsoft/swin-large-patch4-window7-224-in22k,0.8686079395672127
85,microsoft/swin-base-patch4-window7-224-in22k,0.8500444687815251
86,microsoft/beit-base-patch16-224-pt22k-ft22k,0.7854793138665349
87,facebook/convnext-large-224-22k,0.8711078913354499
88,facebook/convnext-xlarge-224-22k,0.869501549050091
89,microsoft/swin-base-patch4-window12-384-in22k,0.8864946198206601
90,microsoft/beit-large-patch16-224-pt22k-ft22k,0.7784292537882862
91,nielsr/convnext-xlarge-224-22k,0.8649615817041745
92,nickmuchi/vit-finetuned-cats-dogs,0.8504717452941745
93,ismgar01/vit-base-cats-vs-dogs,0.8492812989494345
94,akahana/vit-base-cats-vs-dogs,0.8516752832737913
95,nateraw/vit-base-cats-vs-dogs,0.8565086980646219
96,nateraw/test_model_a,0.10069467051208146
97,matteopilotto/vit-base-patch16-224-in21k-snacks,0.8477268557995582
98,Matthijs/snacks-classifier,0.8298951988501302
99,nateraw/vit-base-food101,0.8499044924732791
100,eslamxm/vit-base-food101,0.8493986346283446
101,SriramSridhar78/sriram-car-classifier,0.8554013955582369
102,imjeffhi/pokemon_classifier,0.8479086820771607
103,AkshatSurolia/ViT-FaceMask-Finetuned,0.8400887268508208
104,AkshatSurolia/BEiT-FaceMask-Finetuned,0.739583456417602
105,AkshatSurolia/DeiT-FaceMask-Finetuned,0.8527077216117394
106,Ahmed9275/Vit-Cifar100,0.8477015596141075
