,model,score
0,firebolt/llama_or_what2,0.8505375981540725
1,google/vit-base-patch16-224,0.8561398595904168
2,nateraw/denver-nyc-paris,0.84941197363787
3,black/simple_kitchen,0.8525741109167504
4,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.8470688508983926
5,Suzana/new-york-tokyo-london,0.8524432125260242
6,filipafcastro/beer_vs_wine,0.8499983514621614
7,nateraw/baked-goods,0.8455701612519917
8,ajanco/greens,0.8485620632882991
9,nateraw/vit-base-beans-demo,0.8409079520362184
10,HHousen/household-rooms,0.8515031135798601
11,Amrrs/indian-foods,0.8491177126179345
12,nateraw/planes-trains-automobiles,0.8489453717168588
13,julien-c/hotdog-not-hotdog,0.8515630770054531
14,jmarshall/rare-puppers,0.8464523937826307
15,nielsr/vit-finetuned-eurosat-kornia,0.8482185943923732
16,eren23/pneumonia_test_attempt,0.8504874466650203
17,micole66/dwarf-goats,0.8527479852803286
18,nateraw/ex-for-evan,0.8517545152854273
19,karthiksv/vit-base-patch16-224-cifar10,0.8536664283643038
20,ferdinand/rare-puppers,0.840810033840281
21,ipvikas/rare-puppers,0.8338736029631832
22,Frodnar/bee-likes,0.8480024548638526
23,nickmuchi/vit-base-beans,0.8526328646968081
24,nateraw/baseball-stadium-foods,0.8523861561775894
25,Giuliano/places,0.853454627739748
26,firas-spanioli/beer-whisky-wine-detection,0.8583714134708396
27,jjhoffstein/lotr,0.8477128120150048
28,Nonem100/Test-Model,0.8355767537425203
29,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,0.8458818002396937
30,LorenzoDeMattei/lawn-weeds,0.8461003280857523
31,nateraw/doggos-lol,0.8304454372804219
32,IDEA-CCNL/Taiyi-vit-87M-D,0.8576390623180093
33,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.8523367970889743
34,karthiksv/vit-base-beans,0.8429087649125843
35,Symbermine/rare-puppers,0.8518220222122259
36,nateraw/vit-base-patch16-224-cifar10,0.8538321889679621
37,gatecitypreservation/architectural_styles,0.8551829374046256
38,Amrrs/south-indian-foods,0.8485284206101352
39,hafidber/fruits,0.8504596694622815
