,model,score
0,firebolt/llama_or_what2,0.5139427281269545
1,google/vit-base-patch16-224,0.47960620461464615
2,nateraw/denver-nyc-paris,0.5171456071046007
3,black/simple_kitchen,0.5166704750997667
4,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.531011459504309
5,Suzana/new-york-tokyo-london,0.5275448127506993
6,filipafcastro/beer_vs_wine,0.5190159818695089
7,nateraw/baked-goods,0.5180189537031186
8,ajanco/greens,0.5218422633874696
9,nateraw/vit-base-beans-demo,0.5120066071544604
10,HHousen/household-rooms,0.5137566427106592
11,Amrrs/indian-foods,0.515074409000063
12,nateraw/planes-trains-automobiles,0.5089829037007307
13,julien-c/hotdog-not-hotdog,0.5351001248106999
14,jmarshall/rare-puppers,0.5202300100387837
15,nielsr/vit-finetuned-eurosat-kornia,0.5120433964558119
16,eren23/pneumonia_test_attempt,0.5135077791850358
17,micole66/dwarf-goats,0.5176735768755844
18,nateraw/ex-for-evan,0.5159684714912152
19,karthiksv/vit-base-patch16-224-cifar10,0.5080054145227971
20,ferdinand/rare-puppers,0.5379426718294932
21,ipvikas/rare-puppers,0.5203052573895395
22,Frodnar/bee-likes,0.5029017980225642
23,nickmuchi/vit-base-beans,0.5231539562407469
24,nateraw/baseball-stadium-foods,0.49829179731248663
25,Giuliano/places,0.514125047692052
26,firas-spanioli/beer-whisky-wine-detection,0.5061098063005878
27,jjhoffstein/lotr,0.5142201089009926
28,Nonem100/Test-Model,0.49612826987562497
29,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,0.5269094164861247
30,LorenzoDeMattei/lawn-weeds,0.5123384380991124
31,nateraw/doggos-lol,0.5071972080752792
32,IDEA-CCNL/Taiyi-vit-87M-D,0.47642068874601606
33,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.501801412659587
34,karthiksv/vit-base-beans,0.5150116846918408
35,Symbermine/rare-puppers,0.5059599026865801
36,nateraw/vit-base-patch16-224-cifar10,0.5143519203279731
37,gatecitypreservation/architectural_styles,0.5118351103169649
38,Amrrs/south-indian-foods,0.5140560002249778
39,hafidber/fruits,0.5214709559093036
40,nateraw/rare-puppers-123,0.5190313073532417
41,Aftabhussain/Tomato_Leaf_Classifier,0.4983575369265687
42,nickmuchi/vit-base-xray-pneumonia,0.5087823866142428
43,Neto71/sea_mammals,0.5115353113226039
44,lewtun/oz-fauna,0.5195603113905922
45,hgarg/fruits,0.5130089523782884
46,jasmeen/dogs,0.5129505160884262
47,b25mayank3/shirt_identifier,0.519530553066669
48,jeffboudier/vision-transformers-spain-or-italy-fan,0.5148640276248596
