,model,score
0,firebolt/llama_or_what2,0.8746068191099996
1,google/vit-base-patch16-224,0.8739656304562068
2,nateraw/denver-nyc-paris,0.8746074723739505
3,black/simple_kitchen,0.8746075311748887
4,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.8746028380570141
5,Suzana/new-york-tokyo-london,0.8746075135928351
6,filipafcastro/beer_vs_wine,0.874608155823209
7,nateraw/baked-goods,0.8746074732674762
8,ajanco/greens,0.8746061933665892
9,nateraw/vit-base-beans-demo,0.8746074714284192
10,HHousen/household-rooms,0.8746061969586576
11,Amrrs/indian-foods,0.8746061614225782
12,nateraw/planes-trains-automobiles,0.8746074564072901
13,julien-c/hotdog-not-hotdog,0.8746081643867514
14,jmarshall/rare-puppers,0.8746074738668949
15,nielsr/vit-finetuned-eurosat-kornia,0.8746028769029102
16,eren23/pneumonia_test_attempt,0.8746081328107942
17,micole66/dwarf-goats,0.8746081135290722
18,nateraw/ex-for-evan,0.874606813344424
19,karthiksv/vit-base-patch16-224-cifar10,0.8746028354766733
20,ferdinand/rare-puppers,0.8746075103964641
21,ipvikas/rare-puppers,0.874607531260006
22,Frodnar/bee-likes,0.8746074740025348
23,nickmuchi/vit-base-beans,0.8746075073466123
24,nateraw/baseball-stadium-foods,0.8746061623641219
25,Giuliano/places,0.8746074754057804
26,firas-spanioli/beer-whisky-wine-detection,0.8746074691164709
27,jjhoffstein/lotr,0.8746061427169285
28,Nonem100/Test-Model,0.8746061202670643
29,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,0.8746068556997142
30,LorenzoDeMattei/lawn-weeds,0.8746074758425901
31,nateraw/doggos-lol,0.8746074767642332
32,IDEA-CCNL/Taiyi-vit-87M-D,0.8739656227551478
33,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.8746080915752708
34,karthiksv/vit-base-beans,0.8746074760561962
35,Symbermine/rare-puppers,0.8746061585611749
36,nateraw/vit-base-patch16-224-cifar10,0.8746028577751863
37,gatecitypreservation/architectural_styles,0.874606162400691
38,Amrrs/south-indian-foods,0.8746061594647895
39,hafidber/fruits,0.8746062229058347
40,nateraw/rare-puppers-123,0.8746074759438481
41,Aftabhussain/Tomato_Leaf_Classifier,0.874608090668277
42,nickmuchi/vit-base-xray-pneumonia,0.8746081282045639
43,Neto71/sea_mammals,0.8746074569942134
44,lewtun/oz-fauna,0.8746061556228371
45,hgarg/fruits,0.8746061622864729
46,jasmeen/dogs,0.8746074760456859
47,b25mayank3/shirt_identifier,0.8746068533484839
48,jeffboudier/vision-transformers-spain-or-italy-fan,0.8746081332808792
49,facebook/convnext-base-224-22k,0.8703844925180767
50,nickmuchi/vit-finetuned-cats-dogs,0.8746081323141556
51,godiec/diam,0.8746068192333505
52,Rajaram1996/FacialEmoRecog,0.8746041492855381
53,nateraw/vit-base-beans-demo-v3,0.8746075346162014
54,firebolt/llama_or_what,0.8746068202773343
55,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.8746028796069976
56,johnnydevriese/vit_beans,0.8746074722345824
57,nateraw/vit-age-classifier,0.8746035698141879
58,nateraw/vit-base-beans-demo-v2,0.8746074752209108
59,mmekias/vit-base-beans,0.874607477762935
60,juanfiguera/ice_cream,0.8746081338320968
61,drab/Infrastructures,0.8746074340420544
62,nateraw/vit-base-beans,0.8746075343439439
63,Sena/dog,0.8746074569343923
64,jaygala24/finetuned-vit-base-patch16-224-upside-down-detector,0.8746081137798792
65,hafidber/rare-puppers,0.8746074763847149
66,edixo/road_good_damaged_condition,0.8746081888196776
67,AykeeSalazar/vc-bantai-vit-withoutAMBI,0.8746074731235743
68,Sena/flowers,0.8746062174779161
69,matteopilotto/vit-base-patch16-224-in21k-snacks,0.8745963058546883
70,johnnydevriese/vit-airplanes,0.8746074351363864
71,nateraw/pasta-shapes,0.874607475825111
72,mrm8488/vit-base-patch16-224_finetuned-pneumothorax,0.8746081136051801
73,hgarg/indian-snacks,0.8746061869119983
74,nateraw/vit-base-food101,0.8745432665027439
75,Hijazzi/rare-puppers,0.8746074768434463
76,nateraw/trainer-rare-puppers,0.8746074701744347
77,ibombonato/vit-age-classifier,0.8746028690175495
78,nateraw/rare-puppers-new-auth,0.874607477701961
79,SriramSridhar78/sriram-car-classifier,0.8744811428540658
80,ismgar01/vit-base-cats-vs-dogs,0.8746081301407833
81,nateraw/rare-puppers,0.8746074724477519
82,iyzg/computer-stuff,0.8746061584430462
83,nateraw/huggingpics-package-demo-2,0.8746075101852487
84,imjeffhi/pokemon_classifier,0.8740300614770116
85,nateraw/pasta-pizza-ravioli,0.8746074689325227
86,akahana/vit-base-cats-vs-dogs,0.8746081651818024
87,nateraw/donut-or-bagel,0.87460813266883
88,nateraw/rare-puppers-09-04-2021,0.874607508134002
89,nateraw/vit-base-cats-vs-dogs,0.8746081910690215
90,Zayn/VIT_Basic,0.8746061639696349
91,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.8746028776674397
92,AkshatSurolia/ViT-FaceMask-Finetuned,0.8746081137194327
93,microsoft/swin-large-patch4-window7-224-in22k,0.8974742768916847
94,Ahmed9275/Vit-Cifar100,0.8745438635398499
95,driboune/skin_type,0.8746081255007285
96,microsoft/swin-base-patch4-window7-224-in22k,0.8699472952621962
97,facebook/deit-base-patch16-224,0.8739656298355611
98,facebook/deit-base-distilled-patch16-224,0.8733479945952227
99,eslamxm/vit-base-food101,0.8745431923425856
100,mrm8488/data2vec-base-finetuned-imagenet1k,0.8739956911827002
101,facebook/convnext-base-224,0.8724048705585588
102,facebook/convnext-small-224,0.9051873297982114
103,microsoft/swin-base-patch4-window7-224,0.8730156605911634
104,microsoft/beit-base-patch16-224,0.8739957269545825
105,mrm8488/convnext-tiny-finetuned-eurosat,0.8624495071362481
106,mrm8488/convnext-tiny-finetuned-beans,0.8624276972237628
107,facebook/convnext-tiny-224,0.8654719495516836
108,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,0.8624495249639996
109,microsoft/beit-base-patch16-224-pt22k-ft22k,0.8679172769117119
110,AkshatSurolia/ConvNeXt-FaceMask-Finetuned,0.8624245875888901
111,Calin/convnext-tiny-finteuned-eurosat,0.8624495211428397
112,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,0.8624495303181458
113,Visual-Attention-Network/van-small,0.7837522376646452
114,WinKawaks/vit-small-patch16-224,0.8353175881302406
115,facebook/deit-small-distilled-patch16-224,0.837364578372712
116,Visual-Attention-Network/van-base,0.857219242338306
117,jadohu/BEiT-finetuned,0.8746342011027815
118,nielsr/convnext-tiny-finetuned-eurostat,0.8624495210770626
119,facebook/deit-small-patch16-224,0.8353175888487997
120,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8612206305598611
121,microsoft/swin-small-patch4-window7-224,0.9050795144984929
122,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8612206147392112
123,Ahmed9275/ALL-3,0.8642929676242281
124,facebook/convnext-large-224,0.9361780238018294
125,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8612206544626099
126,WinKawaks/vit-tiny-patch16-224,0.7171912388245872
127,Visual-Attention-Network/van-tiny,0.7022951591989433
128,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8612206299837695
129,facebook/deit-tiny-distilled-patch16-224,0.7189420397254938
130,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8612206314879827
131,nielsr/convnext-tiny-finetuned-eurosat,0.8624495073567647
132,ibombonato/swin-age-classifier,0.8612206313882566
133,Ahmed9275/ALL-test,0.864292944315893
134,nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,0.8612206160667237
135,facebook/deit-tiny-patch16-224,0.7171912502870789
136,microsoft/swin-tiny-patch4-window7-224,0.8642929439758427
137,flyswot/test,0.715439423797318
138,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8612206303879522
139,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8612206550428928
140,nielsr/van-base-finetuned-eurosat-imgaug,0.854992767397613
141,mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8612206544601013
142,Visual-Attention-Network/van-large,0.9025042187931089
143,Matthijs/snacks-classifier,0.8612522859398677
144,jemole/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8612206145699279
145,nateraw/test_model_a,0.662356713911966
146,guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8612206102838489
147,google/vit-base-patch32-384,0.8726192698645939
148,nateraw/rare-puppers-demo,0.8746068200235736
149,AkshatSurolia/BEiT-FaceMask-Finetuned,0.8747217772035393
150,AkshatSurolia/DeiT-FaceMask-Finetuned,0.8746068498245365
151,meame2010/rare-puppers,0.8746068165064831
152,facebook/convnext-base-224-22k-1k,0.8724048713615632
153,google/vit-large-patch32-384,0.8197408072641132
154,microsoft/swin-large-patch4-window7-224,0.9370475662651797
155,mmgyorke/vit-world-landmarks,0.8746061570972705
156,lysandre/tiny-vit-random,0.6626937271711953
157,AhmedSayeem/VIT_Basic,0.8746061587793609
158,facebook/convnext-large-224-22k-1k,0.9361779328873074
159,tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,0.8746028781659105
160,facebook/convnext-base-384,0.8724050432113414
161,microsoft/resnet-50,0.8526782342030357
162,microsoft/beit-base-patch16-224-pt22k,0.874721796761356
163,microsoft/beit-large-patch16-224,0.8181326636637707
164,facebook/convnext-large-224-22k,0.8954317884387479
165,google/vit-large-patch16-224,0.8180642244839391
166,facebook/convnext-large-384,0.9361780312412189
167,facebook/convnext-xlarge-224-22k,0.9453444808236408
168,facebook/convnext-large-384-22k-1k,0.9361780850655284
169,nielsr/convnext-xlarge-224-22k-1k,0.8966391635166798
170,facebook/deit-base-patch16-384,0.8737289765431502
171,google/vit-base-patch16-384,0.8737287054243976
172,microsoft/swin-base-patch4-window12-384-in22k,0.8700166902442923
173,microsoft/beit-large-patch16-224-pt22k-ft22k,0.8454294413278899
