,model,score
0,firebolt/llama_or_what2,-0.1884194040275181
1,julien-c/hotdog-not-hotdog,-0.18843219438616698
2,jmarshall/rare-puppers,-0.18842581342421727
3,ferdinand/rare-puppers,-0.18842578464480952
4,ipvikas/rare-puppers,-0.18842576820185075
5,nateraw/baseball-stadium-foods,-0.18841299593665128
6,nateraw/rare-puppers-123,-0.1884258117887042
7,hafidber/rare-puppers,-0.18842581144124593
8,Hijazzi/rare-puppers,-0.1884258110796776
9,nateraw/rare-puppers,-0.1884258145423069
10,google/vit-base-patch16-224,-0.18189788060463064
11,facebook/deit-base-patch16-224,-0.1818978810947237
12,facebook/deit-base-distilled-patch16-224,-0.17505641542070538
13,mrm8488/data2vec-base-finetuned-imagenet1k,-0.18221649959794506
14,facebook/convnext-base-224,-0.1633307859319778
15,facebook/convnext-small-224,-0.19731674798808851
16,microsoft/swin-base-patch4-window7-224,-0.17111628028521209
17,facebook/convnext-tiny-224,-0.0024328618599366303
18,Visual-Attention-Network/van-small,0.152594514595085
19,facebook/deit-small-distilled-patch16-224,0.0625974833074634
20,Visual-Attention-Network/van-base,0.0186862880140517
21,microsoft/swin-small-patch4-window7-224,-0.19312581182940336
22,Ahmed9275/ALL-3,0.0007155067465471898
23,facebook/convnext-large-224,1.2260090123953633
24,Ahmed9275/ALL-test,0.0007154924307948285
25,microsoft/swin-tiny-patch4-window7-224,0.0007154922220506954
26,Visual-Attention-Network/van-large,-0.15670233289361624
27,google/vit-base-patch32-384,-0.16615031612189235
28,facebook/convnext-base-224-22k-1k,-0.16333078529475353
29,google/vit-large-patch32-384,0.6290898708159605
30,microsoft/swin-large-patch4-window7-224,1.2342309820987691
31,facebook/convnext-large-224-22k-1k,1.2260089617095364
32,facebook/convnext-base-384,-0.16333064884898574
33,microsoft/resnet-50,0.0294923018833243
34,google/vit-large-patch16-224,0.5828191881317495
35,facebook/convnext-large-384,1.2260090165257864
36,facebook/convnext-large-384-22k-1k,1.226009046526873
37,nielsr/convnext-xlarge-224-22k-1k,1.7977954633311923
38,facebook/deit-base-patch16-384,-0.17933928363342344
39,google/vit-base-patch16-384,-0.1793394990008964
40,facebook/deit-base-distilled-patch16-384,-0.17239181581407703
41,facebook/convnext-xlarge-224-22k-1k,1.7977954633084918
42,microsoft/beit-large-patch16-384,0.5960001055900797
43,microsoft/swin-large-patch4-window12-384,1.2329335446131726
44,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,-0.18838098352526422
45,karthiksv/vit-base-patch16-224-cifar10,-0.1883809855566153
46,nateraw/vit-base-patch16-224-cifar10,-0.18838096799955018
47,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,-0.18838095080494754
48,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,-0.18838095233259067
49,jadohu/BEiT-finetuned,-0.1886863104693769
50,nateraw/vit-base-beans-demo,-0.18842581534536096
51,nickmuchi/vit-base-beans,-0.18842578704846547
52,karthiksv/vit-base-beans,-0.18842581169994943
53,nateraw/vit-base-beans-demo-v3,-0.18842576555636092
54,nateraw/vit-base-beans-demo-v2,-0.1884258123582433
55,mmekias/vit-base-beans,-0.18842581035591388
56,nateraw/vit-base-beans,-0.18842576577095727
57,mrm8488/convnext-tiny-finetuned-beans,0.00560189761552643
58,nielsr/vit-finetuned-eurosat-kornia,-0.18838095293459867
59,mrm8488/convnext-tiny-finetuned-eurosat,0.005545373933734998
60,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,0.005545384849578783
61,Calin/convnext-tiny-finteuned-eurosat,0.005545382509399066
62,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,0.00554538812836014
