,model,score
0,firebolt/llama_or_what2,0.8790466406359815
1,google/vit-base-patch16-224,0.8785635455615572
2,nateraw/denver-nyc-paris,0.8790471292820725
3,black/simple_kitchen,0.8790471557586671
4,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.879043681049998
5,Suzana/new-york-tokyo-london,0.8790471478418104
6,filipafcastro/beer_vs_wine,0.8790476315180157
7,nateraw/baked-goods,0.8790471296842812
8,ajanco/greens,0.8790461643804482
9,nateraw/vit-base-beans-demo,0.879047128856119
10,HHousen/household-rooms,0.8790461659981219
11,Amrrs/indian-foods,0.8790461499966995
12,nateraw/planes-trains-automobiles,0.8790471220922506
13,julien-c/hotdog-not-hotdog,0.8790476353740881
14,jmarshall/rare-puppers,0.8790471299542428
15,nielsr/vit-finetuned-eurosat-kornia,0.8790436985421279
16,eren23/pneumonia_test_attempt,0.8790476211561702
17,micole66/dwarf-goats,0.8790476124736128
18,nateraw/ex-for-evan,0.8790466380398587
19,karthiksv/vit-base-patch16-224-cifar10,0.8790436798880855
20,ferdinand/rare-puppers,0.879047146402726
21,ipvikas/rare-puppers,0.8790471557967768
22,Frodnar/bee-likes,0.8790471300152486
23,nickmuchi/vit-base-beans,0.8790471450294128
24,nateraw/baseball-stadium-foods,0.8790461504208624
25,Giuliano/places,0.8790471306469376
26,firas-spanioli/beer-whisky-wine-detection,0.8790471278149681
27,jjhoffstein/lotr,0.8790461415737978
28,Nonem100/Test-Model,0.8790461314645747
29,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,0.8790466571115878
30,LorenzoDeMattei/lawn-weeds,0.8790471308437987
31,nateraw/doggos-lol,0.8790471312585549
32,IDEA-CCNL/Taiyi-vit-87M-D,0.8785635420892641
33,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.8790476025882449
34,karthiksv/vit-base-beans,0.8790471309399577
35,Symbermine/rare-puppers,0.8790461487084288
36,nateraw/vit-base-patch16-224-cifar10,0.8790436899290284
37,gatecitypreservation/architectural_styles,0.8790461504372722
38,Amrrs/south-indian-foods,0.8790461491153807
39,hafidber/fruits,0.8790461776811371
40,nateraw/rare-puppers-123,0.8790471308893691
41,Aftabhussain/Tomato_Leaf_Classifier,0.8790476021798123
42,nickmuchi/vit-base-xray-pneumonia,0.8790476190819494
43,Neto71/sea_mammals,0.879047122356589
44,lewtun/oz-fauna,0.8790461473851354
45,hgarg/fruits,0.8790461503857069
46,jasmeen/dogs,0.8790471309352217
47,b25mayank3/shirt_identifier,0.8790466560529838
48,jeffboudier/vision-transformers-spain-or-italy-fan,0.879047621367902
49,facebook/convnext-base-224-22k,0.8728761841269805
50,nickmuchi/vit-finetuned-cats-dogs,0.8790476209322864
51,godiec/diam,0.8790466406915337
52,Rajaram1996/FacialEmoRecog,0.8790446604749887
53,nateraw/vit-base-beans-demo-v3,0.8790471573079969
54,firebolt/llama_or_what,0.8790466411616953
55,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.8790436997597036
56,johnnydevriese/vit_beans,0.879047129219142
57,nateraw/vit-age-classifier,0.8790442050495298
58,nateraw/vit-base-beans-demo-v2,0.8790471305637498
59,mmekias/vit-base-beans,0.879047131708351
60,juanfiguera/ice_cream,0.8790476216158855
61,drab/Infrastructures,0.8790471120212481
62,nateraw/vit-base-beans,0.8790471571854043
63,Sena/dog,0.8790471223295615
64,jaygala24/finetuned-vit-base-patch16-224-upside-down-detector,0.8790476125866831
65,hafidber/rare-puppers,0.8790471310878667
