,model,score
0,google/vit-base-patch16-224,0.8956477
1,IDEA-CCNL/Taiyi-vit-87M-D,0.933975
2,facebook/deit-base-patch16-224,0.9352888
3,facebook/deit-base-distilled-patch16-224,0.9326928
4,mrm8488/data2vec-base-finetuned-imagenet1k,0.7250991
5,facebook/convnext-base-224,0.9234316
6,facebook/convnext-small-224,0.88109523
7,microsoft/swin-base-patch4-window7-224,0.8714087
8,microsoft/beit-base-patch16-224,0.5069725
9,facebook/convnext-tiny-224,0.91061085
10,Visual-Attention-Network/van-small,0.7404226
11,WinKawaks/vit-small-patch16-224,0.7324039
12,facebook/deit-small-distilled-patch16-224,0.77068204
13,Visual-Attention-Network/van-base,0.7798692
14,facebook/deit-small-patch16-224,0.7987379
15,microsoft/swin-small-patch4-window7-224,0.7760927
16,Ahmed9275/ALL-3,0.7789982
17,facebook/convnext-large-224,0.9294458
18,WinKawaks/vit-tiny-patch16-224,0.6064047
19,Visual-Attention-Network/van-tiny,0.66817737
20,facebook/deit-tiny-distilled-patch16-224,0.7576231
21,Ahmed9275/ALL-test,0.7923227
22,facebook/deit-tiny-patch16-224,0.6653269
23,microsoft/swin-tiny-patch4-window7-224,0.81539845
24,Visual-Attention-Network/van-large,0.78095204
25,google/vit-base-patch32-384,0.9332913
26,facebook/convnext-base-224-22k-1k,0.94500494
27,google/vit-large-patch32-384,0.9419644
28,microsoft/swin-large-patch4-window7-224,0.914307
29,lysandre/tiny-vit-random,0.007290883
30,facebook/convnext-large-224-22k-1k,0.9652994
31,facebook/convnext-base-384,0.93822116
32,microsoft/resnet-50,0.72791237
33,microsoft/beit-base-patch16-224-pt22k,0.4473548
34,microsoft/beit-large-patch16-224,0.43624252
35,google/vit-large-patch16-224,0.8455864
36,facebook/convnext-large-384,0.94060475
37,facebook/convnext-large-384-22k-1k,0.95479226
38,microsoft/beit-large-patch16-384,0.66194445
39,nielsr/convnext-xlarge-224-22k-1k,0.9553171
40,facebook/deit-base-patch16-384,0.961068
41,google/vit-base-patch16-384,0.9168374
42,facebook/deit-base-distilled-patch16-384,0.91866255
43,microsoft/swin-large-patch4-window12-384,0.92993516
44,facebook/convnext-xlarge-224-22k-1k,0.9553171
45,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.89020354
46,karthiksv/vit-base-patch16-224-cifar10,0.89300233
47,nateraw/vit-base-patch16-224-cifar10,0.8907763
48,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.8905394
49,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.8954294
50,jadohu/BEiT-finetuned,0.590351
51,tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,0.8934621
52,nateraw/vit-base-beans-demo,0.863519
53,nickmuchi/vit-base-beans,0.8833489
54,karthiksv/vit-base-beans,0.8646746
55,nateraw/vit-base-beans-demo-v3,0.88794804
56,johnnydevriese/vit_beans,0.8643953
57,nateraw/vit-base-beans-demo-v2,0.8768074
58,mmekias/vit-base-beans,0.85715026
59,nateraw/vit-base-beans,0.88950133
60,mrm8488/convnext-tiny-finetuned-beans,0.8687823
61,nielsr/vit-finetuned-eurosat-kornia,0.86927795
62,mrm8488/convnext-tiny-finetuned-eurosat,0.80052257
63,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,0.85023606
64,Calin/convnext-tiny-finteuned-eurosat,0.8470579
65,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,0.8302462
66,nielsr/convnext-tiny-finetuned-eurostat,0.8470579
67,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7593776
68,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,0.73013955
69,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,0.75978976
70,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7514296
71,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,0.72725713
72,nielsr/convnext-tiny-finetuned-eurosat,0.7981979
73,nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,0.7204897
74,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7343427
75,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,0.76195693
76,nielsr/van-base-finetuned-eurosat-imgaug,0.80940425
77,mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7598021
78,jemole/swin-tiny-patch4-window7-224-finetuned-eurosat,0.6874684
79,guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7137548
80,eren23/pneumonia_test_attempt,0.86312896
81,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.85471284
82,nickmuchi/vit-base-xray-pneumonia,0.8380341
83,facebook/convnext-base-224-22k,0.96884763
84,microsoft/swin-large-patch4-window7-224-in22k,0.95610374
85,microsoft/swin-base-patch4-window7-224-in22k,0.92863464
86,microsoft/beit-base-patch16-224-pt22k-ft22k,0.64645654
87,facebook/convnext-large-224-22k,0.9636428
88,facebook/convnext-xlarge-224-22k,0.9699171
89,microsoft/swin-base-patch4-window12-384-in22k,0.9460045
90,microsoft/beit-large-patch16-224-pt22k-ft22k,0.6948013
91,nielsr/convnext-xlarge-224-22k,0.9677673
92,nickmuchi/vit-finetuned-cats-dogs,0.88969153
93,ismgar01/vit-base-cats-vs-dogs,0.8701803
94,akahana/vit-base-cats-vs-dogs,0.86413234
95,nateraw/vit-base-cats-vs-dogs,0.8772075
96,nateraw/test_model_a,0.028207563
97,matteopilotto/vit-base-patch16-224-in21k-snacks,0.86758494
98,Matthijs/snacks-classifier,0.7234146
99,nateraw/vit-base-food101,0.89623666
100,eslamxm/vit-base-food101,0.85142857
101,SriramSridhar78/sriram-car-classifier,0.88018286
102,imjeffhi/pokemon_classifier,0.87247247
103,AkshatSurolia/ViT-FaceMask-Finetuned,0.7543251
104,AkshatSurolia/BEiT-FaceMask-Finetuned,0.35783494
105,AkshatSurolia/DeiT-FaceMask-Finetuned,0.8773036
106,Ahmed9275/Vit-Cifar100,0.78514916
