,model,score
0,google/vit-base-patch16-224,0.9378735
1,IDEA-CCNL/Taiyi-vit-87M-D,0.94586104
2,facebook/deit-base-patch16-224,0.9475855
3,facebook/deit-base-distilled-patch16-224,0.9645193
4,mrm8488/data2vec-base-finetuned-imagenet1k,0.77748054
5,facebook/convnext-base-224,0.9082276
6,facebook/convnext-small-224,0.90393984
7,microsoft/swin-base-patch4-window7-224,0.88517773
8,microsoft/beit-base-patch16-224,0.6180448
9,facebook/convnext-tiny-224,0.8953196
10,Visual-Attention-Network/van-small,0.7574148
11,WinKawaks/vit-small-patch16-224,0.76535606
12,facebook/deit-small-distilled-patch16-224,0.8139302
13,Visual-Attention-Network/van-base,0.8346791
14,facebook/deit-small-patch16-224,0.81375396
15,microsoft/swin-small-patch4-window7-224,0.7578379
16,Ahmed9275/ALL-3,0.8230632
17,facebook/convnext-large-224,0.92888534
18,WinKawaks/vit-tiny-patch16-224,0.64127
19,Visual-Attention-Network/van-tiny,0.69661987
20,facebook/deit-tiny-distilled-patch16-224,0.7021723
21,Ahmed9275/ALL-test,0.84257203
22,facebook/deit-tiny-patch16-224,0.62863576
23,microsoft/swin-tiny-patch4-window7-224,0.8478272
24,Visual-Attention-Network/van-large,0.8623585
25,google/vit-base-patch32-384,0.92819107
26,facebook/convnext-base-224-22k-1k,0.93395823
27,google/vit-large-patch32-384,0.7901373
28,microsoft/swin-large-patch4-window7-224,0.9276726
29,lysandre/tiny-vit-random,0.045509342
30,facebook/convnext-large-224-22k-1k,0.93419945
31,facebook/convnext-base-384,0.9121402
32,microsoft/resnet-50,0.7145219
33,microsoft/beit-base-patch16-224-pt22k,0.47332942
34,microsoft/beit-large-patch16-224,0.40633
35,google/vit-large-patch16-224,0.90061325
36,facebook/convnext-large-384,0.8851972
37,facebook/convnext-large-384-22k-1k,0.9328322
38,nielsr/convnext-xlarge-224-22k-1k,0.9026331
39,facebook/deit-base-patch16-384,0.94230694
40,google/vit-base-patch16-384,0.91887474
41,facebook/deit-base-distilled-patch16-384,0.91451323
42,facebook/convnext-xlarge-224-22k-1k,0.9026331
43,microsoft/beit-large-patch16-384,0.6185696
44,microsoft/swin-large-patch4-window12-384,0.92496145
45,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.898133
46,karthiksv/vit-base-patch16-224-cifar10,0.9088507
47,nateraw/vit-base-patch16-224-cifar10,0.9115518
48,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.9174349
49,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.91966355
50,jadohu/BEiT-finetuned,0.59503573
51,tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,0.9224793
52,nateraw/vit-base-beans-demo,0.8780356
53,nickmuchi/vit-base-beans,0.912032
54,karthiksv/vit-base-beans,0.9126759
55,nateraw/vit-base-beans-demo-v3,0.91638345
56,johnnydevriese/vit_beans,0.9018575
57,nateraw/vit-base-beans-demo-v2,0.90298116
58,mmekias/vit-base-beans,0.9116476
59,nateraw/vit-base-beans,0.9164192
60,mrm8488/convnext-tiny-finetuned-beans,0.89538246
61,nielsr/vit-finetuned-eurosat-kornia,0.9056163
62,mrm8488/convnext-tiny-finetuned-eurosat,0.8739154
63,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,0.8627227
64,Calin/convnext-tiny-finteuned-eurosat,0.8731097
65,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,0.8518654
66,nielsr/convnext-tiny-finetuned-eurostat,0.86130846
67,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7947701
68,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,0.77657765
69,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7655369
70,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,0.79934585
71,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7903966
72,nielsr/convnext-tiny-finetuned-eurosat,0.86287194
73,nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,0.77927196
74,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7938164
75,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,0.77810663
76,nielsr/van-base-finetuned-eurosat-imgaug,0.7931979
77,mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,0.75334173
78,jemole/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7450482
79,guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7656261
80,eren23/pneumonia_test_attempt,0.90939003
81,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.89866924
82,nickmuchi/vit-base-xray-pneumonia,0.863521
83,facebook/convnext-base-224-22k,0.9376232
84,microsoft/swin-large-patch4-window7-224-in22k,0.93762606
85,microsoft/swin-base-patch4-window7-224-in22k,0.8939143
86,microsoft/beit-base-patch16-224-pt22k-ft22k,0.63623077
87,facebook/convnext-large-224-22k,0.95833033
88,facebook/convnext-xlarge-224-22k,0.91704714
89,microsoft/swin-base-patch4-window12-384-in22k,0.891885
90,microsoft/beit-large-patch16-224-pt22k-ft22k,0.54374593
91,nielsr/convnext-xlarge-224-22k,0.91476905
92,nickmuchi/vit-finetuned-cats-dogs,0.92541987
93,ismgar01/vit-base-cats-vs-dogs,0.9064499
94,akahana/vit-base-cats-vs-dogs,0.8849449
95,nateraw/vit-base-cats-vs-dogs,0.9178858
96,nateraw/test_model_a,0.023656871
97,matteopilotto/vit-base-patch16-224-in21k-snacks,0.91281164
98,Matthijs/snacks-classifier,0.7734158
99,nateraw/vit-base-food101,0.92044103
100,eslamxm/vit-base-food101,0.86822325
101,SriramSridhar78/sriram-car-classifier,0.9488099
102,imjeffhi/pokemon_classifier,0.891743
103,AkshatSurolia/ViT-FaceMask-Finetuned,0.81077325
104,AkshatSurolia/BEiT-FaceMask-Finetuned,0.36218512
105,AkshatSurolia/DeiT-FaceMask-Finetuned,0.91331804
106,Ahmed9275/Vit-Cifar100,0.8065417
