,model,score
0,matteopilotto/vit-base-patch16-224-in21k-snacks,1.0003369
1,Matthijs/snacks-classifier,0.9190686
2,ibombonato/vit-age-classifier,0.9922964
3,ibombonato/swin-age-classifier,0.9175868
4,nateraw/vit-age-classifier,0.95521283
5,karthiksv/vit-base-beans,1.0040522
6,nateraw/vit-base-beans-demo-v2,0.9819405
7,mmekias/vit-base-beans,0.99302256
8,mrm8488/convnext-tiny-finetuned-beans,0.99797034
9,nateraw/vit-base-beans,0.9868678
10,johnnydevriese/vit_beans,0.96926093
11,nateraw/vit-base-beans-demo-v3,0.9792341
12,nateraw/vit-base-beans-demo,0.9616554
13,ismgar01/vit-base-cats-vs-dogs,0.952316
14,nateraw/vit-base-cats-vs-dogs,0.9729686
15,akahana/vit-base-cats-vs-dogs,0.95087475
16,nateraw/test_model_a,0.032544956
17,eren23/pneumonia_test_attempt,0.9869646
18,nickmuchi/vit-finetuned-chest-xray-pneumonia,1.0060468
19,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.99789643
20,karthiksv/vit-base-patch16-224-cifar10,1.0041122
21,nateraw/vit-base-patch16-224-cifar10,1.0077709
22,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,1.0111147
23,jadohu/BEiT-finetuned,0.60209405
24,nielsr/vit-finetuned-eurosat-kornia,0.9990963
25,nielsr/van-base-finetuned-eurosat-imgaug,0.9415392
26,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,0.9335774
27,Calin/convnext-tiny-finteuned-eurosat,0.9929762
28,nielsr/convnext-tiny-finetuned-eurosat,0.9408936
29,nielsr/convnext-tiny-finetuned-eurostat,0.9557305
30,mrm8488/convnext-tiny-finetuned-eurosat,0.9193753
31,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,0.91461843
32,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,0.9129263
33,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,0.9352492
34,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,0.9262052
35,jemole/swin-tiny-patch4-window7-224-finetuned-eurosat,0.91487783
36,mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,0.91600025
37,nateraw/vit-base-food101,0.99833643
38,eslamxm/vit-base-food101,0.92656934
39,driboune/skin_type,0.992589
40,nateraw/denver-nyc-paris,1.0027469
41,nateraw/huggingpics-package-demo-2,1.0045472
42,nateraw/baseball-stadium-foods,0.99048656
43,ajanco/greens,0.9958946
44,ipvikas/rare-puppers,0.9982204
45,nateraw/pasta-pizza-ravioli,0.9950019
46,nateraw/rare-puppers-09-04-2021,0.9998448
47,firas-spanioli/beer-whisky-wine-detection,0.999337
48,LorenzoDeMattei/lawn-weeds,1.0009978
49,nateraw/pasta-shapes,1.0008125
50,nateraw/donut-or-bagel,1.0008857
51,lewtun/oz-fauna,0.997995
52,iyzg/computer-stuff,0.9913214
53,julien-c/hotdog-not-hotdog,0.9887224
54,jasmeen/dogs,1.0054821
55,nateraw/rare-puppers-new-auth,0.9874268
56,jmarshall/rare-puppers,0.99221104
57,Amrrs/south-indian-foods,1.005655
58,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,1.0033286
59,Frodnar/bee-likes,0.99110293
60,firebolt/llama_or_what,0.99708813
61,meame2010/rare-puppers,0.99489224
62,hafidber/rare-puppers,0.9982385
63,b25mayank3/shirt_identifier,0.991082
64,Neto71/sea_mammals,0.99370825
65,juanfiguera/ice_cream,1.0043051
66,hafidber/fruits,0.9985104
67,nateraw/rare-puppers-123,1.0070785
68,micole66/dwarf-goats,0.9850227
69,HHousen/household-rooms,0.99979806
70,mmgyorke/vit-world-landmarks,1.0010395
71,Sena/dog,1.0035207
72,drab/Infrastructures,0.9900879
73,Symbermine/rare-puppers,0.9954814
74,mrm8488/vit-base-patch16-224_finetuned-pneumothorax,1.0013375
75,gatecitypreservation/architectural_styles,0.99934286
76,Nonem100/Test-Model,0.9972161
77,nateraw/trainer-rare-puppers,0.9805911
78,nateraw/doggos-lol,0.9783552
79,jaygala24/finetuned-vit-base-patch16-224-upside-down-detector,0.9610185
80,nateraw/ex-for-evan,0.99778765
81,johnnydevriese/vit-airplanes,0.9783513
82,flyswot/test,0.76438934
83,IDEA-CCNL/Taiyi-vit-87M-D,0.99995303
84,google/vit-large-patch32-384,0.91864043
85,microsoft/swin-base-patch4-window7-224,0.98880863
86,facebook/convnext-large-224,0.9330105
87,WinKawaks/vit-small-patch16-224,0.939966
88,facebook/convnext-large-384,0.92599005
89,facebook/deit-base-distilled-patch16-224,1.0225768
90,facebook/deit-base-patch16-224,0.9930644
91,facebook/convnext-base-224,0.94429624
92,Visual-Attention-Network/van-base,0.9173627
93,microsoft/swin-tiny-patch4-window7-224,0.9406686
94,Visual-Attention-Network/van-small,0.92130333
95,facebook/deit-tiny-distilled-patch16-224,0.82942116
96,facebook/convnext-small-224,0.9479058
97,Visual-Attention-Network/van-large,0.9039271
98,facebook/convnext-base-224-22k-1k,1.0043694
99,Visual-Attention-Network/van-tiny,0.7523274
100,microsoft/swin-small-patch4-window7-224,0.89400125
101,lysandre/tiny-vit-random,0.025650533
102,microsoft/beit-base-patch16-224,0.5676567
103,facebook/convnext-large-384-22k-1k,1.0324436
104,microsoft/beit-large-patch16-384,0.5411886
105,facebook/convnext-base-384,0.98356223
106,microsoft/resnet-50,0.84425884
107,google/vit-base-patch16-384,1.0392265
108,google/vit-large-patch16-224,0.9298653
109,facebook/deit-base-patch16-384,1.0111951
110,microsoft/beit-large-patch16-224,0.29701808
111,facebook/convnext-xlarge-224-22k-1k,0.9809243
112,nielsr/convnext-xlarge-224-22k-1k,0.981579
113,microsoft/swin-large-patch4-window12-384,1.0160832
114,microsoft/beit-base-patch16-224-pt22k-ft22k,0.6411115
115,microsoft/swin-large-patch4-window7-224-in22k,1.006661
116,facebook/convnext-large-224-22k,1.0186243
117,facebook/convnext-xlarge-224-22k,0.98576206
118,microsoft/beit-large-patch16-224-pt22k-ft22k,0.50199914
119,microsoft/swin-base-patch4-window12-384-in22k,0.9862975
120,imjeffhi/pokemon_classifier,1.0057461
121,AkshatSurolia/ViT-FaceMask-Finetuned,0.86281824
122,AkshatSurolia/BEiT-FaceMask-Finetuned,0.2766608
