,model,score
0,firebolt/llama_or_what2,0.7784943
1,google/vit-base-patch16-224,0.8046214
2,nateraw/denver-nyc-paris,0.8169453
3,black/simple_kitchen,0.7750537
4,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.79855627
5,Suzana/new-york-tokyo-london,0.8056254
6,filipafcastro/beer_vs_wine,0.8067275
7,nateraw/baked-goods,0.81163824
8,ajanco/greens,0.83468884
9,nateraw/vit-base-beans-demo,0.7963941
10,HHousen/household-rooms,0.81140035
11,Amrrs/indian-foods,0.8104867
12,nateraw/planes-trains-automobiles,0.82468146
13,julien-c/hotdog-not-hotdog,0.7821069
14,jmarshall/rare-puppers,0.8240891
15,nielsr/vit-finetuned-eurosat-kornia,0.8027167
16,eren23/pneumonia_test_attempt,0.798982
17,micole66/dwarf-goats,0.80670804
18,nateraw/ex-for-evan,0.7749981
19,karthiksv/vit-base-patch16-224-cifar10,0.8092905
20,ferdinand/rare-puppers,0.7650814
21,ipvikas/rare-puppers,0.7788227
22,Frodnar/bee-likes,0.80264115
23,nickmuchi/vit-base-beans,0.7680183
24,nateraw/baseball-stadium-foods,0.79963744
25,Giuliano/places,0.7890744
26,firas-spanioli/beer-whisky-wine-detection,0.8097229
27,jjhoffstein/lotr,0.81203306
28,Nonem100/Test-Model,0.7759076
29,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,0.82137465
30,LorenzoDeMattei/lawn-weeds,0.8154442
31,nateraw/doggos-lol,0.79882556
32,IDEA-CCNL/Taiyi-vit-87M-D,0.8079734
33,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.8230086
34,karthiksv/vit-base-beans,0.7752813
35,Symbermine/rare-puppers,0.8084111
36,nateraw/vit-base-patch16-224-cifar10,0.8015686
37,gatecitypreservation/architectural_styles,0.8074188
38,Amrrs/south-indian-foods,0.80158055
39,hafidber/fruits,0.7810015
40,nateraw/rare-puppers-123,0.7959863
41,Aftabhussain/Tomato_Leaf_Classifier,0.8254269
42,nickmuchi/vit-base-xray-pneumonia,0.7882457
43,Neto71/sea_mammals,0.80461776
44,lewtun/oz-fauna,0.7928775
45,hgarg/fruits,0.8011491
46,jasmeen/dogs,0.81928
47,b25mayank3/shirt_identifier,0.8035951
48,jeffboudier/vision-transformers-spain-or-italy-fan,0.8044434
49,facebook/convnext-base-224-22k,0.8765406
50,nickmuchi/vit-finetuned-cats-dogs,0.8200959
51,godiec/diam,0.8088375
52,Rajaram1996/FacialEmoRecog,0.7708957
53,nateraw/vit-base-beans-demo-v3,0.7615932
54,firebolt/llama_or_what,0.7768786
55,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.81478286
56,johnnydevriese/vit_beans,0.79228723
57,nateraw/vit-age-classifier,0.77692384
58,nateraw/vit-base-beans-demo-v2,0.80722696
59,mmekias/vit-base-beans,0.8156487
60,juanfiguera/ice_cream,0.8114313
61,drab/Infrastructures,0.8101897
62,nateraw/vit-base-beans,0.80016357
63,Sena/dog,0.7625784
64,jaygala24/finetuned-vit-base-patch16-224-upside-down-detector,0.778242
65,hafidber/rare-puppers,0.7922355
66,edixo/road_good_damaged_condition,0.79970646
67,AykeeSalazar/vc-bantai-vit-withoutAMBI,0.7662641
68,Sena/flowers,0.8130667
69,matteopilotto/vit-base-patch16-224-in21k-snacks,0.80856276
70,johnnydevriese/vit-airplanes,0.7980624
71,nateraw/pasta-shapes,0.81974256
72,mrm8488/vit-base-patch16-224_finetuned-pneumothorax,0.79776764
73,hgarg/indian-snacks,0.80134594
74,nateraw/vit-base-food101,0.7782932
75,Hijazzi/rare-puppers,0.79362714
76,nateraw/trainer-rare-puppers,0.71204644
77,ibombonato/vit-age-classifier,0.82527643
78,nateraw/rare-puppers-new-auth,0.79967535
79,SriramSridhar78/sriram-car-classifier,0.783726
80,ismgar01/vit-base-cats-vs-dogs,0.77280843
81,nateraw/rare-puppers,0.8032451
82,iyzg/computer-stuff,0.8139465
83,nateraw/huggingpics-package-demo-2,0.7841535
84,imjeffhi/pokemon_classifier,0.7616089
85,nateraw/pasta-pizza-ravioli,0.80770326
86,akahana/vit-base-cats-vs-dogs,0.7943952
87,nateraw/donut-or-bagel,0.7952172
88,nateraw/rare-puppers-09-04-2021,0.765549
89,nateraw/vit-base-cats-vs-dogs,0.79275304
90,Zayn/VIT_Basic,0.8098183
91,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.7916439
92,AkshatSurolia/ViT-FaceMask-Finetuned,0.6258178
93,microsoft/swin-large-patch4-window7-224-in22k,0.8918922
94,Ahmed9275/Vit-Cifar100,0.7854436
95,driboune/skin_type,0.7951634
96,microsoft/swin-base-patch4-window7-224-in22k,0.84549904
97,facebook/deit-base-patch16-224,0.81161296
98,facebook/deit-base-distilled-patch16-224,0.80647457
99,eslamxm/vit-base-food101,0.7191073
100,mrm8488/data2vec-base-finetuned-imagenet1k,0.7182406
101,facebook/convnext-base-224,0.8313575
102,facebook/convnext-small-224,0.80723894
103,microsoft/swin-base-patch4-window7-224,0.82515824
104,microsoft/beit-base-patch16-224,0.36453682
105,mrm8488/convnext-tiny-finetuned-eurosat,0.7887118
106,mrm8488/convnext-tiny-finetuned-beans,0.8082078
107,facebook/convnext-tiny-224,0.8049609
108,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,0.8328075
109,microsoft/beit-base-patch16-224-pt22k-ft22k,0.5737317
110,AkshatSurolia/ConvNeXt-FaceMask-Finetuned,0.79903555
111,Calin/convnext-tiny-finteuned-eurosat,0.840164
112,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,0.8394815
113,Visual-Attention-Network/van-small,0.77420044
114,WinKawaks/vit-small-patch16-224,0.710111
115,facebook/deit-small-distilled-patch16-224,0.7427937
116,Visual-Attention-Network/van-base,0.7570408
117,jadohu/BEiT-finetuned,0.39894617
118,nielsr/convnext-tiny-finetuned-eurostat,0.79574114
119,facebook/deit-small-patch16-224,0.72895724
120,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,0.78401273
121,microsoft/swin-small-patch4-window7-224,0.79249346
122,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,0.75898457
123,Ahmed9275/ALL-3,0.8074795
124,facebook/convnext-large-224,0.87986094
125,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7461674
126,WinKawaks/vit-tiny-patch16-224,0.560546
127,Visual-Attention-Network/van-tiny,0.6441283
128,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7099913
129,facebook/deit-tiny-distilled-patch16-224,0.6630729
130,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7547548
131,nielsr/convnext-tiny-finetuned-eurosat,0.76261055
132,ibombonato/swin-age-classifier,0.74856853
133,Ahmed9275/ALL-test,0.7525672
134,nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,0.6993083
135,facebook/deit-tiny-patch16-224,0.65852195
136,microsoft/swin-tiny-patch4-window7-224,0.78950226
137,flyswot/test,0.52126193
138,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,0.76453793
139,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7778718
140,nielsr/van-base-finetuned-eurosat-imgaug,0.76273173
141,mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,0.77133405
142,Visual-Attention-Network/van-large,0.710461
143,Matthijs/snacks-classifier,0.7640145
144,jemole/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7298465
145,nateraw/test_model_a,0.17128813
146,guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7718925
147,google/vit-base-patch32-384,0.74993926
148,nateraw/rare-puppers-demo,0.7187066
149,AkshatSurolia/BEiT-FaceMask-Finetuned,0.32988513
150,AkshatSurolia/DeiT-FaceMask-Finetuned,0.7204596
151,meame2010/rare-puppers,0.7435714
152,facebook/convnext-base-224-22k-1k,0.8187976
153,google/vit-large-patch32-384,0.77753365
154,microsoft/swin-large-patch4-window7-224,0.8453344
155,mmgyorke/vit-world-landmarks,0.8031117
156,lysandre/tiny-vit-random,0.1684733
157,AhmedSayeem/VIT_Basic,0.8011678
158,facebook/convnext-large-224-22k-1k,0.8453692
159,tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,0.80834335
160,facebook/convnext-base-384,0.92640823
161,microsoft/resnet-50,0.6641859
162,microsoft/beit-base-patch16-224-pt22k,0.50272804
163,microsoft/beit-large-patch16-224,0.33818847
164,facebook/convnext-large-224-22k,0.9038285
165,google/vit-large-patch16-224,0.8233589
166,facebook/convnext-large-384,0.7957904
167,facebook/convnext-xlarge-224-22k,0.9008645
168,facebook/convnext-large-384-22k-1k,0.9082982
169,nielsr/convnext-xlarge-224-22k-1k,0.8858151
170,facebook/deit-base-patch16-384,0.80106467
171,google/vit-base-patch16-384,0.9027135
172,microsoft/swin-base-patch4-window12-384-in22k,0.9294362
173,microsoft/beit-large-patch16-224-pt22k-ft22k,0.48289743
174,facebook/deit-base-distilled-patch16-384,0.790269
175,facebook/convnext-xlarge-224-22k-1k,0.8878635
176,nielsr/convnext-xlarge-224-22k,0.9106233
177,microsoft/beit-large-patch16-384,0.3564097
178,microsoft/swin-large-patch4-window12-384,0.9479852
