,model,score
0,firebolt/llama_or_what2,0.84018296
1,google/vit-base-patch16-224,0.8638929
2,nateraw/denver-nyc-paris,0.8505551
3,black/simple_kitchen,0.8427052
4,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.84163773
5,Suzana/new-york-tokyo-london,0.82900727
6,filipafcastro/beer_vs_wine,0.8392607
7,nateraw/baked-goods,0.8467922
8,ajanco/greens,0.8510245
9,nateraw/vit-base-beans-demo,0.8507726
10,HHousen/household-rooms,0.8515561
11,Amrrs/indian-foods,0.83976644
12,nateraw/planes-trains-automobiles,0.8304081
13,julien-c/hotdog-not-hotdog,0.85311735
14,jmarshall/rare-puppers,0.85596067
15,nielsr/vit-finetuned-eurosat-kornia,0.8540687
16,eren23/pneumonia_test_attempt,0.8426303
17,micole66/dwarf-goats,0.8534788
18,nateraw/ex-for-evan,0.8452517
19,karthiksv/vit-base-patch16-224-cifar10,0.84942245
20,ferdinand/rare-puppers,0.84475434
21,ipvikas/rare-puppers,0.8537348
22,Frodnar/bee-likes,0.85206866
23,nickmuchi/vit-base-beans,0.83796763
24,nateraw/baseball-stadium-foods,0.84316176
25,Giuliano/places,0.8396365
26,firas-spanioli/beer-whisky-wine-detection,0.860118
27,jjhoffstein/lotr,0.8451644
28,Nonem100/Test-Model,0.8226223
29,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,0.8589548
30,LorenzoDeMattei/lawn-weeds,0.8409024
31,nateraw/doggos-lol,0.76531595
32,IDEA-CCNL/Taiyi-vit-87M-D,0.8749586
33,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.8502207
34,karthiksv/vit-base-beans,0.83978105
35,Symbermine/rare-puppers,0.83661354
36,nateraw/vit-base-patch16-224-cifar10,0.8491252
37,gatecitypreservation/architectural_styles,0.84072524
38,Amrrs/south-indian-foods,0.86040765
39,hafidber/fruits,0.8410611
40,nateraw/rare-puppers-123,0.856015
41,Aftabhussain/Tomato_Leaf_Classifier,0.82532275
42,nickmuchi/vit-base-xray-pneumonia,0.7924774
43,Neto71/sea_mammals,0.8406283
44,lewtun/oz-fauna,0.8386936
45,hgarg/fruits,0.8710118
46,jasmeen/dogs,0.85380787
47,b25mayank3/shirt_identifier,0.8390299
48,jeffboudier/vision-transformers-spain-or-italy-fan,0.83202153
49,facebook/convnext-base-224-22k,0.90498215
50,nickmuchi/vit-finetuned-cats-dogs,0.8641336
51,godiec/diam,0.84119684
52,Rajaram1996/FacialEmoRecog,0.82534283
53,nateraw/vit-base-beans-demo-v3,0.8383963
54,firebolt/llama_or_what,0.8504198
55,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.85371315
56,johnnydevriese/vit_beans,0.82739866
57,nateraw/vit-age-classifier,0.81972414
58,nateraw/vit-base-beans-demo-v2,0.8291476
59,mmekias/vit-base-beans,0.8481526
60,juanfiguera/ice_cream,0.847928
61,drab/Infrastructures,0.81775635
62,nateraw/vit-base-beans,0.8334384
63,Sena/dog,0.83382034
64,jaygala24/finetuned-vit-base-patch16-224-upside-down-detector,0.8219293
65,hafidber/rare-puppers,0.84009135
66,edixo/road_good_damaged_condition,0.8458027
67,AykeeSalazar/vc-bantai-vit-withoutAMBI,0.8344285
68,Sena/flowers,0.84770536
69,matteopilotto/vit-base-patch16-224-in21k-snacks,0.8653989
70,johnnydevriese/vit-airplanes,0.80916965
71,nateraw/pasta-shapes,0.84759897
72,mrm8488/vit-base-patch16-224_finetuned-pneumothorax,0.84282464
73,hgarg/indian-snacks,0.8392259
74,nateraw/vit-base-food101,0.848245
75,Hijazzi/rare-puppers,0.8442033
76,nateraw/trainer-rare-puppers,0.70053715
77,ibombonato/vit-age-classifier,0.8526977
78,nateraw/rare-puppers-new-auth,0.8471189
79,SriramSridhar78/sriram-car-classifier,0.8383609
80,ismgar01/vit-base-cats-vs-dogs,0.83029246
81,nateraw/rare-puppers,0.84392774
82,iyzg/computer-stuff,0.83911127
83,nateraw/huggingpics-package-demo-2,0.8454456
84,imjeffhi/pokemon_classifier,0.83449864
85,nateraw/pasta-pizza-ravioli,0.85827196
86,akahana/vit-base-cats-vs-dogs,0.82285255
87,nateraw/donut-or-bagel,0.8410303
88,nateraw/rare-puppers-09-04-2021,0.8495283
89,nateraw/vit-base-cats-vs-dogs,0.82323074
90,Zayn/VIT_Basic,0.8221839
91,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.8530629
92,AkshatSurolia/ViT-FaceMask-Finetuned,0.73922104
93,microsoft/swin-large-patch4-window7-224-in22k,0.9218479
94,Ahmed9275/Vit-Cifar100,0.8140265
95,driboune/skin_type,0.8560167
96,microsoft/swin-base-patch4-window7-224-in22k,0.8407326
97,facebook/deit-base-patch16-224,0.88322514
98,facebook/deit-base-distilled-patch16-224,0.88650626
99,eslamxm/vit-base-food101,0.7728593
100,mrm8488/data2vec-base-finetuned-imagenet1k,0.6647625
101,facebook/convnext-base-224,0.8658299
102,facebook/convnext-small-224,0.83004606
103,microsoft/swin-base-patch4-window7-224,0.84039456
104,microsoft/beit-base-patch16-224,0.5514737
105,mrm8488/convnext-tiny-finetuned-eurosat,0.83421576
106,mrm8488/convnext-tiny-finetuned-beans,0.8171931
107,facebook/convnext-tiny-224,0.85838497
108,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,0.8456754
109,microsoft/beit-base-patch16-224-pt22k-ft22k,0.6776735
110,AkshatSurolia/ConvNeXt-FaceMask-Finetuned,0.8256498
111,Calin/convnext-tiny-finteuned-eurosat,0.84742445
112,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,0.8290418
113,Visual-Attention-Network/van-small,0.7988689
114,WinKawaks/vit-small-patch16-224,0.7645536
115,facebook/deit-small-distilled-patch16-224,0.81824183
116,Visual-Attention-Network/van-base,0.83379257
117,jadohu/BEiT-finetuned,0.5281128
118,nielsr/convnext-tiny-finetuned-eurostat,0.81880176
119,facebook/deit-small-patch16-224,0.7762278
120,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,0.79073244
121,microsoft/swin-small-patch4-window7-224,0.77924544
122,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,0.79256743
123,Ahmed9275/ALL-3,0.80445904
124,facebook/convnext-large-224,0.8561437
125,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,0.79662234
126,WinKawaks/vit-tiny-patch16-224,0.47448906
127,Visual-Attention-Network/van-tiny,0.5872242
128,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,0.78022563
129,facebook/deit-tiny-distilled-patch16-224,0.6609123
130,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,0.776625
131,nielsr/convnext-tiny-finetuned-eurosat,0.8266331
132,ibombonato/swin-age-classifier,0.748006
133,Ahmed9275/ALL-test,0.7816119
134,nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,0.73900694
135,facebook/deit-tiny-patch16-224,0.67845076
136,microsoft/swin-tiny-patch4-window7-224,0.8160256
137,flyswot/test,0.56772804
138,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7904214
139,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7852067
140,nielsr/van-base-finetuned-eurosat-imgaug,0.81109834
141,mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,0.78099304
142,Visual-Attention-Network/van-large,0.80156296
143,Matthijs/snacks-classifier,0.7881849
144,jemole/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7927258
145,nateraw/test_model_a,0.052411534
146,guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7526807
147,google/vit-base-patch32-384,0.8385942
148,nateraw/rare-puppers-demo,0.8274758
149,AkshatSurolia/BEiT-FaceMask-Finetuned,0.37057334
150,AkshatSurolia/DeiT-FaceMask-Finetuned,0.8393427
151,meame2010/rare-puppers,0.84672034
152,facebook/convnext-base-224-22k-1k,0.90595394
153,google/vit-large-patch32-384,0.82376933
154,microsoft/swin-large-patch4-window7-224,0.91569746
155,mmgyorke/vit-world-landmarks,0.8464468
156,lysandre/tiny-vit-random,0.049245406
157,AhmedSayeem/VIT_Basic,0.8332272
158,facebook/convnext-large-224-22k-1k,0.90611726
159,tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,0.85777324
160,facebook/convnext-base-384,0.8828017
161,microsoft/resnet-50,0.7214782
162,microsoft/beit-base-patch16-224-pt22k,0.5370921
163,microsoft/beit-large-patch16-224,0.38676193
164,facebook/convnext-large-224-22k,0.9263713
165,google/vit-large-patch16-224,0.8186106
166,facebook/convnext-large-384,0.80396193
167,facebook/convnext-xlarge-224-22k,0.9378956
168,facebook/convnext-large-384-22k-1k,0.9268015
169,nielsr/convnext-xlarge-224-22k-1k,0.92304677
170,facebook/deit-base-patch16-384,0.90308774
171,google/vit-base-patch16-384,0.9098607
172,microsoft/swin-base-patch4-window12-384-in22k,0.92284364
173,microsoft/beit-large-patch16-224-pt22k-ft22k,0.6200231
174,facebook/deit-base-distilled-patch16-384,0.8749985
175,facebook/convnext-xlarge-224-22k-1k,0.92232007
176,nielsr/convnext-xlarge-224-22k,0.9223887
177,microsoft/beit-large-patch16-384,0.5330777
178,microsoft/swin-large-patch4-window12-384,0.93554753
