,model,score
0,Rajaram1996/FacialEmoRecog,0.9316544
1,matteopilotto/vit-base-patch16-224-in21k-snacks,0.9305697
2,Matthijs/snacks-classifier,0.867943
3,ibombonato/vit-age-classifier,0.92400193
4,ibombonato/swin-age-classifier,0.8779884
5,karthiksv/vit-base-beans,0.9315985
6,nateraw/vit-base-beans-demo-v2,0.9226287
7,mmekias/vit-base-beans,0.9239557
8,mrm8488/convnext-tiny-finetuned-beans,0.9657662
9,nateraw/vit-base-beans,0.9319379
10,johnnydevriese/vit_beans,0.9200573
11,nickmuchi/vit-base-beans,0.93260753
12,nateraw/vit-base-beans-demo,0.91367376
13,nickmuchi/vit-finetuned-cats-dogs,0.95340425
14,ismgar01/vit-base-cats-vs-dogs,0.92260575
15,nateraw/vit-base-cats-vs-dogs,0.9221388
16,akahana/vit-base-cats-vs-dogs,0.9040004
17,nateraw/test_model_a,0.044178233
18,eren23/pneumonia_test_attempt,0.9459572
19,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.9348158
20,nickmuchi/vit-base-xray-pneumonia,0.8779207
21,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.91446036
22,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.92729676
23,karthiksv/vit-base-patch16-224-cifar10,0.92272574
24,tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,0.94393045
25,nateraw/vit-base-patch16-224-cifar10,0.93651044
26,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.929868
27,jadohu/BEiT-finetuned,0.5893339
28,Ahmed9275/Vit-Cifar100,0.81679565
29,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,0.9482094
30,nielsr/vit-finetuned-eurosat-kornia,0.9347341
31,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,0.89397913
32,nielsr/convnext-tiny-finetuned-eurosat,0.928094
33,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,0.92519784
34,mrm8488/convnext-tiny-finetuned-eurosat,0.94916636
35,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8979667
36,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,0.89087594
37,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8896851
38,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,0.9118894
39,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8811621
40,nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,0.89523935
41,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,0.89836466
42,jemole/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8352806
43,mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,0.88648677
44,nateraw/vit-base-food101,0.9405352
45,eslamxm/vit-base-food101,0.8702292
46,driboune/skin_type,0.93222946
47,nateraw/denver-nyc-paris,0.9382244
48,nateraw/huggingpics-package-demo-2,0.9500202
49,jeffboudier/vision-transformers-spain-or-italy-fan,0.9153351
50,Suzana/new-york-tokyo-london,0.94217247
51,nateraw/rare-puppers,0.9317836
52,hgarg/fruits,0.93878424
53,filipafcastro/beer_vs_wine,0.9352767
54,nateraw/baseball-stadium-foods,0.9207312
55,ipvikas/rare-puppers,0.94136274
56,nateraw/pasta-pizza-ravioli,0.93245834
57,nateraw/rare-puppers-09-04-2021,0.9431288
58,firas-spanioli/beer-whisky-wine-detection,0.9315492
59,LorenzoDeMattei/lawn-weeds,0.9272715
60,hgarg/indian-snacks,0.9396523
61,nateraw/pasta-shapes,0.91847396
62,firebolt/llama_or_what2,0.92895967
63,nateraw/donut-or-bagel,0.93132126
64,Giuliano/places,0.92702657
65,Sena/flowers,0.9400372
66,godiec/diam,0.9281996
67,lewtun/oz-fauna,0.92325586
68,iyzg/computer-stuff,0.9217849
69,julien-c/hotdog-not-hotdog,0.9402986
70,jjhoffstein/lotr,0.92561316
71,jasmeen/dogs,0.9351276
72,nateraw/rare-puppers-new-auth,0.91197485
73,jmarshall/rare-puppers,0.9331574
74,ferdinand/rare-puppers,0.9413926
75,Amrrs/south-indian-foods,0.9304889
76,Zayn/VIT_Basic,0.92558527
77,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,0.9468938
78,Frodnar/bee-likes,0.92576814
79,firebolt/llama_or_what,0.9305153
80,meame2010/rare-puppers,0.9313857
81,hafidber/rare-puppers,0.9283749
82,b25mayank3/shirt_identifier,0.93191683
83,Neto71/sea_mammals,0.9377481
84,juanfiguera/ice_cream,0.9291785
85,hafidber/fruits,0.9332944
86,Aftabhussain/Tomato_Leaf_Classifier,0.93908787
87,HHousen/household-rooms,0.9404259
88,nateraw/rare-puppers-demo,0.91280264
89,Hijazzi/rare-puppers,0.93817246
90,mmgyorke/vit-world-landmarks,0.9257592
91,Sena/dog,0.92792875
92,drab/Infrastructures,0.9153439
93,Symbermine/rare-puppers,0.9271481
94,black/simple_kitchen,0.9335696
95,mrm8488/vit-base-patch16-224_finetuned-pneumothorax,0.9335631
96,gatecitypreservation/architectural_styles,0.92447716
97,Nonem100/Test-Model,0.8983569
98,nateraw/trainer-rare-puppers,0.8940785
99,nateraw/doggos-lol,0.9087404
100,jaygala24/finetuned-vit-base-patch16-224-upside-down-detector,0.9232399
101,AykeeSalazar/vc-bantai-vit-withoutAMBI,0.9100325
102,edixo/road_good_damaged_condition,0.94448507
103,nateraw/ex-for-evan,0.9401632
104,johnnydevriese/vit-airplanes,0.90733474
105,AhmedSayeem/VIT_Basic,0.92563605
106,nateraw/planes-trains-automobiles,0.92154807
107,flyswot/test,0.7369473
108,facebook/deit-small-distilled-patch16-224,0.9056664
109,IDEA-CCNL/Taiyi-vit-87M-D,0.94488263
110,google/vit-large-patch32-384,0.9086733
111,microsoft/swin-base-patch4-window7-224,0.8937298
112,facebook/convnext-large-224,0.94863683
113,google/vit-base-patch32-384,0.9362914
114,WinKawaks/vit-small-patch16-224,0.89082795
115,facebook/convnext-large-384,0.96162164
116,facebook/deit-base-distilled-patch16-224,0.9593578
117,facebook/deit-base-patch16-224,0.95923275
118,microsoft/swin-large-patch4-window7-224,0.9501433
119,facebook/convnext-base-224,0.944093
120,Visual-Attention-Network/van-base,0.90614444
121,facebook/deit-small-patch16-224,0.90389997
122,microsoft/swin-tiny-patch4-window7-224,0.8958747
123,Visual-Attention-Network/van-small,0.89525837
124,facebook/deit-tiny-distilled-patch16-224,0.8046845
125,Ahmed9275/ALL-test,0.8907241
126,facebook/convnext-tiny-224,0.9640858
127,facebook/convnext-small-224,0.9372905
128,WinKawaks/vit-tiny-patch16-224,0.7378069
129,Visual-Attention-Network/van-large,0.8859223
130,facebook/convnext-base-224-22k-1k,0.95176
131,Visual-Attention-Network/van-tiny,0.7214426
132,lysandre/tiny-vit-random,0.055451628
133,microsoft/beit-base-patch16-224-pt22k,0.5438621
134,microsoft/beit-base-patch16-224,0.6635267
135,facebook/convnext-large-384-22k-1k,1.0000203
136,microsoft/beit-large-patch16-384,0.67363137
137,facebook/convnext-base-384,0.9614806
138,microsoft/resnet-50,0.84335524
139,facebook/deit-base-distilled-patch16-384,0.9422623
140,google/vit-base-patch16-384,0.9509148
141,google/vit-large-patch16-224,0.9123462
142,facebook/deit-base-patch16-384,0.988431
143,microsoft/beit-large-patch16-224,0.55697936
144,facebook/convnext-xlarge-224-22k-1k,0.97883946
145,nielsr/convnext-xlarge-224-22k-1k,0.97270554
146,microsoft/swin-large-patch4-window12-384,0.95591325
147,facebook/convnext-base-224-22k,0.97572845
148,microsoft/beit-base-patch16-224-pt22k-ft22k,0.7038472
149,microsoft/swin-base-patch4-window7-224-in22k,0.9239669
150,microsoft/swin-large-patch4-window7-224-in22k,0.9461949
151,facebook/convnext-large-224-22k,0.9884895
152,facebook/convnext-xlarge-224-22k,0.98663306
153,microsoft/beit-large-patch16-224-pt22k-ft22k,0.62959456
154,microsoft/swin-base-patch4-window12-384-in22k,0.949715
155,imjeffhi/pokemon_classifier,0.90043205
156,AkshatSurolia/DeiT-FaceMask-Finetuned,0.94298404
157,AkshatSurolia/ViT-FaceMask-Finetuned,0.8468698
158,AkshatSurolia/BEiT-FaceMask-Finetuned,0.50563115
159,AkshatSurolia/ConvNeXt-FaceMask-Finetuned,0.94044787
160,SriramSridhar78/sriram-car-classifier,0.9251019
