,model,score
0,google/vit-base-patch16-224,0.94857305
1,IDEA-CCNL/Taiyi-vit-87M-D,0.95336545
2,facebook/deit-base-patch16-224,0.9573889
3,facebook/deit-base-distilled-patch16-224,0.9530433
4,mrm8488/data2vec-base-finetuned-imagenet1k,0.882432
5,facebook/convnext-base-224,0.94607335
6,facebook/convnext-small-224,0.9404259
7,microsoft/swin-base-patch4-window7-224,0.91329384
8,microsoft/beit-base-patch16-224,0.688186
9,facebook/convnext-tiny-224,0.9482709
10,Visual-Attention-Network/van-small,0.85725015
11,WinKawaks/vit-small-patch16-224,0.8501323
12,facebook/deit-small-distilled-patch16-224,0.8454229
13,Visual-Attention-Network/van-base,0.92304766
14,facebook/deit-small-patch16-224,0.858041
15,microsoft/swin-small-patch4-window7-224,0.88669175
16,Ahmed9275/ALL-3,0.89590067
17,facebook/convnext-large-224,0.9247517
18,WinKawaks/vit-tiny-patch16-224,0.6707628
19,Visual-Attention-Network/van-tiny,0.694845
20,facebook/deit-tiny-distilled-patch16-224,0.76450974
21,Ahmed9275/ALL-test,0.89828825
22,facebook/deit-tiny-patch16-224,0.73397946
23,microsoft/swin-tiny-patch4-window7-224,0.9111311
24,Visual-Attention-Network/van-large,0.89267516
25,google/vit-base-patch32-384,0.93040496
26,facebook/convnext-base-224-22k-1k,0.96006846
27,google/vit-large-patch32-384,0.92963827
28,microsoft/swin-large-patch4-window7-224,0.954258
29,lysandre/tiny-vit-random,0.018953066
30,facebook/convnext-large-224-22k-1k,0.9648171
31,facebook/convnext-base-384,0.95468694
32,microsoft/resnet-50,0.8664886
33,microsoft/beit-base-patch16-224-pt22k,0.61742896
34,microsoft/beit-large-patch16-224,0.53805727
35,google/vit-large-patch16-224,0.9214835
36,facebook/convnext-large-384,0.94327253
37,facebook/convnext-large-384-22k-1k,0.9838253
38,nielsr/convnext-xlarge-224-22k-1k,0.95274216
39,facebook/deit-base-patch16-384,0.9663414
40,google/vit-base-patch16-384,0.9579642
41,facebook/deit-base-distilled-patch16-384,0.9310144
42,facebook/convnext-xlarge-224-22k-1k,0.94574285
43,microsoft/beit-large-patch16-384,0.69414324
44,microsoft/swin-large-patch4-window12-384,0.98365426
