,model,score
0,firebolt/llama_or_what2,0.92525446
1,google/vit-base-patch16-224,0.9421501
2,nateraw/denver-nyc-paris,0.93798333
3,black/simple_kitchen,0.9141363
4,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.9184387
5,Suzana/new-york-tokyo-london,0.926724
6,filipafcastro/beer_vs_wine,0.9283127
7,nateraw/baked-goods,0.94125915
8,ajanco/greens,0.92356026
9,nateraw/vit-base-beans-demo,0.90714467
10,HHousen/household-rooms,0.92556745
11,Amrrs/indian-foods,0.9315931
12,nateraw/planes-trains-automobiles,0.9148739
13,julien-c/hotdog-not-hotdog,0.92865354
14,jmarshall/rare-puppers,0.92035383
15,nielsr/vit-finetuned-eurosat-kornia,0.9229668
16,eren23/pneumonia_test_attempt,0.9429129
17,micole66/dwarf-goats,0.9215229
18,nateraw/ex-for-evan,0.9303202
19,karthiksv/vit-base-patch16-224-cifar10,0.9457698
20,ferdinand/rare-puppers,0.92698306
21,ipvikas/rare-puppers,0.9263437
22,Frodnar/bee-likes,0.91827416
23,nickmuchi/vit-base-beans,0.9134921
24,nateraw/baseball-stadium-foods,0.9112111
25,Giuliano/places,0.9282188
26,firas-spanioli/beer-whisky-wine-detection,0.93541056
27,jjhoffstein/lotr,0.92294943
28,Nonem100/Test-Model,0.9295158
29,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,0.9451182
30,LorenzoDeMattei/lawn-weeds,0.9227883
31,nateraw/doggos-lol,0.9282601
32,IDEA-CCNL/Taiyi-vit-87M-D,0.9332791
33,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.9317333
34,karthiksv/vit-base-beans,0.91889375
35,Symbermine/rare-puppers,0.9276463
36,nateraw/vit-base-patch16-224-cifar10,0.93745506
37,gatecitypreservation/architectural_styles,0.9214267
38,Amrrs/south-indian-foods,0.9363471
39,hafidber/fruits,0.9110496
40,nateraw/rare-puppers-123,0.9310959
41,Aftabhussain/Tomato_Leaf_Classifier,0.9372666
42,nickmuchi/vit-base-xray-pneumonia,0.8790501
43,Neto71/sea_mammals,0.9294299
44,lewtun/oz-fauna,0.9213566
45,hgarg/fruits,0.94536024
46,jasmeen/dogs,0.94754463
47,b25mayank3/shirt_identifier,0.9264387
48,jeffboudier/vision-transformers-spain-or-italy-fan,0.9247551
49,facebook/convnext-base-224-22k,0.93632066
50,nickmuchi/vit-finetuned-cats-dogs,0.9474928
51,godiec/diam,0.92161494
52,Rajaram1996/FacialEmoRecog,0.92615026
53,nateraw/vit-base-beans-demo-v3,0.92062706
54,firebolt/llama_or_what,0.92461234
55,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.9220547
56,johnnydevriese/vit_beans,0.91404563
57,nateraw/vit-age-classifier,0.902957
58,nateraw/vit-base-beans-demo-v2,0.9197417
59,mmekias/vit-base-beans,0.9120629
60,juanfiguera/ice_cream,0.9323972
61,drab/Infrastructures,0.90942615
62,nateraw/vit-base-beans,0.92033875
63,Sena/dog,0.9358149
64,jaygala24/finetuned-vit-base-patch16-224-upside-down-detector,0.9239161
65,hafidber/rare-puppers,0.9269184
66,edixo/road_good_damaged_condition,0.9330985
67,AykeeSalazar/vc-bantai-vit-withoutAMBI,0.9041237
68,Sena/flowers,0.9228878
69,matteopilotto/vit-base-patch16-224-in21k-snacks,0.9389986
70,johnnydevriese/vit-airplanes,0.88814986
71,nateraw/pasta-shapes,0.9243412
72,mrm8488/vit-base-patch16-224_finetuned-pneumothorax,0.932887
73,hgarg/indian-snacks,0.92269665
74,nateraw/vit-base-food101,0.9417435
75,Hijazzi/rare-puppers,0.93668145
76,nateraw/trainer-rare-puppers,0.87655854
77,ibombonato/vit-age-classifier,0.9255481
78,nateraw/rare-puppers-new-auth,0.91180885
79,SriramSridhar78/sriram-car-classifier,0.93336934
80,ismgar01/vit-base-cats-vs-dogs,0.90913016
81,nateraw/rare-puppers,0.9349933
82,iyzg/computer-stuff,0.9160312
83,nateraw/huggingpics-package-demo-2,0.9438191
84,imjeffhi/pokemon_classifier,0.918592
85,nateraw/pasta-pizza-ravioli,0.92444336
86,akahana/vit-base-cats-vs-dogs,0.89043236
87,nateraw/donut-or-bagel,0.92340297
88,nateraw/rare-puppers-09-04-2021,0.937511
89,nateraw/vit-base-cats-vs-dogs,0.91861993
90,Zayn/VIT_Basic,0.9185316
91,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.94292426
92,AkshatSurolia/ViT-FaceMask-Finetuned,0.81593764
93,microsoft/swin-large-patch4-window7-224-in22k,0.92787427
94,Ahmed9275/Vit-Cifar100,0.85873467
95,driboune/skin_type,0.9313061
96,microsoft/swin-base-patch4-window7-224-in22k,0.92447925
97,facebook/deit-base-patch16-224,0.9468715
98,facebook/deit-base-distilled-patch16-224,0.9547656
99,eslamxm/vit-base-food101,0.86333495
100,mrm8488/data2vec-base-finetuned-imagenet1k,0.7719945
101,facebook/convnext-base-224,0.92608243
102,facebook/convnext-small-224,0.86687815
103,microsoft/swin-base-patch4-window7-224,0.89794326
104,microsoft/beit-base-patch16-224,0.72095287
105,mrm8488/convnext-tiny-finetuned-eurosat,0.8854859
106,mrm8488/convnext-tiny-finetuned-beans,0.8819807
107,facebook/convnext-tiny-224,0.8889976
108,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,0.88206196
109,microsoft/beit-base-patch16-224-pt22k-ft22k,0.7129099
110,AkshatSurolia/ConvNeXt-FaceMask-Finetuned,0.86727214
