,model,score
0,firebolt/llama_or_what2,-0.4623362
1,google/vit-base-patch16-224,-0.15905884
2,nateraw/denver-nyc-paris,-0.19269986
3,black/simple_kitchen,0.5314561
4,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.065566786
5,Suzana/new-york-tokyo-london,0.10313487
6,filipafcastro/beer_vs_wine,0.1302288
7,nateraw/baked-goods,0.22190002
8,ajanco/greens,-0.19978689
9,nateraw/vit-base-beans-demo,-0.5783998
10,HHousen/household-rooms,-0.06235879
11,Amrrs/indian-foods,0.2369895
12,nateraw/planes-trains-automobiles,-0.09426242
13,julien-c/hotdog-not-hotdog,-0.16344526
14,jmarshall/rare-puppers,-0.21351446
15,nielsr/vit-finetuned-eurosat-kornia,-0.4707764
16,eren23/pneumonia_test_attempt,0.013261374
17,micole66/dwarf-goats,0.11222905
18,nateraw/ex-for-evan,0.037293445
19,karthiksv/vit-base-patch16-224-cifar10,0.33586654
20,ferdinand/rare-puppers,-0.2750005
21,ipvikas/rare-puppers,0.18447457
22,Frodnar/bee-likes,-0.09725388
23,nickmuchi/vit-base-beans,-0.5292533
24,nateraw/baseball-stadium-foods,-0.37335432
25,Giuliano/places,0.062985614
26,firas-spanioli/beer-whisky-wine-detection,0.049875062
27,jjhoffstein/lotr,-0.17338298
28,Nonem100/Test-Model,0.08045514
29,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,0.24188247
30,LorenzoDeMattei/lawn-weeds,0.2165635
31,nateraw/doggos-lol,-0.49021953
32,IDEA-CCNL/Taiyi-vit-87M-D,-0.3077134
33,nickmuchi/vit-finetuned-chest-xray-pneumonia,-0.17435834
34,karthiksv/vit-base-beans,0.4869549
35,Symbermine/rare-puppers,0.0127996355
36,nateraw/vit-base-patch16-224-cifar10,0.17056392
37,gatecitypreservation/architectural_styles,0.01946343
38,Amrrs/south-indian-foods,-0.120120235
39,hafidber/fruits,-0.2801645
40,nateraw/rare-puppers-123,-0.04234124
41,Aftabhussain/Tomato_Leaf_Classifier,-0.064745225
42,nickmuchi/vit-base-xray-pneumonia,-0.9407111
43,Neto71/sea_mammals,0.4474593
44,lewtun/oz-fauna,-0.46810928
45,hgarg/fruits,-0.3195545
46,jasmeen/dogs,-0.41070083
47,b25mayank3/shirt_identifier,0.1814698
