,model,score
0,firebolt/llama_or_what2,0.8881452
1,google/vit-base-patch16-224,0.90644574
2,nateraw/denver-nyc-paris,0.90119934
3,black/simple_kitchen,0.8901586
4,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.8809487
5,Suzana/new-york-tokyo-london,0.8800069
6,filipafcastro/beer_vs_wine,0.8861685
7,nateraw/baked-goods,0.9010036
8,ajanco/greens,0.8859194
9,nateraw/vit-base-beans-demo,0.8803373
10,HHousen/household-rooms,0.8802447
11,Amrrs/indian-foods,0.88351166
12,nateraw/planes-trains-automobiles,0.88286227
13,julien-c/hotdog-not-hotdog,0.8895436
14,jmarshall/rare-puppers,0.88815224
15,nielsr/vit-finetuned-eurosat-kornia,0.90045714
16,eren23/pneumonia_test_attempt,0.86997604
17,micole66/dwarf-goats,0.8898927
18,nateraw/ex-for-evan,0.8966915
19,karthiksv/vit-base-patch16-224-cifar10,0.8879462
20,ferdinand/rare-puppers,0.8811579
21,ipvikas/rare-puppers,0.8864948
22,Frodnar/bee-likes,0.8962449
23,nickmuchi/vit-base-beans,0.8792317
24,nateraw/baseball-stadium-foods,0.8777239
25,Giuliano/places,0.890315
26,firas-spanioli/beer-whisky-wine-detection,0.8955236
27,jjhoffstein/lotr,0.8857885
28,Nonem100/Test-Model,0.8770701
29,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,0.8965355
30,LorenzoDeMattei/lawn-weeds,0.8788168
31,nateraw/doggos-lol,0.8711068
32,IDEA-CCNL/Taiyi-vit-87M-D,0.91164225
33,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.87235475
34,karthiksv/vit-base-beans,0.8825692
35,Symbermine/rare-puppers,0.88862693
36,nateraw/vit-base-patch16-224-cifar10,0.90027446
37,gatecitypreservation/architectural_styles,0.8886075
38,Amrrs/south-indian-foods,0.8968328
39,hafidber/fruits,0.8843677
40,nateraw/rare-puppers-123,0.89290977
41,Aftabhussain/Tomato_Leaf_Classifier,0.8760553
42,nickmuchi/vit-base-xray-pneumonia,0.85093594
43,Neto71/sea_mammals,0.8866053
44,lewtun/oz-fauna,0.89803004
45,hgarg/fruits,0.889395
46,jasmeen/dogs,0.88770115
47,b25mayank3/shirt_identifier,0.8862906
48,jeffboudier/vision-transformers-spain-or-italy-fan,0.886668
49,facebook/convnext-base-224-22k,0.91475004
50,nickmuchi/vit-finetuned-cats-dogs,0.8962636
51,godiec/diam,0.8906102
52,Rajaram1996/FacialEmoRecog,0.8614625
53,nateraw/vit-base-beans-demo-v3,0.87728024
54,firebolt/llama_or_what,0.88575524
55,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.89079964
56,johnnydevriese/vit_beans,0.8840737
57,nateraw/vit-age-classifier,0.8646551
58,nateraw/vit-base-beans-demo-v2,0.8835964
59,mmekias/vit-base-beans,0.8724309
60,juanfiguera/ice_cream,0.8846973
61,drab/Infrastructures,0.87510395
62,nateraw/vit-base-beans,0.88174593
63,Sena/dog,0.8892127
64,jaygala24/finetuned-vit-base-patch16-224-upside-down-detector,0.87844247
65,hafidber/rare-puppers,0.88475215
66,edixo/road_good_damaged_condition,0.8863527
67,AykeeSalazar/vc-bantai-vit-withoutAMBI,0.88402927
68,Sena/flowers,0.8874206
69,matteopilotto/vit-base-patch16-224-in21k-snacks,0.8950982
70,johnnydevriese/vit-airplanes,0.88028216
71,nateraw/pasta-shapes,0.8855384
72,mrm8488/vit-base-patch16-224_finetuned-pneumothorax,0.8852887
73,hgarg/indian-snacks,0.8846088
74,nateraw/vit-base-food101,0.8981516
75,Hijazzi/rare-puppers,0.88460714
76,nateraw/trainer-rare-puppers,0.7823861
77,ibombonato/vit-age-classifier,0.8856711
78,nateraw/rare-puppers-new-auth,0.8800494
79,SriramSridhar78/sriram-car-classifier,0.8823433
80,ismgar01/vit-base-cats-vs-dogs,0.85063875
81,nateraw/rare-puppers,0.8921872
82,iyzg/computer-stuff,0.8924846
83,nateraw/huggingpics-package-demo-2,0.88254046
84,imjeffhi/pokemon_classifier,0.857034
85,nateraw/pasta-pizza-ravioli,0.88815224
86,akahana/vit-base-cats-vs-dogs,0.85782224
87,nateraw/donut-or-bagel,0.88178635
88,nateraw/rare-puppers-09-04-2021,0.89864415
89,nateraw/vit-base-cats-vs-dogs,0.8652491
90,Zayn/VIT_Basic,0.87326545
91,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.89207625
92,AkshatSurolia/ViT-FaceMask-Finetuned,0.68606067
93,microsoft/swin-large-patch4-window7-224-in22k,0.9039807
94,Ahmed9275/Vit-Cifar100,0.8523246
95,driboune/skin_type,0.8999692
96,microsoft/swin-base-patch4-window7-224-in22k,0.87462664
97,facebook/deit-base-patch16-224,0.9127435
98,facebook/deit-base-distilled-patch16-224,0.90831643
99,eslamxm/vit-base-food101,0.8513273
100,mrm8488/data2vec-base-finetuned-imagenet1k,0.68941724
101,facebook/convnext-base-224,0.9160439
102,facebook/convnext-small-224,0.8355489
103,microsoft/swin-base-patch4-window7-224,0.8851417
104,microsoft/beit-base-patch16-224,0.55870193
105,mrm8488/convnext-tiny-finetuned-eurosat,0.87406754
106,mrm8488/convnext-tiny-finetuned-beans,0.87050736
107,facebook/convnext-tiny-224,0.8828867
108,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,0.8785529
109,microsoft/beit-base-patch16-224-pt22k-ft22k,0.6225451
110,AkshatSurolia/ConvNeXt-FaceMask-Finetuned,0.8358163
111,Calin/convnext-tiny-finteuned-eurosat,0.8598691
112,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,0.8576828
113,Visual-Attention-Network/van-small,0.7105011
114,WinKawaks/vit-small-patch16-224,0.67635965
115,facebook/deit-small-distilled-patch16-224,0.75718015
116,Visual-Attention-Network/van-base,0.7368035
117,jadohu/BEiT-finetuned,0.46768522
118,nielsr/convnext-tiny-finetuned-eurostat,0.8598691
119,facebook/deit-small-patch16-224,0.7024689
120,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7207878
121,microsoft/swin-small-patch4-window7-224,0.7716788
122,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7095409
123,Ahmed9275/ALL-3,0.7513564
124,facebook/convnext-large-224,0.89317816
125,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7125371
126,WinKawaks/vit-tiny-patch16-224,0.5137485
127,Visual-Attention-Network/van-tiny,0.55192244
