,model,score
0,google/vit-base-patch16-224,0.754062166875381
1,IDEA-CCNL/Taiyi-vit-87M-D,0.7658389983643531
2,facebook/deit-base-patch16-224,0.7620398329663004
3,facebook/deit-base-distilled-patch16-224,0.7605558749693148
4,mrm8488/data2vec-base-finetuned-imagenet1k,0.7395575493493566
5,facebook/convnext-base-224,0.7451269787661412
6,facebook/convnext-small-224,0.7330473005563083
7,microsoft/swin-base-patch4-window7-224,0.7735664079364364
8,microsoft/beit-base-patch16-224,0.7457137816588582
9,facebook/convnext-tiny-224,0.7145414537721662
10,Visual-Attention-Network/van-small,0.7294720542588202
11,WinKawaks/vit-small-patch16-224,0.7270724393537421
12,facebook/deit-small-distilled-patch16-224,0.7325497466655173
13,Visual-Attention-Network/van-base,0.751003598590366
14,facebook/deit-small-patch16-224,0.6623806718021179
15,microsoft/swin-small-patch4-window7-224,0.7541509632187834
16,Ahmed9275/ALL-3,0.7299062662951427
17,facebook/convnext-large-224,0.7983018149147716
18,WinKawaks/vit-tiny-patch16-224,0.7218708441759191
19,Visual-Attention-Network/van-tiny,0.7283845483240725
20,facebook/deit-tiny-distilled-patch16-224,0.7304512551959883
21,Ahmed9275/ALL-test,0.7264664682407691
22,facebook/deit-tiny-patch16-224,0.7336285756199474
23,microsoft/swin-tiny-patch4-window7-224,0.7391615718329487
24,Visual-Attention-Network/van-large,0.7609334304918165
25,google/vit-base-patch32-384,0.8346910511695593
26,facebook/convnext-base-224-22k-1k,0.7558283784905557
27,google/vit-large-patch32-384,0.9126677332028652
28,microsoft/swin-large-patch4-window7-224,0.8084674787028119
29,lysandre/tiny-vit-random,0.7168914757175117
30,facebook/convnext-large-224-22k-1k,0.7917478916251335
31,facebook/convnext-base-384,0.8685671955754932
32,microsoft/resnet-50,0.7358989779316116
33,microsoft/beit-base-patch16-224-pt22k,0.762790237486777
34,microsoft/beit-large-patch16-224,0.855719020261611
35,google/vit-large-patch16-224,0.870238207442479
36,facebook/convnext-large-384,0.9290380077455194
37,facebook/convnext-large-384-22k-1k,0.9267505371645337
38,nielsr/convnext-xlarge-224-22k-1k,0.868968625533793
39,facebook/deit-base-patch16-384,0.8867763536063649
40,google/vit-base-patch16-384,0.8865115148000895
41,facebook/deit-base-distilled-patch16-384,0.8847313463972449
42,facebook/convnext-xlarge-224-22k-1k,0.8681249130121924
43,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.7905344750451694
44,karthiksv/vit-base-patch16-224-cifar10,0.7969584376758946
45,nateraw/vit-base-patch16-224-cifar10,0.7892664331764906
46,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.8150215059602858
47,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.7881443820273989
48,jadohu/BEiT-finetuned,0.7689094156283225
49,tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,0.7891283163710178
50,nateraw/vit-base-beans-demo,0.7913780413664258
51,nickmuchi/vit-base-beans,0.820360066140872
52,karthiksv/vit-base-beans,0.7980969255253224
53,nateraw/vit-base-beans-demo-v3,0.8032752186818342
54,johnnydevriese/vit_beans,0.797818582704502
55,nateraw/vit-base-beans-demo-v2,0.7902470007579667
56,mmekias/vit-base-beans,0.8110304963587335
57,nateraw/vit-base-beans,0.7963979863097523
58,mrm8488/convnext-tiny-finetuned-beans,0.7503383183948309
59,nielsr/vit-finetuned-eurosat-kornia,0.791429367501952
60,mrm8488/convnext-tiny-finetuned-eurosat,0.7317846120940434
61,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,0.7349807855120596
62,Calin/convnext-tiny-finteuned-eurosat,0.744083933934085
63,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,0.7371479768424574
64,nielsr/convnext-tiny-finetuned-eurostat,0.7382849074036453
65,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7589241344352455
