,model,score
0,Rajaram1996/FacialEmoRecog,1.3122668480124307
1,nateraw/vit-age-classifier,1.3185148121697843
2,ibombonato/swin-age-classifier,1.3248840996006075
3,nateraw/vit-base-beans-demo,1.3366899534326941
4,nickmuchi/vit-base-beans,1.3342205320505878
5,karthiksv/vit-base-beans,1.3372765770930015
6,nateraw/vit-base-beans-demo-v3,1.3354128294929835
7,johnnydevriese/vit_beans,1.3373060713830713
8,mmekias/vit-base-beans,1.3361987311259744
9,mrm8488/convnext-tiny-finetuned-beans,1.3652910870292767
10,nickmuchi/vit-finetuned-cats-dogs,1.3716843846692632
11,akahana/vit-base-cats-vs-dogs,1.2594158644643128
12,nateraw/vit-base-cats-vs-dogs,1.370945328890363
13,nateraw/test_model_a,0.515112009121292
14,nickmuchi/vit-base-xray-pneumonia,1.3472531320899963
15,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,1.32747211302393
16,karthiksv/vit-base-patch16-224-cifar10,1.3441669774008629
17,nateraw/vit-base-patch16-224-cifar10,1.3446894858910028
18,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,1.3419603618410674
19,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,1.3338511025365751
20,jadohu/BEiT-finetuned,1.2098235444031662
21,tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,1.3313740815947162
22,Ahmed9275/Vit-Cifar100,1.2561526563528478
23,nielsr/vit-finetuned-eurosat-kornia,1.3270470004788868
24,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,1.353091539561896
25,Calin/convnext-tiny-finteuned-eurosat,1.3556982561707898
26,nielsr/convnext-tiny-finetuned-eurostat,1.3560201612090137
27,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,1.305691864517982
28,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,1.3296317192775162
29,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,1.3297058860124382
30,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,1.3293338453294359
31,nielsr/convnext-tiny-finetuned-eurosat,1.3547516952524323
32,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,1.3288563077274924
33,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,1.3293619620568493
34,mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,1.3292008888271094
35,jemole/swin-tiny-patch4-window7-224-finetuned-eurosat,1.329251915907253
36,guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,1.328894521454596
37,nateraw/vit-base-food101,1.3491822208818958
38,firebolt/llama_or_what2,1.3074937899134138
39,nateraw/denver-nyc-paris,1.3441859164298133
40,black/simple_kitchen,1.3556226599047334
41,Suzana/new-york-tokyo-london,1.2455476412335642
42,filipafcastro/beer_vs_wine,1.3483273374250158
43,ajanco/greens,1.355277380841213
44,HHousen/household-rooms,1.352403475677725
45,nateraw/planes-trains-automobiles,1.3481022669999736
46,julien-c/hotdog-not-hotdog,1.3523511397625398
47,jmarshall/rare-puppers,1.3508366629457926
48,nateraw/ex-for-evan,1.3483159421126611
49,ferdinand/rare-puppers,1.3498087985405303
50,ipvikas/rare-puppers,1.3351616120379814
51,Frodnar/bee-likes,1.352929575639266
52,nateraw/baseball-stadium-foods,1.348500655446862
53,firas-spanioli/beer-whisky-wine-detection,1.34774129346276
54,jjhoffstein/lotr,1.3173218329543683
55,Nonem100/Test-Model,1.3502623731281727
56,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,1.3476014793307909
57,gatecitypreservation/architectural_styles,1.3539950378859182
58,Amrrs/south-indian-foods,1.328719105343013
59,hafidber/fruits,1.3479183122952274
60,nateraw/rare-puppers-123,1.3507069102405334
61,Aftabhussain/Tomato_Leaf_Classifier,1.3302703751705351
62,Neto71/sea_mammals,1.3516536096901786
63,hgarg/fruits,1.341138816696687
64,jasmeen/dogs,1.3317510774043515
65,b25mayank3/shirt_identifier,1.356680110476026
66,jeffboudier/vision-transformers-spain-or-italy-fan,1.2884823465711652
67,godiec/diam,1.348347295718975
68,firebolt/llama_or_what,1.3689780894118349
69,juanfiguera/ice_cream,1.3584164469199593
70,drab/Infrastructures,1.3487138819949585
71,Sena/dog,1.3484832282605668
72,jaygala24/finetuned-vit-base-patch16-224-upside-down-detector,1.35098109013644
73,edixo/road_good_damaged_condition,1.348129159874401
74,Sena/flowers,1.3593528316896315
75,johnnydevriese/vit-airplanes,1.3467439463521838
76,mrm8488/vit-base-patch16-224_finetuned-pneumothorax,1.351352003314131
77,nateraw/rare-puppers-new-auth,1.3498237940704874
78,nateraw/huggingpics-package-demo-2,1.3495309535034181
79,nateraw/donut-or-bagel,1.3487401412055702
80,nateraw/rare-puppers-09-04-2021,1.3510244432855738
81,Zayn/VIT_Basic,1.3499879479047872
82,driboune/skin_type,1.3504551472074162
83,flyswot/test,1.2289789291007083
84,nateraw/rare-puppers-demo,1.3282836950183934
85,meame2010/rare-puppers,1.3580869179410098
86,AhmedSayeem/VIT_Basic,1.34935041392623
87,google/vit-base-patch16-224,1.364537717075304
88,facebook/deit-base-distilled-patch16-224,1.3879422290588814
89,mrm8488/data2vec-base-finetuned-imagenet1k,1.2784319972052043
90,facebook/convnext-base-224,1.3581469579038228
91,microsoft/beit-base-patch16-224,1.0309579665959405
92,Visual-Attention-Network/van-small,1.3482447780950158
93,facebook/deit-small-distilled-patch16-224,1.360851485636256
94,Visual-Attention-Network/van-base,1.3384180045576117
95,microsoft/swin-small-patch4-window7-224,1.3043915331226108
96,Ahmed9275/ALL-3,1.2665690548675443
97,facebook/convnext-large-224,1.3860273180210245
98,WinKawaks/vit-tiny-patch16-224,1.1237246165547843
99,Ahmed9275/ALL-test,1.3060296461489802
100,Visual-Attention-Network/van-large,1.3371308734719738
101,facebook/convnext-base-224-22k-1k,1.37724355002727
102,microsoft/swin-large-patch4-window7-224,1.327134034076375
103,lysandre/tiny-vit-random,0.5026047182615236
104,microsoft/resnet-50,1.306442486912935
105,microsoft/beit-base-patch16-224-pt22k,1.0557001057062871
