,model,score
0,firebolt/llama_or_what2,116.42386
1,google/vit-base-patch16-224,116.42386
2,nateraw/denver-nyc-paris,116.42386
3,black/simple_kitchen,116.42386
4,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,116.42386
5,Suzana/new-york-tokyo-london,116.42386
6,filipafcastro/beer_vs_wine,116.42386
7,nateraw/baked-goods,116.42386
8,ajanco/greens,116.42386
9,nateraw/vit-base-beans-demo,116.42386
10,HHousen/household-rooms,116.42386
11,Amrrs/indian-foods,116.44626
12,nateraw/planes-trains-automobiles,116.42386
13,julien-c/hotdog-not-hotdog,116.42386
14,jmarshall/rare-puppers,116.42386
15,nielsr/vit-finetuned-eurosat-kornia,116.42386
16,eren23/pneumonia_test_attempt,116.42386
17,micole66/dwarf-goats,116.42386
18,nateraw/ex-for-evan,116.42386
19,karthiksv/vit-base-patch16-224-cifar10,116.42386
20,ferdinand/rare-puppers,116.42386
21,ipvikas/rare-puppers,116.42386
22,Frodnar/bee-likes,116.42386
23,nickmuchi/vit-base-beans,116.42386
24,nateraw/baseball-stadium-foods,116.42386
25,Giuliano/places,116.42386
26,firas-spanioli/beer-whisky-wine-detection,116.42386
27,jjhoffstein/lotr,116.42386
28,Nonem100/Test-Model,116.42386
29,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,116.42386
30,LorenzoDeMattei/lawn-weeds,116.42386
31,nateraw/doggos-lol,116.42386
32,IDEA-CCNL/Taiyi-vit-87M-D,116.43326
33,nickmuchi/vit-finetuned-chest-xray-pneumonia,116.42386
34,karthiksv/vit-base-beans,116.42386
35,Symbermine/rare-puppers,116.42386
36,nateraw/vit-base-patch16-224-cifar10,116.42386
37,gatecitypreservation/architectural_styles,116.42386
38,Amrrs/south-indian-foods,116.42386
39,hafidber/fruits,116.42386
40,nateraw/rare-puppers-123,116.42386
41,Aftabhussain/Tomato_Leaf_Classifier,116.42758
42,nickmuchi/vit-base-xray-pneumonia,116.42386
43,Neto71/sea_mammals,116.42386
44,lewtun/oz-fauna,116.42386
45,hgarg/fruits,116.42386
46,jasmeen/dogs,116.42386
47,b25mayank3/shirt_identifier,116.42386
48,jeffboudier/vision-transformers-spain-or-italy-fan,116.42386
49,facebook/convnext-base-224-22k,116.42386
50,nickmuchi/vit-finetuned-cats-dogs,116.42386
51,godiec/diam,116.42386
52,Rajaram1996/FacialEmoRecog,116.42386
53,nateraw/vit-base-beans-demo-v3,116.42386
54,firebolt/llama_or_what,116.42386
55,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,116.42386
56,johnnydevriese/vit_beans,116.42386
57,nateraw/vit-age-classifier,116.42386
58,nateraw/vit-base-beans-demo-v2,116.42386
59,mmekias/vit-base-beans,116.42386
60,juanfiguera/ice_cream,116.42386
61,drab/Infrastructures,116.42386
62,nateraw/vit-base-beans,116.42386
63,Sena/dog,116.42386
64,jaygala24/finetuned-vit-base-patch16-224-upside-down-detector,116.42386
65,hafidber/rare-puppers,116.42386
66,edixo/road_good_damaged_condition,116.42386
67,AykeeSalazar/vc-bantai-vit-withoutAMBI,116.42386
68,Sena/flowers,116.42386
69,matteopilotto/vit-base-patch16-224-in21k-snacks,116.42386
70,johnnydevriese/vit-airplanes,116.42386
71,nateraw/pasta-shapes,116.42386
72,mrm8488/vit-base-patch16-224_finetuned-pneumothorax,116.42386
73,hgarg/indian-snacks,116.42386
74,nateraw/vit-base-food101,116.42386
75,Hijazzi/rare-puppers,116.42386
76,nateraw/trainer-rare-puppers,116.42386
77,ibombonato/vit-age-classifier,116.42386
78,nateraw/rare-puppers-new-auth,116.42386
79,SriramSridhar78/sriram-car-classifier,116.42386
80,ismgar01/vit-base-cats-vs-dogs,116.42386
81,nateraw/rare-puppers,116.42386
82,iyzg/computer-stuff,116.42386
83,nateraw/huggingpics-package-demo-2,116.42386
84,imjeffhi/pokemon_classifier,116.42386
85,nateraw/pasta-pizza-ravioli,116.42386
86,akahana/vit-base-cats-vs-dogs,116.42386
87,nateraw/donut-or-bagel,116.42386
88,nateraw/rare-puppers-09-04-2021,116.42386
89,nateraw/vit-base-cats-vs-dogs,116.42386
90,Zayn/VIT_Basic,116.38278
91,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,116.42386
92,AkshatSurolia/ViT-FaceMask-Finetuned,116.36185
93,microsoft/swin-large-patch4-window7-224-in22k,116.42386
94,Ahmed9275/Vit-Cifar100,116.42612
95,driboune/skin_type,116.42386
96,microsoft/swin-base-patch4-window7-224-in22k,116.42386
97,facebook/deit-base-patch16-224,116.427765
98,facebook/deit-base-distilled-patch16-224,116.42386
99,eslamxm/vit-base-food101,116.42386
100,mrm8488/data2vec-base-finetuned-imagenet1k,116.42386
101,facebook/convnext-base-224,116.42386
102,facebook/convnext-small-224,116.42386
103,microsoft/swin-base-patch4-window7-224,116.42386
104,microsoft/beit-base-patch16-224,116.42386
105,mrm8488/convnext-tiny-finetuned-eurosat,116.42386
106,mrm8488/convnext-tiny-finetuned-beans,116.42386
107,facebook/convnext-tiny-224,116.42386
108,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,116.42386
109,microsoft/beit-base-patch16-224-pt22k-ft22k,116.42386
110,AkshatSurolia/ConvNeXt-FaceMask-Finetuned,116.4426
111,Calin/convnext-tiny-finteuned-eurosat,116.42386
112,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,116.42386
113,Visual-Attention-Network/van-small,116.42386
114,WinKawaks/vit-small-patch16-224,116.42386
115,facebook/deit-small-distilled-patch16-224,116.4321
116,Visual-Attention-Network/van-base,116.42386
117,jadohu/BEiT-finetuned,116.42386
118,nielsr/convnext-tiny-finetuned-eurostat,116.42386
119,facebook/deit-small-patch16-224,116.42386
120,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,116.42386
121,microsoft/swin-small-patch4-window7-224,116.42386
122,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,116.42386
123,Ahmed9275/ALL-3,116.42386
124,facebook/convnext-large-224,116.42386
125,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,116.42386
126,WinKawaks/vit-tiny-patch16-224,116.42386
127,Visual-Attention-Network/van-tiny,116.42386
128,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,116.42386
129,facebook/deit-tiny-distilled-patch16-224,116.42386
130,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,116.42386
131,nielsr/convnext-tiny-finetuned-eurosat,116.42386
132,ibombonato/swin-age-classifier,116.42386
133,Ahmed9275/ALL-test,116.42386
134,nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,116.42386
135,facebook/deit-tiny-patch16-224,116.42386
136,microsoft/swin-tiny-patch4-window7-224,116.42386
137,flyswot/test,116.42386
138,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,116.42386
139,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,116.43747
140,nielsr/van-base-finetuned-eurosat-imgaug,116.42386
141,mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,116.42386
142,Visual-Attention-Network/van-large,116.42386
143,Matthijs/snacks-classifier,116.42386
144,jemole/swin-tiny-patch4-window7-224-finetuned-eurosat,116.42386
145,nateraw/test_model_a,116.42386
146,guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,116.42386
147,google/vit-base-patch32-384,116.42386
148,nateraw/rare-puppers-demo,116.42386
149,AkshatSurolia/BEiT-FaceMask-Finetuned,116.15732
150,AkshatSurolia/DeiT-FaceMask-Finetuned,116.45303
151,meame2010/rare-puppers,116.42386
152,facebook/convnext-base-224-22k-1k,116.42386
153,google/vit-large-patch32-384,116.42386
154,microsoft/swin-large-patch4-window7-224,116.42386
155,mmgyorke/vit-world-landmarks,116.42386
156,lysandre/tiny-vit-random,116.42386
157,AhmedSayeem/VIT_Basic,116.42386
158,facebook/convnext-large-224-22k-1k,116.42386
