,model,score
0,google/vit-base-patch16-224,18800.047058679986
1,IDEA-CCNL/Taiyi-vit-87M-D,18800.029765313033
2,facebook/deit-base-patch16-224,18800.070158840863
3,facebook/deit-base-distilled-patch16-224,18800.022160202854
4,mrm8488/data2vec-base-finetuned-imagenet1k,18799.990968224367
5,facebook/convnext-base-224,18800.04257965764
6,facebook/convnext-small-224,18800.08866198222
7,microsoft/swin-base-patch4-window7-224,18800.091590870994
8,microsoft/beit-base-patch16-224,18799.562346381143
9,facebook/convnext-tiny-224,18800.01335070865
10,Visual-Attention-Network/van-small,18800.020887980478
11,WinKawaks/vit-small-patch16-224,18799.991475116934
12,facebook/deit-small-distilled-patch16-224,18800.03362542054
13,Visual-Attention-Network/van-base,18800.064260733205
14,facebook/deit-small-patch16-224,18800.02951761173
15,microsoft/swin-small-patch4-window7-224,18799.978843318073
16,Ahmed9275/ALL-3,18800.06335897535
17,facebook/convnext-large-224,18800.108883319663
18,WinKawaks/vit-tiny-patch16-224,18799.95826248604
19,Visual-Attention-Network/van-tiny,18800.01698038239
20,facebook/deit-tiny-distilled-patch16-224,18799.98335936445
21,Ahmed9275/ALL-test,18800.015437779723
22,facebook/deit-tiny-patch16-224,18799.98025562091
23,microsoft/swin-tiny-patch4-window7-224,18799.990967743688
24,Visual-Attention-Network/van-large,18800.0641313803
25,google/vit-base-patch32-384,18800.097571263563
26,facebook/convnext-base-224-22k-1k,18800.1076745845
27,google/vit-large-patch32-384,18800.09303628654
28,microsoft/swin-large-patch4-window7-224,18800.056307735395
29,lysandre/tiny-vit-random,18799.50406839443
30,facebook/convnext-large-224-22k-1k,18800.06854856341
31,facebook/convnext-base-384,18800.089944570682
32,microsoft/resnet-50,18799.98783644895
33,microsoft/beit-base-patch16-224-pt22k,18800.0306071773
34,microsoft/beit-large-patch16-224,18799.861034145353
35,google/vit-large-patch16-224,18800.009789042066
36,facebook/convnext-large-384,18800.114926025395
37,facebook/convnext-large-384-22k-1k,18800.136932635454
38,nielsr/convnext-xlarge-224-22k-1k,18800.08683443559
39,facebook/deit-base-patch16-384,18800.07848028723
40,google/vit-base-patch16-384,18800.038951413946
41,facebook/deit-base-distilled-patch16-384,18800.098844351487
42,facebook/convnext-xlarge-224-22k-1k,18800.060656018562
43,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,18800.023965202134
44,karthiksv/vit-base-patch16-224-cifar10,18800.028974938417
45,nateraw/vit-base-patch16-224-cifar10,18800.030749523292
46,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,18800.0279227013
47,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,18800.006111890172
48,jadohu/BEiT-finetuned,18799.7454794602
49,tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,18800.033116510698
50,nateraw/vit-base-beans-demo,18800.101557472728
51,nickmuchi/vit-base-beans,18800.06459155668
52,karthiksv/vit-base-beans,18800.086932734128
53,nateraw/vit-base-beans-demo-v3,18800.123115726055
54,johnnydevriese/vit_beans,18800.124185523724
55,nateraw/vit-base-beans-demo-v2,18800.03334198858
56,mmekias/vit-base-beans,18800.08628985077
57,nateraw/vit-base-beans,18800.071043446318
58,mrm8488/convnext-tiny-finetuned-beans,18800.18342922326
59,nielsr/vit-finetuned-eurosat-kornia,18800.006579053217
60,mrm8488/convnext-tiny-finetuned-eurosat,18800.021278243723
61,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,18800.0331110606
62,Calin/convnext-tiny-finteuned-eurosat,18800.078632461584
