,model,score
0,firebolt/llama_or_what2,-167131.4487516231
1,google/vit-base-patch16-224,-167131.46667649603
2,nateraw/denver-nyc-paris,-167131.45523818443
3,black/simple_kitchen,-167131.4581356835
4,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,-167131.46223122877
5,Suzana/new-york-tokyo-london,-167131.46077679913
6,filipafcastro/beer_vs_wine,-167131.45665773825
7,nateraw/baked-goods,-167131.46560246544
8,ajanco/greens,-167131.4596834815
9,nateraw/vit-base-beans-demo,-167131.45607323718
10,HHousen/household-rooms,-167131.46175388334
11,Amrrs/indian-foods,-167131.44933597546
12,nateraw/planes-trains-automobiles,-167131.4567675207
13,julien-c/hotdog-not-hotdog,-167131.4719247457
14,jmarshall/rare-puppers,-167131.4662689718
15,nielsr/vit-finetuned-eurosat-kornia,-167131.46339591156
16,eren23/pneumonia_test_attempt,-167131.466413853
17,micole66/dwarf-goats,-167131.4636600617
18,nateraw/ex-for-evan,-167131.45655287436
19,karthiksv/vit-base-patch16-224-cifar10,-167131.45873974048
20,ferdinand/rare-puppers,-167131.48109376978
21,ipvikas/rare-puppers,-167131.45633901743
22,Frodnar/bee-likes,-167131.45474530832
23,nickmuchi/vit-base-beans,-167131.47189670015
24,nateraw/baseball-stadium-foods,-167131.46141274174
25,Giuliano/places,-167131.46906778222
26,firas-spanioli/beer-whisky-wine-detection,-167131.46559067123
27,jjhoffstein/lotr,-167131.46489597182
28,Nonem100/Test-Model,-167131.45844747673
29,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,-167131.4639894964
30,LorenzoDeMattei/lawn-weeds,-167131.4558283043
31,nateraw/doggos-lol,-167131.45593976456
32,IDEA-CCNL/Taiyi-vit-87M-D,-167131.4555381146
33,nickmuchi/vit-finetuned-chest-xray-pneumonia,-167131.45911370253
34,karthiksv/vit-base-beans,-167131.45157357794
35,Symbermine/rare-puppers,-167131.46605663613
36,nateraw/vit-base-patch16-224-cifar10,-167131.45848314388
37,gatecitypreservation/architectural_styles,-167131.46588943916
38,Amrrs/south-indian-foods,-167131.4612767424
39,hafidber/fruits,-167131.4568096153
40,nateraw/rare-puppers-123,-167131.4614075913
41,Aftabhussain/Tomato_Leaf_Classifier,-167131.4718457028
42,nickmuchi/vit-base-xray-pneumonia,-167131.45192559785
43,Neto71/sea_mammals,-167131.46742368297
44,lewtun/oz-fauna,-167131.46544306388
45,hgarg/fruits,-167131.46734246222
46,jasmeen/dogs,-167131.468029248
