,model,score
0,google/vit-base-patch16-224,0.7697657989328706
1,IDEA-CCNL/Taiyi-vit-87M-D,0.7854182192865732
2,facebook/deit-base-patch16-224,0.782101799837805
3,facebook/deit-base-distilled-patch16-224,0.7680626266590748
4,mrm8488/data2vec-base-finetuned-imagenet1k,0.7209765317005923
5,facebook/convnext-base-224,0.728932998570228
6,facebook/convnext-small-224,0.7312392856450409
7,microsoft/swin-base-patch4-window7-224,0.8027384528911822
8,microsoft/beit-base-patch16-224,0.7377969025867255
9,facebook/convnext-tiny-224,0.696295735306042
10,Visual-Attention-Network/van-small,0.7430752313524452
11,WinKawaks/vit-small-patch16-224,0.7359388006920562
12,facebook/deit-small-distilled-patch16-224,0.7384517337862399
13,Visual-Attention-Network/van-base,0.7642525421198241
14,facebook/deit-small-patch16-224,0.6241769852392758
15,microsoft/swin-small-patch4-window7-224,0.7811735975988268
16,Ahmed9275/ALL-3,0.7286631522777686
17,facebook/convnext-large-224,0.7885407690867802
18,WinKawaks/vit-tiny-patch16-224,0.7456031197402262
19,Visual-Attention-Network/van-tiny,0.7476992472807752
20,facebook/deit-tiny-distilled-patch16-224,0.7586041830509502
21,Ahmed9275/ALL-test,0.7220394007948336
22,facebook/deit-tiny-patch16-224,0.775193870688012
23,microsoft/swin-tiny-patch4-window7-224,0.7509977108243306
24,Visual-Attention-Network/van-large,0.7899881723145604
25,google/vit-base-patch32-384,0.8616013342137478
26,facebook/convnext-base-224-22k-1k,0.761417075184286
27,google/vit-large-patch32-384,0.9341072756959354
28,microsoft/swin-large-patch4-window7-224,0.838715813313
29,lysandre/tiny-vit-random,0.7243770278186639
30,facebook/convnext-large-224-22k-1k,0.7835398214088725
31,facebook/convnext-base-384,0.8617070019367633
32,microsoft/resnet-50,0.7529983826385911
33,microsoft/beit-base-patch16-224-pt22k,0.7555878184677762
34,microsoft/beit-large-patch16-224,0.8618926934607056
35,google/vit-large-patch16-224,0.9001895381922842
36,facebook/convnext-large-384,0.9132517630973502
37,facebook/convnext-large-384-22k-1k,0.9086974968299546
38,nielsr/convnext-xlarge-224-22k-1k,0.8645775272205513
39,facebook/deit-base-patch16-384,0.9164581348728268
40,google/vit-base-patch16-384,0.9133656128434198
41,facebook/deit-base-distilled-patch16-384,0.9010750713827815
42,facebook/convnext-xlarge-224-22k-1k,0.8636967037498992
43,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.7889765219021075
44,karthiksv/vit-base-patch16-224-cifar10,0.8229656029746185
45,nateraw/vit-base-patch16-224-cifar10,0.7991470506551924
46,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.8260349727081849
47,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.7874560805411224
48,jadohu/BEiT-finetuned,0.7298362750656604
49,tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,0.770261308407121
50,nateraw/vit-base-beans-demo,0.7825324910571786
51,nickmuchi/vit-base-beans,0.8294439875097691
52,karthiksv/vit-base-beans,0.7998498555514646
53,nateraw/vit-base-beans-demo-v3,0.8098747106740946
54,johnnydevriese/vit_beans,0.7995592696950455
55,nateraw/vit-base-beans-demo-v2,0.7788605939005253
56,mmekias/vit-base-beans,0.8291405270117951
57,nateraw/vit-base-beans,0.8070273402389556
58,mrm8488/convnext-tiny-finetuned-beans,0.705527041029432
59,nielsr/vit-finetuned-eurosat-kornia,0.8218840465776829
60,mrm8488/convnext-tiny-finetuned-eurosat,0.6973061833500469
61,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,0.7169726983308714
62,Calin/convnext-tiny-finteuned-eurosat,0.7365625820895103
63,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,0.7135333323022961
64,nielsr/convnext-tiny-finetuned-eurostat,0.7147202712877798
65,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,0.764291473275591
66,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7685070051551592
67,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7507612769974507
68,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7667453153168549
69,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7458736718641956
70,nielsr/convnext-tiny-finetuned-eurosat,0.7272175468898523
71,nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,0.7472288359205419
72,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7491118147480986
73,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7701342278502648
74,nielsr/van-base-finetuned-eurosat-imgaug,0.7686749462911955
75,mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7697655803318953
76,jemole/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7697517437908655
