,model,score
0,firebolt/llama_or_what2,13522.595
1,google/vit-base-patch16-224,13522.595
2,nateraw/denver-nyc-paris,13522.616
3,black/simple_kitchen,13522.621
4,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,13522.582
5,Suzana/new-york-tokyo-london,13522.652
6,filipafcastro/beer_vs_wine,13522.65
7,nateraw/baked-goods,13522.629
8,ajanco/greens,13522.622
9,nateraw/vit-base-beans-demo,13522.579
10,HHousen/household-rooms,13522.642
11,Amrrs/indian-foods,13522.649
12,nateraw/planes-trains-automobiles,13522.556
13,julien-c/hotdog-not-hotdog,13522.63
14,jmarshall/rare-puppers,13522.622
15,nielsr/vit-finetuned-eurosat-kornia,13522.663
16,eren23/pneumonia_test_attempt,13522.575
17,micole66/dwarf-goats,13522.599
18,nateraw/ex-for-evan,13522.663
19,karthiksv/vit-base-patch16-224-cifar10,13522.607
20,ferdinand/rare-puppers,13522.629
21,ipvikas/rare-puppers,13522.641
22,Frodnar/bee-likes,13522.619
23,nickmuchi/vit-base-beans,13522.624
24,nateraw/baseball-stadium-foods,13522.627
25,Giuliano/places,13522.622
26,firas-spanioli/beer-whisky-wine-detection,13522.593
27,jjhoffstein/lotr,13522.652
28,Nonem100/Test-Model,13522.654
29,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,13522.612
30,LorenzoDeMattei/lawn-weeds,13522.665
31,nateraw/doggos-lol,13522.616
32,IDEA-CCNL/Taiyi-vit-87M-D,13522.606
33,nickmuchi/vit-finetuned-chest-xray-pneumonia,13522.643
34,karthiksv/vit-base-beans,13522.606
35,Symbermine/rare-puppers,13522.647
36,nateraw/vit-base-patch16-224-cifar10,13522.636
37,gatecitypreservation/architectural_styles,13522.633
38,Amrrs/south-indian-foods,13522.698
39,hafidber/fruits,13522.652
40,nateraw/rare-puppers-123,13522.644
41,Aftabhussain/Tomato_Leaf_Classifier,13522.708
42,nickmuchi/vit-base-xray-pneumonia,13522.619
43,Neto71/sea_mammals,13522.614
44,lewtun/oz-fauna,13522.649
45,hgarg/fruits,13522.68
46,jasmeen/dogs,13522.636
47,b25mayank3/shirt_identifier,13522.6455
48,jeffboudier/vision-transformers-spain-or-italy-fan,13522.654
49,facebook/convnext-base-224-22k,13522.622
50,nickmuchi/vit-finetuned-cats-dogs,13522.637
51,godiec/diam,13522.626
52,Rajaram1996/FacialEmoRecog,13522.622
53,nateraw/vit-base-beans-demo-v3,13522.656
54,firebolt/llama_or_what,13522.632
55,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,13522.615
56,johnnydevriese/vit_beans,13522.636
57,nateraw/vit-age-classifier,13522.688
58,nateraw/vit-base-beans-demo-v2,13522.651
59,mmekias/vit-base-beans,13522.637
60,juanfiguera/ice_cream,13522.601
61,drab/Infrastructures,13522.641
62,nateraw/vit-base-beans,13522.551
63,Sena/dog,13522.606
64,jaygala24/finetuned-vit-base-patch16-224-upside-down-detector,13522.634
65,hafidber/rare-puppers,13522.65
66,edixo/road_good_damaged_condition,13522.608
