,model,score
0,google/vit-base-patch16-224,0.5645818855404178
1,IDEA-CCNL/Taiyi-vit-87M-D,0.5613623972027066
2,facebook/deit-base-patch16-224,0.6518408635305601
3,facebook/deit-base-distilled-patch16-224,0.5683031974492307
4,mrm8488/data2vec-base-finetuned-imagenet1k,0.5341580404219508
5,facebook/convnext-base-224,0.7522296162417841
6,facebook/convnext-small-224,0.6415913368071663
7,microsoft/swin-base-patch4-window7-224,0.7848603998856325
8,microsoft/beit-base-patch16-224,0.46351401478779297
9,facebook/convnext-tiny-224,0.7023232916500735
10,Visual-Attention-Network/van-small,0.6219478682391368
11,WinKawaks/vit-small-patch16-224,0.5222475368871555
12,facebook/deit-small-distilled-patch16-224,0.4701440182562361
13,Visual-Attention-Network/van-base,0.6353566880382242
14,facebook/deit-small-patch16-224,0.5299815414199952
15,microsoft/swin-small-patch4-window7-224,0.7192057053351251
16,Ahmed9275/ALL-3,0.7073082883059447
17,facebook/convnext-large-224,0.8052090505974292
18,WinKawaks/vit-tiny-patch16-224,0.42732798217583856
19,Visual-Attention-Network/van-tiny,0.4757699862145035
20,facebook/deit-tiny-distilled-patch16-224,0.44791278309641336
21,Ahmed9275/ALL-test,0.6547514138570174
22,facebook/deit-tiny-patch16-224,0.5102240254775532
23,microsoft/swin-tiny-patch4-window7-224,0.7146571958217902
24,Visual-Attention-Network/van-large,0.625992914051122
25,google/vit-base-patch32-384,0.6533801725077168
26,facebook/convnext-base-224-22k-1k,0.843086289339146
27,google/vit-large-patch32-384,0.6860361227768799
28,microsoft/swin-large-patch4-window7-224,0.9759456366441237
29,lysandre/tiny-vit-random,0.36736924451582065
30,facebook/convnext-large-224-22k-1k,0.9522190369827983
31,facebook/convnext-base-384,0.8040121716359963
32,microsoft/beit-large-patch16-224,0.5619929151292243
33,google/vit-large-patch16-224,0.7510518348919163
34,facebook/convnext-large-384,0.8678004033901829
35,facebook/convnext-large-384-22k-1k,0.9990114686257721
36,nielsr/convnext-xlarge-224-22k-1k,1.2545439855119676
37,facebook/deit-base-patch16-384,0.7059473586099562
38,google/vit-base-patch16-384,0.6989157068265627
39,facebook/deit-base-distilled-patch16-384,0.6753310209963622
40,facebook/convnext-xlarge-224-22k-1k,1.1652803551283177
41,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.7286786800296666
42,karthiksv/vit-base-patch16-224-cifar10,0.6805786271493812
43,nateraw/vit-base-patch16-224-cifar10,0.6672117686696252
44,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.6908985321012728
45,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.6542204297225107
46,jadohu/BEiT-finetuned,0.5651797546045637
47,nateraw/vit-base-beans-demo,0.5360542798516896
48,nickmuchi/vit-base-beans,0.5636109680689796
49,karthiksv/vit-base-beans,0.6487887257794394
50,nateraw/vit-base-beans-demo-v3,0.5754673722763342
51,johnnydevriese/vit_beans,0.5815081244950228
52,nateraw/vit-base-beans-demo-v2,0.5776537764991316
53,mmekias/vit-base-beans,0.6273937642932081
54,nateraw/vit-base-beans,0.6238037407523925
55,mrm8488/convnext-tiny-finetuned-beans,0.6957018536173232
56,nielsr/vit-finetuned-eurosat-kornia,0.6164352989429399
57,mrm8488/convnext-tiny-finetuned-eurosat,0.735715894053254
58,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,0.766318086888612
59,Calin/convnext-tiny-finteuned-eurosat,0.7190512680586114
60,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,0.6560885771183276
61,nielsr/convnext-tiny-finetuned-eurostat,0.637116329255192
62,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7173186997600053
63,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7150227851127045
64,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7089058327553348
65,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7107372732335661
66,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7101974318579665
67,nielsr/convnext-tiny-finetuned-eurosat,0.6433507378051941
68,nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,0.7118008931557408
69,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,0.6866290410843946
70,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7089716912025914
71,nielsr/van-base-finetuned-eurosat-imgaug,0.5738623477168718
72,mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7094407281279516
73,jemole/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7120635107945816
74,guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7194447579128216
75,eren23/pneumonia_test_attempt,0.63626206087305
76,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.6256729454018471
77,nickmuchi/vit-base-xray-pneumonia,0.5304655754304457
78,facebook/convnext-base-224-22k,0.7994229504619076
79,microsoft/swin-large-patch4-window7-224-in22k,0.9251244099883839
80,microsoft/swin-base-patch4-window7-224-in22k,0.7737495809808029
81,microsoft/beit-base-patch16-224-pt22k-ft22k,0.4680270892300328
82,facebook/convnext-large-224-22k,0.8799946739665754
83,facebook/convnext-xlarge-224-22k,1.0349292281041855
84,microsoft/swin-base-patch4-window12-384-in22k,0.8145852346371478
85,microsoft/beit-large-patch16-224-pt22k-ft22k,0.524845715236639
86,nielsr/convnext-xlarge-224-22k,1.1038163987987422
87,nickmuchi/vit-finetuned-cats-dogs,0.6355183061522545
88,ismgar01/vit-base-cats-vs-dogs,0.6083116933098853
89,akahana/vit-base-cats-vs-dogs,0.592357743209732
90,nateraw/vit-base-cats-vs-dogs,0.6229338443223192
91,nateraw/test_model_a,0.4142361615043303
92,matteopilotto/vit-base-patch16-224-in21k-snacks,0.6360956583387245
93,Matthijs/snacks-classifier,0.6985921271096607
94,nateraw/vit-base-food101,0.6485734590195291
95,eslamxm/vit-base-food101,0.5848444114749574
96,SriramSridhar78/sriram-car-classifier,0.606253721439121
97,imjeffhi/pokemon_classifier,0.5574910602785697
98,AkshatSurolia/ViT-FaceMask-Finetuned,0.5559574015241813
99,AkshatSurolia/BEiT-FaceMask-Finetuned,0.5101360334361955
100,AkshatSurolia/DeiT-FaceMask-Finetuned,0.6387717464068943
101,Ahmed9275/Vit-Cifar100,0.9542928851253121
