,model,score
0,firebolt/llama_or_what2,-59.43744
1,google/vit-base-patch16-224,-59.403473
2,nateraw/denver-nyc-paris,-59.343384
3,black/simple_kitchen,-59.39792
4,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,-59.43521
5,Suzana/new-york-tokyo-london,-59.383698
6,filipafcastro/beer_vs_wine,-59.365784
7,nateraw/baked-goods,-59.40808
8,ajanco/greens,-59.432922
9,nateraw/vit-base-beans-demo,-59.421875
10,HHousen/household-rooms,-59.395813
11,Amrrs/indian-foods,-59.37683
12,nateraw/planes-trains-automobiles,-59.464813
13,julien-c/hotdog-not-hotdog,-59.38385
14,jmarshall/rare-puppers,-59.377686
15,nielsr/vit-finetuned-eurosat-kornia,-59.416565
16,eren23/pneumonia_test_attempt,-59.403442
17,micole66/dwarf-goats,-59.427948
18,nateraw/ex-for-evan,-59.365814
19,karthiksv/vit-base-patch16-224-cifar10,-59.39279
20,ferdinand/rare-puppers,-59.40738
21,ipvikas/rare-puppers,-59.363617
22,Frodnar/bee-likes,-59.445404
23,nickmuchi/vit-base-beans,-59.413055
24,nateraw/baseball-stadium-foods,-59.425385
25,Giuliano/places,-59.40851
26,firas-spanioli/beer-whisky-wine-detection,-59.379395
27,jjhoffstein/lotr,-59.364014
28,Nonem100/Test-Model,-59.390137
29,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,-59.39908
30,LorenzoDeMattei/lawn-weeds,-59.415527
31,nateraw/doggos-lol,-59.43228
32,IDEA-CCNL/Taiyi-vit-87M-D,-59.422882
33,nickmuchi/vit-finetuned-chest-xray-pneumonia,-59.33191
34,karthiksv/vit-base-beans,-59.382996
35,Symbermine/rare-puppers,-59.390533
36,nateraw/vit-base-patch16-224-cifar10,-59.401917
37,gatecitypreservation/architectural_styles,-59.394623
38,Amrrs/south-indian-foods,-59.424805
39,hafidber/fruits,-59.34192
40,nateraw/rare-puppers-123,-59.41388
41,Aftabhussain/Tomato_Leaf_Classifier,-59.422363
42,nickmuchi/vit-base-xray-pneumonia,-59.40393
43,Neto71/sea_mammals,-59.363464
44,lewtun/oz-fauna,-59.357086
45,hgarg/fruits,-59.383484
46,jasmeen/dogs,-59.36905
47,b25mayank3/shirt_identifier,-59.384033
48,jeffboudier/vision-transformers-spain-or-italy-fan,-59.44165
49,facebook/convnext-base-224-22k,-59.36557
50,nickmuchi/vit-finetuned-cats-dogs,-59.377747
51,godiec/diam,-59.392853
52,Rajaram1996/FacialEmoRecog,-59.43402
53,nateraw/vit-base-beans-demo-v3,-59.42926
54,firebolt/llama_or_what,-59.387238
55,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,-59.422516
56,johnnydevriese/vit_beans,-59.42813
57,nateraw/vit-age-classifier,-59.43686
58,nateraw/vit-base-beans-demo-v2,-59.43811
59,mmekias/vit-base-beans,-59.398926
60,juanfiguera/ice_cream,-59.377625
61,drab/Infrastructures,-59.419373
62,nateraw/vit-base-beans,-59.451843
63,Sena/dog,-59.41214
64,jaygala24/finetuned-vit-base-patch16-224-upside-down-detector,-59.397186
65,hafidber/rare-puppers,-59.368134
66,edixo/road_good_damaged_condition,-59.4433
67,AykeeSalazar/vc-bantai-vit-withoutAMBI,-59.389587
68,Sena/flowers,-59.39908
69,matteopilotto/vit-base-patch16-224-in21k-snacks,-59.394653
70,johnnydevriese/vit-airplanes,-59.43271
71,nateraw/pasta-shapes,-59.41928
72,mrm8488/vit-base-patch16-224_finetuned-pneumothorax,-59.371674
73,hgarg/indian-snacks,-59.361755
74,nateraw/vit-base-food101,-59.365723
75,Hijazzi/rare-puppers,-59.44043
76,nateraw/trainer-rare-puppers,-59.423492
77,ibombonato/vit-age-classifier,-59.425537
78,nateraw/rare-puppers-new-auth,-59.456085
79,SriramSridhar78/sriram-car-classifier,-59.365143
80,ismgar01/vit-base-cats-vs-dogs,-59.430847
81,nateraw/rare-puppers,-59.384583
82,iyzg/computer-stuff,-59.33246
83,nateraw/huggingpics-package-demo-2,-59.3833
84,imjeffhi/pokemon_classifier,-59.411316
85,nateraw/pasta-pizza-ravioli,-59.424316
86,akahana/vit-base-cats-vs-dogs,-59.396088
87,nateraw/donut-or-bagel,-59.402374
88,nateraw/rare-puppers-09-04-2021,-59.42572
89,nateraw/vit-base-cats-vs-dogs,-59.40158
90,Zayn/VIT_Basic,-59.374817
91,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,-59.42804
92,AkshatSurolia/ViT-FaceMask-Finetuned,-59.40674
93,microsoft/swin-large-patch4-window7-224-in22k,-59.362854
94,Ahmed9275/Vit-Cifar100,-59.436768
95,driboune/skin_type,-59.4032
96,microsoft/swin-base-patch4-window7-224-in22k,-59.439148
97,facebook/deit-base-patch16-224,-59.40509
98,facebook/deit-base-distilled-patch16-224,-59.394104
99,eslamxm/vit-base-food101,-59.44702
100,mrm8488/data2vec-base-finetuned-imagenet1k,-59.454346
101,facebook/convnext-base-224,-59.391205
102,facebook/convnext-small-224,-59.432312
103,microsoft/swin-base-patch4-window7-224,-59.37625
104,microsoft/beit-base-patch16-224,-59.56613
105,mrm8488/convnext-tiny-finetuned-eurosat,-59.41037
106,mrm8488/convnext-tiny-finetuned-beans,-59.376007
107,facebook/convnext-tiny-224,-59.41281
108,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,-59.384155
109,microsoft/beit-base-patch16-224-pt22k-ft22k,-59.468353
110,AkshatSurolia/ConvNeXt-FaceMask-Finetuned,-59.42401
111,Calin/convnext-tiny-finteuned-eurosat,-59.365234
112,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,-59.432648
113,Visual-Attention-Network/van-small,-59.440155
114,WinKawaks/vit-small-patch16-224,-59.417633
115,facebook/deit-small-distilled-patch16-224,-59.40384
116,Visual-Attention-Network/van-base,-59.399933
117,jadohu/BEiT-finetuned,-59.480316
118,nielsr/convnext-tiny-finetuned-eurostat,-59.40561
119,facebook/deit-small-patch16-224,-59.44394
120,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,-59.433685
121,microsoft/swin-small-patch4-window7-224,-59.424988
122,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,-59.40329
123,Ahmed9275/ALL-3,-59.484833
124,facebook/convnext-large-224,-59.40457
125,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,-59.42166
126,WinKawaks/vit-tiny-patch16-224,-59.51773
127,Visual-Attention-Network/van-tiny,-59.424225
128,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,-59.4068
129,facebook/deit-tiny-distilled-patch16-224,-59.424103
130,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,-59.453186
131,nielsr/convnext-tiny-finetuned-eurosat,-59.433533
132,ibombonato/swin-age-classifier,-59.447113
133,Ahmed9275/ALL-test,-59.429718
134,nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,-59.456207
135,facebook/deit-tiny-patch16-224,-59.466705
136,microsoft/swin-tiny-patch4-window7-224,-59.385437
137,flyswot/test,-59.439636
138,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,-59.40103
139,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,-59.400757
140,nielsr/van-base-finetuned-eurosat-imgaug,-59.398987
141,mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,-59.402008
142,Visual-Attention-Network/van-large,-59.374817
143,Matthijs/snacks-classifier,-59.44702
144,jemole/swin-tiny-patch4-window7-224-finetuned-eurosat,-59.441803
145,nateraw/test_model_a,-60.076538
146,guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,-59.46588
147,google/vit-base-patch32-384,-59.44455
148,nateraw/rare-puppers-demo,-59.44159
149,AkshatSurolia/BEiT-FaceMask-Finetuned,-59.589966
150,AkshatSurolia/DeiT-FaceMask-Finetuned,-59.39142
151,meame2010/rare-puppers,-59.462036
152,facebook/convnext-base-224-22k-1k,-59.365265
153,google/vit-large-patch32-384,-59.421356
154,microsoft/swin-large-patch4-window7-224,-59.358917
155,mmgyorke/vit-world-landmarks,-59.410187
156,lysandre/tiny-vit-random,-59.890167
157,AhmedSayeem/VIT_Basic,-59.374084
158,facebook/convnext-large-224-22k-1k,-59.343964
159,tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,-59.414093
160,facebook/convnext-base-384,-59.405212
161,microsoft/resnet-50,-59.45221
162,microsoft/beit-base-patch16-224-pt22k,-59.577484
163,microsoft/beit-large-patch16-224,-59.60367
164,facebook/convnext-large-224-22k,-59.35544
165,google/vit-large-patch16-224,-59.42282
166,facebook/convnext-large-384,-59.43982
167,facebook/convnext-xlarge-224-22k,-59.330566
168,facebook/convnext-large-384-22k-1k,-59.401093
169,nielsr/convnext-xlarge-224-22k-1k,-59.418182
170,facebook/deit-base-patch16-384,-59.404633
171,google/vit-base-patch16-384,-59.349274
172,microsoft/swin-base-patch4-window12-384-in22k,-59.412018
173,microsoft/beit-large-patch16-224-pt22k-ft22k,-59.539337
174,facebook/deit-base-distilled-patch16-384,-59.3916
175,facebook/convnext-xlarge-224-22k-1k,-59.327698
176,nielsr/convnext-xlarge-224-22k,-59.35022
