,model,score
0,Rajaram1996/FacialEmoRecog,0.6898616905407284
1,matteopilotto/vit-base-patch16-224-in21k-snacks,0.724323998121148
2,Matthijs/snacks-classifier,0.7470375253970629
3,nateraw/vit-age-classifier,0.7388667664524826
4,ibombonato/vit-age-classifier,0.7027631252376851
5,ibombonato/swin-age-classifier,0.7011344940032432
6,nateraw/vit-base-beans-demo,0.7605896943509179
7,nickmuchi/vit-base-beans,0.7346557742409586
8,karthiksv/vit-base-beans,0.72795548967531
9,nateraw/vit-base-beans-demo-v3,0.7636201735111414
10,johnnydevriese/vit_beans,0.7857637164538183
11,nateraw/vit-base-beans-demo-v2,0.7248271180227523
12,mmekias/vit-base-beans,0.7030188117814001
13,nateraw/vit-base-beans,0.7970256127581823
14,mrm8488/convnext-tiny-finetuned-beans,0.7600606441112612
15,nickmuchi/vit-finetuned-cats-dogs,0.775473845946487
16,ismgar01/vit-base-cats-vs-dogs,0.8592171929115253
17,akahana/vit-base-cats-vs-dogs,0.6541483103655984
18,nateraw/vit-base-cats-vs-dogs,0.7343735821029158
19,nateraw/test_model_a,-0.15162733987253518
20,eren23/pneumonia_test_attempt,0.7090614055229173
21,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.7125774877472569
22,nickmuchi/vit-base-xray-pneumonia,0.7500380670281714
23,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.7710208077368785
24,karthiksv/vit-base-patch16-224-cifar10,0.7429012240447257
25,nateraw/vit-base-patch16-224-cifar10,0.7751182321671917
26,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.6845152986878005
27,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.7258911030128041
28,jadohu/BEiT-finetuned,0.6066340351369505
29,tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,0.8210978291363297
30,Ahmed9275/Vit-Cifar100,0.6625170070161893
31,nielsr/vit-finetuned-eurosat-kornia,0.7928886298316319
32,mrm8488/convnext-tiny-finetuned-eurosat,0.786416174688727
33,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,0.7243126296907806
34,Calin/convnext-tiny-finteuned-eurosat,0.7860262350053215
35,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,0.7796613951354046
36,nielsr/convnext-tiny-finetuned-eurostat,0.6896692453081482
37,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7088079748466528
38,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,0.6936554847807124
39,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7222842430384644
40,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,0.6531593579313335
41,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7162625362528864
42,nielsr/convnext-tiny-finetuned-eurosat,0.6933208144025108
43,nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,0.7728354652824488
44,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7412821253480528
45,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,0.6799042601238556
46,nielsr/van-base-finetuned-eurosat-imgaug,0.6919741051789344
47,mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,0.669282100605655
48,jemole/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7037584324237424
49,guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,0.6996730365072474
50,nateraw/vit-base-food101,0.7579725421245069
51,eslamxm/vit-base-food101,0.6803293533613916
52,firebolt/llama_or_what2,0.7251168020098926
53,nateraw/denver-nyc-paris,0.7418263889625444
54,black/simple_kitchen,0.8105449194401738
55,Suzana/new-york-tokyo-london,0.768569784295932
56,filipafcastro/beer_vs_wine,0.7567912857875849
57,nateraw/baked-goods,0.7434033061127969
58,ajanco/greens,0.6898723502179759
59,HHousen/household-rooms,0.8086369475761542
60,Amrrs/indian-foods,0.7065792429064803
61,nateraw/planes-trains-automobiles,0.7171317988301711
62,julien-c/hotdog-not-hotdog,0.7703228394912677
63,jmarshall/rare-puppers,0.7293316038483811
64,micole66/dwarf-goats,0.7293288960923522
65,nateraw/ex-for-evan,0.7383247075319376
66,ferdinand/rare-puppers,0.7898656819232459
67,ipvikas/rare-puppers,0.7527628525933345
68,Frodnar/bee-likes,0.6781139205585267
69,nateraw/baseball-stadium-foods,0.7368496074032193
70,Giuliano/places,0.7781358119653945
71,firas-spanioli/beer-whisky-wine-detection,0.7323593008891099
72,jjhoffstein/lotr,0.7686835853164387
73,Nonem100/Test-Model,0.6886488271560948
74,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,0.7001945885232828
75,LorenzoDeMattei/lawn-weeds,0.6491506695000924
76,nateraw/doggos-lol,0.7583590247468682
77,Symbermine/rare-puppers,0.7506625931046305
78,gatecitypreservation/architectural_styles,0.7018402781565432
79,Amrrs/south-indian-foods,0.7495824886553205
80,hafidber/fruits,0.7126906749214245
81,nateraw/rare-puppers-123,0.688320465276599
82,Aftabhussain/Tomato_Leaf_Classifier,0.7872069256091051
83,Neto71/sea_mammals,0.7838305595482677
84,lewtun/oz-fauna,0.7449223455877835
85,hgarg/fruits,0.7249542419539219
86,jasmeen/dogs,0.7752549870559396
87,b25mayank3/shirt_identifier,0.7618577506423462
88,jeffboudier/vision-transformers-spain-or-italy-fan,0.8232833877929524
89,godiec/diam,0.7112459553755888
90,firebolt/llama_or_what,0.7486234722698337
91,juanfiguera/ice_cream,0.7814317965173104
92,drab/Infrastructures,0.7915425181101792
93,Sena/dog,0.7555957980081643
94,jaygala24/finetuned-vit-base-patch16-224-upside-down-detector,0.6809760030706327
95,hafidber/rare-puppers,0.7412075337578088
96,edixo/road_good_damaged_condition,0.7252265787663368
97,AykeeSalazar/vc-bantai-vit-withoutAMBI,0.682273717194248
98,Sena/flowers,0.7459029000105803
99,johnnydevriese/vit-airplanes,0.6915848345348858
100,nateraw/pasta-shapes,0.7789282338732909
101,mrm8488/vit-base-patch16-224_finetuned-pneumothorax,0.7970941708379037
102,hgarg/indian-snacks,0.7684543983637486
103,Hijazzi/rare-puppers,0.7571940699649173
104,nateraw/trainer-rare-puppers,0.7231597762786061
105,nateraw/rare-puppers-new-auth,0.6968823982154985
106,nateraw/rare-puppers,0.7542352039005519
107,iyzg/computer-stuff,0.736440250318255
108,nateraw/huggingpics-package-demo-2,0.7960733084462646
109,nateraw/pasta-pizza-ravioli,0.7619432368988446
110,nateraw/donut-or-bagel,0.7883346743200974
111,nateraw/rare-puppers-09-04-2021,0.7727080872317386
112,Zayn/VIT_Basic,0.8197280388961771
113,driboune/skin_type,0.6933092022275719
114,flyswot/test,0.6783831784646435
115,nateraw/rare-puppers-demo,0.7413530276002894
116,meame2010/rare-puppers,0.7001428184005619
117,mmgyorke/vit-world-landmarks,0.7272803277577056
118,AhmedSayeem/VIT_Basic,0.7674905713290849
119,google/vit-base-patch16-224,0.7867605204781677
120,IDEA-CCNL/Taiyi-vit-87M-D,0.7430536513010267
121,facebook/deit-base-patch16-224,0.7113354154313111
122,facebook/deit-base-distilled-patch16-224,0.7119305453244916
123,mrm8488/data2vec-base-finetuned-imagenet1k,0.7859536721630962
124,facebook/convnext-base-224,0.6958787521016477
125,facebook/convnext-small-224,0.7644616317716008
126,microsoft/swin-base-patch4-window7-224,0.7995068945513986
127,microsoft/beit-base-patch16-224,0.57293979842824
128,facebook/convnext-tiny-224,0.7033576866763258
129,Visual-Attention-Network/van-small,0.7335626184839465
130,WinKawaks/vit-small-patch16-224,0.6754122702208728
131,facebook/deit-small-distilled-patch16-224,0.6945388009433664
132,Visual-Attention-Network/van-base,0.7849338318866624
133,facebook/deit-small-patch16-224,0.6081058166276874
134,microsoft/swin-small-patch4-window7-224,0.6254733517339327
135,Ahmed9275/ALL-3,0.691503782304342
136,facebook/convnext-large-224,0.7826566949107483
137,WinKawaks/vit-tiny-patch16-224,0.5411001863863911
138,Visual-Attention-Network/van-tiny,0.5601294221805958
139,facebook/deit-tiny-distilled-patch16-224,0.6170350605763164
140,Ahmed9275/ALL-test,0.7181511491835497
141,facebook/deit-tiny-patch16-224,0.6288229703836745
142,microsoft/swin-tiny-patch4-window7-224,0.6524212455798568
143,Visual-Attention-Network/van-large,0.753113841093578
144,google/vit-base-patch32-384,0.7616382545921206
145,facebook/convnext-base-224-22k-1k,0.8339732298570834
146,google/vit-large-patch32-384,0.7440497614965678
147,microsoft/swin-large-patch4-window7-224,0.774128136310021
148,lysandre/tiny-vit-random,0.25418187626313293
149,facebook/convnext-large-224-22k-1k,0.7392622273267209
150,microsoft/resnet-50,0.728884469042958
151,microsoft/beit-base-patch16-224-pt22k,0.5898292522754955
152,facebook/deit-base-distilled-patch16-384,0.7099187601465179
153,google/vit-base-patch16-384,0.8003817591221327
154,facebook/convnext-base-384,0.831237472930781
155,facebook/convnext-xlarge-224-22k-1k,0.7758124828118186
156,facebook/deit-base-patch16-384,0.7357485590668893
157,google/vit-large-patch16-224,0.7038551679708753
158,microsoft/beit-large-patch16-224,0.5297644617331574
159,nielsr/convnext-xlarge-224-22k-1k,0.7678849524879046
160,facebook/convnext-large-384-22k-1k,0.7972259068644303
161,facebook/convnext-large-384,0.79019614293874
162,facebook/convnext-base-224-22k,0.7829074931204283
163,microsoft/swin-large-patch4-window7-224-in22k,0.7754022312562795
164,microsoft/swin-base-patch4-window7-224-in22k,0.7441462594858516
165,microsoft/beit-base-patch16-224-pt22k-ft22k,0.6004215011268041
166,facebook/convnext-large-224-22k,0.7456680411195371
167,facebook/convnext-xlarge-224-22k,0.8006899081055663
168,microsoft/beit-large-patch16-224-pt22k-ft22k,0.6771562143913975
169,microsoft/swin-base-patch4-window12-384-in22k,0.7991037133397703
170,nielsr/convnext-xlarge-224-22k,0.8475855486204987
171,imjeffhi/pokemon_classifier,0.7490764253233599
172,AkshatSurolia/ViT-FaceMask-Finetuned,0.6721289319946121
173,AkshatSurolia/BEiT-FaceMask-Finetuned,0.35869984215705625
174,AkshatSurolia/DeiT-FaceMask-Finetuned,0.6275864050343523
175,AkshatSurolia/ConvNeXt-FaceMask-Finetuned,0.7647751747537992
176,SriramSridhar78/sriram-car-classifier,0.7281414529969168
