,model,score
0,firebolt/llama_or_what2,0.7083295316994486
1,google/vit-base-patch16-224,0.748701518246707
2,nateraw/denver-nyc-paris,0.7496291495778273
3,black/simple_kitchen,0.7493436612604216
4,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.7721604348031615
5,Suzana/new-york-tokyo-london,0.765727330526968
6,filipafcastro/beer_vs_wine,0.759759215410945
7,nateraw/baked-goods,0.763963626511615
8,ajanco/greens,0.7396930360697112
9,nateraw/vit-base-beans-demo,0.7584607417314583
10,HHousen/household-rooms,0.7485548220057658
11,Amrrs/indian-foods,0.7552375475081233
12,nateraw/planes-trains-automobiles,0.7616962736769869
13,julien-c/hotdog-not-hotdog,0.7575710910504646
14,jmarshall/rare-puppers,0.7681981524270355
15,nielsr/vit-finetuned-eurosat-kornia,0.7641742272169232
16,eren23/pneumonia_test_attempt,0.7992927583137408
17,micole66/dwarf-goats,0.7397559089192175
18,nateraw/ex-for-evan,0.760817755740086
19,karthiksv/vit-base-patch16-224-cifar10,0.7587960282828755
20,ferdinand/rare-puppers,0.7701647290591684
21,ipvikas/rare-puppers,0.7576138863079991
22,Frodnar/bee-likes,0.7477136169513313
23,nickmuchi/vit-base-beans,0.7977313041836818
24,nateraw/baseball-stadium-foods,0.7533146732972801
25,Giuliano/places,0.7736516851256432
26,firas-spanioli/beer-whisky-wine-detection,0.770980772244778
27,jjhoffstein/lotr,0.7236040005738681
28,Nonem100/Test-Model,0.7595862711167244
29,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,0.7621745809093834
30,LorenzoDeMattei/lawn-weeds,0.7541056683407487
31,nateraw/doggos-lol,0.7543768364198012
32,IDEA-CCNL/Taiyi-vit-87M-D,0.7605767448296338
33,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.7582620387200408
34,karthiksv/vit-base-beans,0.7505406897920454
35,Symbermine/rare-puppers,0.761909421699066
36,nateraw/vit-base-patch16-224-cifar10,0.7501098078821707
37,gatecitypreservation/architectural_styles,0.7516335463424921
38,Amrrs/south-indian-foods,0.7503979236494094
39,hafidber/fruits,0.7609081274125908
40,nateraw/rare-puppers-123,0.7592465416081299
41,Aftabhussain/Tomato_Leaf_Classifier,0.7618312668756662
42,nickmuchi/vit-base-xray-pneumonia,0.758313347184254
43,Neto71/sea_mammals,0.7608315451641585
44,lewtun/oz-fauna,0.7619994600571953
45,hgarg/fruits,0.7710551042999514
46,jasmeen/dogs,0.773063102335201
47,b25mayank3/shirt_identifier,0.7465361661493924
48,jeffboudier/vision-transformers-spain-or-italy-fan,0.7345509475990739
49,facebook/convnext-base-224-22k,0.7961722152469046
50,nickmuchi/vit-finetuned-cats-dogs,0.7610340652506725
51,godiec/diam,0.7594801597627844
52,Rajaram1996/FacialEmoRecog,0.7670359077417758
53,nateraw/vit-base-beans-demo-v3,0.7750058842501174
54,firebolt/llama_or_what,0.706511130849753
55,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.7889449350834804
56,johnnydevriese/vit_beans,0.7501209868927378
57,nateraw/vit-age-classifier,0.7510615438034502
58,nateraw/vit-base-beans-demo-v2,0.761119815090268
59,mmekias/vit-base-beans,0.7671304753270066
60,juanfiguera/ice_cream,0.7258607861818575
61,drab/Infrastructures,0.7733378475449368
62,nateraw/vit-base-beans,0.7570454751289081
63,Sena/dog,0.7647422260717015
64,jaygala24/finetuned-vit-base-patch16-224-upside-down-detector,0.753121993497742
65,hafidber/rare-puppers,0.7689325462344727
66,edixo/road_good_damaged_condition,0.7697782039614257
67,AykeeSalazar/vc-bantai-vit-withoutAMBI,0.7704428146908715
68,Sena/flowers,0.7374893223564797
69,matteopilotto/vit-base-patch16-224-in21k-snacks,0.7629252867994144
70,johnnydevriese/vit-airplanes,0.7743750048431515
71,nateraw/pasta-shapes,0.7629332009888145
72,mrm8488/vit-base-patch16-224_finetuned-pneumothorax,0.7509462246325901
73,hgarg/indian-snacks,0.7383310021776502
74,nateraw/vit-base-food101,0.7588943169023835
75,Hijazzi/rare-puppers,0.7672304647556788
76,nateraw/trainer-rare-puppers,0.7514193277104818
77,ibombonato/vit-age-classifier,0.7593980689658872
78,nateraw/rare-puppers-new-auth,0.767981656317664
79,SriramSridhar78/sriram-car-classifier,0.7611928635232421
80,ismgar01/vit-base-cats-vs-dogs,0.7615967401996611
81,nateraw/rare-puppers,0.7993489096035212
82,iyzg/computer-stuff,0.7774917302506574
83,nateraw/huggingpics-package-demo-2,0.7563117199766253
84,imjeffhi/pokemon_classifier,0.7698724971697625
85,nateraw/pasta-pizza-ravioli,0.7679131983395077
86,akahana/vit-base-cats-vs-dogs,0.771798305808231
87,nateraw/donut-or-bagel,0.7695335160350815
88,nateraw/rare-puppers-09-04-2021,0.7616944406242105
89,nateraw/vit-base-cats-vs-dogs,0.7742415214102176
90,Zayn/VIT_Basic,0.7602517082438117
91,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.766848642673596
92,AkshatSurolia/ViT-FaceMask-Finetuned,0.7692221580491514
93,microsoft/swin-large-patch4-window7-224-in22k,0.8205910719013054
94,Ahmed9275/Vit-Cifar100,0.7600450834973419
95,driboune/skin_type,0.7856302009022401
96,microsoft/swin-base-patch4-window7-224-in22k,0.7753813671254206
97,facebook/deit-base-patch16-224,0.7537095505288965
98,facebook/deit-base-distilled-patch16-224,0.7358035531373495
99,eslamxm/vit-base-food101,0.7563740389461503
100,mrm8488/data2vec-base-finetuned-imagenet1k,0.7383419015792817
101,facebook/convnext-base-224,0.7331530383340871
102,facebook/convnext-small-224,0.7227132033271709
103,microsoft/swin-base-patch4-window7-224,0.7617961218726709
104,microsoft/beit-base-patch16-224,0.7354807457893184
105,mrm8488/convnext-tiny-finetuned-eurosat,0.715711740176398
106,mrm8488/convnext-tiny-finetuned-beans,0.7134831387697799
107,facebook/convnext-tiny-224,0.7025986569154784
108,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,0.7166700517947875
109,microsoft/beit-base-patch16-224-pt22k-ft22k,0.7572833985278011
110,AkshatSurolia/ConvNeXt-FaceMask-Finetuned,0.7224629376223666
111,Calin/convnext-tiny-finteuned-eurosat,0.7127246684366054
112,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,0.7051784641188005
113,Visual-Attention-Network/van-small,0.7214259217646083
114,WinKawaks/vit-small-patch16-224,0.7333086388312912
115,facebook/deit-small-distilled-patch16-224,0.7097240448798406
116,Visual-Attention-Network/van-base,0.7531361415599065
117,jadohu/BEiT-finetuned,0.7374918083705877
118,nielsr/convnext-tiny-finetuned-eurostat,0.706892799904237
119,facebook/deit-small-patch16-224,0.7350404673199259
120,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,0.72709218633627
121,microsoft/swin-small-patch4-window7-224,0.7439018214088133
122,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7393586199421848
123,Ahmed9275/ALL-3,0.7353392525935909
124,facebook/convnext-large-224,0.7800926565243391
125,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7377126009371755
126,WinKawaks/vit-tiny-patch16-224,0.7276680027549408
127,Visual-Attention-Network/van-tiny,0.7120250271623797
128,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7364679558373053
129,facebook/deit-tiny-distilled-patch16-224,0.6961086523063911
130,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7361924116678474
131,nielsr/convnext-tiny-finetuned-eurosat,0.724943033958736
132,ibombonato/swin-age-classifier,0.7254575108680077
133,Ahmed9275/ALL-test,0.735465845910253
134,nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,0.7360725420543499
135,facebook/deit-tiny-patch16-224,0.7150589328363123
136,microsoft/swin-tiny-patch4-window7-224,0.7270928238017802
137,flyswot/test,0.7265542380223641
138,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7419079591920152
139,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7413626757830014
140,nielsr/van-base-finetuned-eurosat-imgaug,0.7717747104356604
141,mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7422150114614644
142,Visual-Attention-Network/van-large,0.7615885896528874
143,Matthijs/snacks-classifier,0.7374587036521681
144,jemole/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7418488305133611
145,nateraw/test_model_a,0.7242871692524998
146,guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7485628376753001
147,google/vit-base-patch32-384,0.7709083726904599
148,nateraw/rare-puppers-demo,0.7534932517985936
149,AkshatSurolia/BEiT-FaceMask-Finetuned,0.737725085596554
150,AkshatSurolia/DeiT-FaceMask-Finetuned,0.7564106441680414
151,meame2010/rare-puppers,0.7423546150739191
152,facebook/convnext-base-224-22k-1k,0.7366991489051022
153,google/vit-large-patch32-384,0.8271995264384222
154,microsoft/swin-large-patch4-window7-224,0.7892564993850579
155,mmgyorke/vit-world-landmarks,0.8029785230266426
156,lysandre/tiny-vit-random,0.7248384421169211
157,AhmedSayeem/VIT_Basic,0.7693237984100397
158,facebook/convnext-large-224-22k-1k,0.7669842811846292
159,tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,0.7995193590264292
160,facebook/convnext-base-384,0.8269070600630528
161,microsoft/resnet-50,0.7287600627675429
162,microsoft/beit-base-patch16-224-pt22k,0.7615000627199334
163,microsoft/beit-large-patch16-224,0.833116054015336
164,facebook/convnext-large-224-22k,0.8059109684533039
165,google/vit-large-patch16-224,0.8558753468260957
166,facebook/convnext-large-384,0.8875705204251355
167,facebook/convnext-xlarge-224-22k,0.868756748099134
168,facebook/convnext-large-384-22k-1k,0.8879165693186443
169,nielsr/convnext-xlarge-224-22k-1k,0.8462905084149421
170,facebook/deit-base-patch16-384,0.8489473042240996
171,google/vit-base-patch16-384,0.8534817776813146
172,microsoft/swin-base-patch4-window12-384-in22k,0.8778431222151116
