,model,score
0,firebolt/llama_or_what2,0.9357308392930547
1,google/vit-base-patch16-224,0.9312394646314748
2,nateraw/denver-nyc-paris,0.9359938484014343
3,black/simple_kitchen,0.9344420005953568
4,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.9262698619157225
5,Suzana/new-york-tokyo-london,0.9315167400200324
6,filipafcastro/beer_vs_wine,0.9359938484014343
7,nateraw/baked-goods,0.9359938484014343
8,ajanco/greens,0.9344362461013511
9,nateraw/vit-base-beans-demo,0.9336556943129753
10,HHousen/household-rooms,0.9359938484014343
11,Amrrs/indian-foods,0.9359938484014343
12,nateraw/planes-trains-automobiles,0.9359938484014343
13,julien-c/hotdog-not-hotdog,0.9359938484014343
14,jmarshall/rare-puppers,0.9359938484014343
15,nielsr/vit-finetuned-eurosat-kornia,0.9172889102009363
16,eren23/pneumonia_test_attempt,0.9336556943129753
17,micole66/dwarf-goats,0.9359938484014343
18,nateraw/ex-for-evan,0.9359938484014343
19,karthiksv/vit-base-patch16-224-cifar10,0.9359938484014343
20,ferdinand/rare-puppers,0.9352845111585093
21,ipvikas/rare-puppers,0.9357308392930547
22,Frodnar/bee-likes,0.9303919109561515
23,nickmuchi/vit-base-beans,0.9359938484014343
24,nateraw/baseball-stadium-foods,0.9336556943129753
25,Giuliano/places,0.9359938484014343
26,firas-spanioli/beer-whisky-wine-detection,0.9359938484014343
27,jjhoffstein/lotr,0.9359938484014343
28,Nonem100/Test-Model,0.930238107349388
29,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,0.9333573120877854
30,LorenzoDeMattei/lawn-weeds,0.9359938484014343
31,nateraw/doggos-lol,0.9338683892691785
32,IDEA-CCNL/Taiyi-vit-87M-D,0.9359938484014343
33,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.9336556943129753
34,karthiksv/vit-base-beans,0.9328461752002268
35,Symbermine/rare-puppers,0.9359938484014343
36,nateraw/vit-base-patch16-224-cifar10,0.9252812322978079
37,gatecitypreservation/architectural_styles,0.9359938484014343
38,Amrrs/south-indian-foods,0.9359938484014343
39,hafidber/fruits,0.9359938484014343
40,nateraw/rare-puppers-123,0.9359938484014343
41,Aftabhussain/Tomato_Leaf_Classifier,0.9359938484014343
42,nickmuchi/vit-base-xray-pneumonia,0.9336556943129753
43,Neto71/sea_mammals,0.9359938484014343
44,lewtun/oz-fauna,0.9359938484014343
45,hgarg/fruits,0.9336556943129753
46,jasmeen/dogs,0.9329250583921581
47,b25mayank3/shirt_identifier,0.9333573120877854
48,jeffboudier/vision-transformers-spain-or-italy-fan,0.9305416683494824
49,facebook/convnext-base-224-22k,0.9271069634731058
50,nickmuchi/vit-finetuned-cats-dogs,0.9359938484014343
51,godiec/diam,0.9357308392930547
52,Rajaram1996/FacialEmoRecog,0.9299741972386962
53,nateraw/vit-base-beans-demo-v3,0.9359938484014343
54,firebolt/llama_or_what,0.9333573120877854
55,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.9338683892691785
56,johnnydevriese/vit_beans,0.9312552447896059
57,nateraw/vit-age-classifier,0.9247747598903738
58,nateraw/vit-base-beans-demo-v2,0.9359938484014343
59,mmekias/vit-base-beans,0.9338683892691785
60,juanfiguera/ice_cream,0.9359938484014343
61,drab/Infrastructures,0.9344420005953568
62,nateraw/vit-base-beans,0.9359938484014343
63,Sena/dog,0.9359938484014343
64,jaygala24/finetuned-vit-base-patch16-224-upside-down-detector,0.9346461507854836
65,hafidber/rare-puppers,0.9359938484014343
66,edixo/road_good_damaged_condition,0.9359938484014343
67,AykeeSalazar/vc-bantai-vit-withoutAMBI,0.9344362461013511
68,Sena/flowers,0.9359938484014343
69,matteopilotto/vit-base-patch16-224-in21k-snacks,0.9359938484014343
70,johnnydevriese/vit-airplanes,0.9359938484014343
71,nateraw/pasta-shapes,0.9344362461013511
72,mrm8488/vit-base-patch16-224_finetuned-pneumothorax,0.9359938484014343
73,hgarg/indian-snacks,0.9359938484014343
74,nateraw/vit-base-food101,0.9359938484014343
75,Hijazzi/rare-puppers,0.9359938484014343
76,nateraw/trainer-rare-puppers,0.9167757491016991
77,ibombonato/vit-age-classifier,0.9359938484014343
78,nateraw/rare-puppers-new-auth,0.9359938484014343
79,SriramSridhar78/sriram-car-classifier,0.9293867569150633
80,ismgar01/vit-base-cats-vs-dogs,0.9357308392930547
81,nateraw/rare-puppers,0.9357308392930547
82,iyzg/computer-stuff,0.9359938484014343
83,nateraw/huggingpics-package-demo-2,0.9359938484014343
84,imjeffhi/pokemon_classifier,0.9233299615021664
85,nateraw/pasta-pizza-ravioli,0.9359938484014343
86,akahana/vit-base-cats-vs-dogs,0.9161413675563462
