,model,score
0,google/vit-base-patch16-224,-0.19560289824476193
1,IDEA-CCNL/Taiyi-vit-87M-D,-0.19560289824476193
2,facebook/deit-base-patch16-224,-0.19560289824476193
3,facebook/deit-base-distilled-patch16-224,-0.0436380968495776
4,mrm8488/data2vec-base-finetuned-imagenet1k,-0.0948752062787103
5,facebook/convnext-base-224,0.017352369477125963
6,facebook/convnext-small-224,-0.07153722046856474
7,microsoft/swin-base-patch4-window7-224,0.04096841998996763
8,microsoft/beit-base-patch16-224,-0.19310048905034652
9,facebook/convnext-tiny-224,0.1679582669356149
10,Visual-Attention-Network/van-small,-0.17179903963219822
11,WinKawaks/vit-small-patch16-224,-0.29707446539665794
12,facebook/deit-small-distilled-patch16-224,-0.1720033643577244
13,Visual-Attention-Network/van-base,-0.062096469953219574
14,facebook/deit-small-patch16-224,-0.22888024481500532
15,microsoft/swin-small-patch4-window7-224,0.2075750576174309
16,Ahmed9275/ALL-3,-0.08074482517834942
17,facebook/convnext-large-224,1.335575467199364
18,WinKawaks/vit-tiny-patch16-224,-0.33866591908534427
19,Visual-Attention-Network/van-tiny,-0.21104021806168546
20,facebook/deit-tiny-distilled-patch16-224,-0.22636238980570103
21,Ahmed9275/ALL-test,-0.08074482517834942
22,facebook/deit-tiny-patch16-224,-0.3443767341759257
23,microsoft/swin-tiny-patch4-window7-224,1.369653020665485
24,Visual-Attention-Network/van-large,-0.05059789712866922
25,google/vit-base-patch32-384,-0.04529319224248441
26,facebook/convnext-base-224-22k-1k,1.6430378144027429
27,google/vit-large-patch32-384,-0.013512734935130898
28,microsoft/swin-large-patch4-window7-224,1.5990128036672133
29,lysandre/tiny-vit-random,-0.3543211604632245
30,facebook/convnext-large-224-22k-1k,0.12695502360947958
31,facebook/convnext-base-384,1.892139178980664
32,microsoft/beit-large-patch16-224,-0.08176248565265905
33,google/vit-large-patch16-224,-0.03485070514513133
34,facebook/convnext-large-384,1.9822627581450345
35,facebook/convnext-large-384-22k-1k,2.2992714977269784
36,nielsr/convnext-xlarge-224-22k-1k,2.2473177299108964
37,facebook/deit-base-patch16-384,-0.09742512653982688
38,google/vit-base-patch16-384,-0.09742512653982688
39,facebook/deit-base-distilled-patch16-384,0.02682941478670014
40,facebook/convnext-xlarge-224-22k-1k,2.647977690969243
41,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,-0.2085363952524695
42,karthiksv/vit-base-patch16-224-cifar10,-0.2085363952524695
43,nateraw/vit-base-patch16-224-cifar10,-0.2085363952524695
44,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,-0.19967786322310843
45,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,-0.2085363952524695
46,jadohu/BEiT-finetuned,-0.20343975985891544
47,nateraw/vit-base-beans-demo,-0.2674590682428807
48,nickmuchi/vit-base-beans,-0.2586005362135196
49,karthiksv/vit-base-beans,-0.2674590682428807
50,nateraw/vit-base-beans-demo-v3,-0.2674590682428807
51,johnnydevriese/vit_beans,-0.2674590682428807
52,nateraw/vit-base-beans-demo-v2,-0.2728483055018922
53,mmekias/vit-base-beans,-0.2586005362135196
54,nateraw/vit-base-beans,-0.2674590682428807
55,mrm8488/convnext-tiny-finetuned-beans,0.26357206863643173
56,nielsr/vit-finetuned-eurosat-kornia,-0.23055909789903076
