,model,score
0,google/vit-base-patch16-224,0.8338737162975104
1,IDEA-CCNL/Taiyi-vit-87M-D,0.8649580621867825
2,facebook/deit-base-patch16-224,0.8515025804695786
3,facebook/deit-base-distilled-patch16-224,0.8629132582804911
4,mrm8488/data2vec-base-finetuned-imagenet1k,0.8592656113703516
5,facebook/convnext-base-224,0.8864370577859687
6,facebook/convnext-small-224,0.8582861141246559
7,microsoft/swin-base-patch4-window7-224,0.8769455332487032
8,microsoft/beit-base-patch16-224,0.598782470039725
9,facebook/convnext-tiny-224,0.858619401776815
10,Visual-Attention-Network/van-small,0.8387544319818692
11,WinKawaks/vit-small-patch16-224,0.8380066319252262
12,facebook/deit-small-distilled-patch16-224,0.8475622390537458
13,Visual-Attention-Network/van-base,0.8672075708269759
14,facebook/deit-small-patch16-224,0.8391997461178822
15,microsoft/swin-small-patch4-window7-224,0.8603755213829389
16,Ahmed9275/ALL-3,0.8500962972262583
17,facebook/convnext-large-224,0.8868037224253658
18,WinKawaks/vit-tiny-patch16-224,0.810057866439293
19,Visual-Attention-Network/van-tiny,0.800809544469434
20,facebook/deit-tiny-distilled-patch16-224,0.7886789746013391
21,Ahmed9275/ALL-test,0.8500962972262583
22,facebook/deit-tiny-patch16-224,0.7558415320812992
23,microsoft/swin-tiny-patch4-window7-224,0.8384156050432
24,Visual-Attention-Network/van-large,0.8670982066638999
25,google/vit-base-patch32-384,0.8378918919386156
26,facebook/convnext-base-224-22k-1k,0.8839472920636422
27,google/vit-large-patch32-384,0.8681821533797389
28,microsoft/swin-large-patch4-window7-224,0.8764779701792552
29,lysandre/tiny-vit-random,0.28020393836975344
30,facebook/convnext-large-224-22k-1k,0.8855941937389116
31,facebook/convnext-base-384,0.8880087318947086
32,microsoft/resnet-50,0.8455293629513784
33,microsoft/beit-base-patch16-224-pt22k,0.6357215503849271
34,microsoft/beit-large-patch16-224,0.6634994737206175
35,google/vit-large-patch16-224,0.8729669693095361
36,facebook/convnext-large-384,0.8882887083391231
37,facebook/convnext-large-384-22k-1k,0.8882887083391231
38,nielsr/convnext-xlarge-224-22k-1k,0.8870609769831198
39,facebook/deit-base-patch16-384,0.8686175358205064
40,google/vit-base-patch16-384,0.8702840189673487
41,facebook/deit-base-distilled-patch16-384,0.8792269372939286
42,facebook/convnext-xlarge-224-22k-1k,0.8870609769831198
43,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.8678192107445128
44,karthiksv/vit-base-patch16-224-cifar10,0.8556273409711339
45,nateraw/vit-base-patch16-224-cifar10,0.841982182860327
46,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.8662176730867184
47,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.8573594480047012
