,model,score
0,google/vit-base-patch16-224,0.8565486170463172
1,IDEA-CCNL/Taiyi-vit-87M-D,0.8871101768400983
2,facebook/deit-base-patch16-224,0.8375936362849059
3,facebook/deit-base-distilled-patch16-224,0.8386646494588179
4,mrm8488/data2vec-base-finetuned-imagenet1k,0.8456881194054414
5,facebook/convnext-base-224,0.9004560975223357
6,facebook/convnext-small-224,0.8897213224832631
7,microsoft/swin-base-patch4-window7-224,0.8916001807850275
8,microsoft/beit-base-patch16-224,0.6052526674359539
9,facebook/convnext-tiny-224,0.8264549647310987
10,Visual-Attention-Network/van-small,0.8006096322403866
11,WinKawaks/vit-small-patch16-224,0.7973377849601527
12,facebook/deit-small-distilled-patch16-224,0.8020089669190754
13,Visual-Attention-Network/van-base,0.846044422439632
14,facebook/deit-small-patch16-224,0.8006096322403866
15,microsoft/swin-small-patch4-window7-224,0.8402589785764875
16,Ahmed9275/ALL-3,0.8103430059307231
17,facebook/convnext-large-224,0.9025227461342159
18,WinKawaks/vit-tiny-patch16-224,0.796286513689846
19,Visual-Attention-Network/van-tiny,0.7984896631567228
20,facebook/deit-tiny-distilled-patch16-224,0.7995583609700799
21,Ahmed9275/ALL-test,0.8085569009495296
22,facebook/deit-tiny-patch16-224,0.7926785093112251
23,microsoft/swin-tiny-patch4-window7-224,0.8110469780564142
24,Visual-Attention-Network/van-large,0.8461202716018954
25,google/vit-base-patch32-384,0.8590981864331992
26,facebook/convnext-base-224-22k-1k,0.9033499344413116
27,google/vit-large-patch32-384,0.8965821193691952
28,microsoft/swin-large-patch4-window7-224,0.8916523698832143
29,lysandre/tiny-vit-random,0.22965641012668542
30,facebook/convnext-large-224-22k-1k,0.9034683337825704
31,facebook/convnext-base-384,0.8652262318833184
32,microsoft/beit-large-patch16-224,0.5938882143696154
33,google/vit-large-patch16-224,0.8942562781660812
34,facebook/convnext-large-384,0.9053509828790867
35,facebook/convnext-large-384-22k-1k,0.9057321794932907
36,nielsr/convnext-xlarge-224-22k-1k,0.9026858715333504
37,facebook/deit-base-patch16-384,0.8498225094878846
38,google/vit-base-patch16-384,0.891186907611414
39,facebook/deit-base-distilled-patch16-384,0.8498225094878846
40,facebook/convnext-xlarge-224-22k-1k,0.9026858715333504
41,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.8574756042008719
42,karthiksv/vit-base-patch16-224-cifar10,0.9015233929043379
43,nateraw/vit-base-patch16-224-cifar10,0.8731856062462966
44,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.9075030852710048
45,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.8511672164945426
46,jadohu/BEiT-finetuned,0.6662449758839809
47,nateraw/vit-base-beans-demo,0.8085846313886184
48,nickmuchi/vit-base-beans,0.8485967667330243
49,karthiksv/vit-base-beans,0.8655134560291227
50,nateraw/vit-base-beans-demo-v3,0.8460486534662628
51,johnnydevriese/vit_beans,0.8100757252668345
52,nateraw/vit-base-beans-demo-v2,0.8073977782757273
53,mmekias/vit-base-beans,0.8988417985511397
54,nateraw/vit-base-beans,0.8635664187766688
55,mrm8488/convnext-tiny-finetuned-beans,0.8318441555721483
56,nielsr/vit-finetuned-eurosat-kornia,0.8420732556918702
57,mrm8488/convnext-tiny-finetuned-eurosat,0.8216665571497227
58,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,0.8216665571497227
59,Calin/convnext-tiny-finteuned-eurosat,0.8232046351873814
60,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,0.8218053005086925
61,nielsr/convnext-tiny-finetuned-eurostat,0.8218053005086925
62,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8128641337998296
63,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8127253904408598
64,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8127253904408598
65,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8127253904408598
66,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8127253904408598
67,nielsr/convnext-tiny-finetuned-eurosat,0.8420404183460289
68,nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,0.8127253904408598
69,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8086806008203599
70,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8086806008203599
71,nielsr/van-base-finetuned-eurosat-imgaug,0.8430022006665335
72,mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8086806008203599
73,jemole/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8086806008203599
74,guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8330283782266986
75,eren23/pneumonia_test_attempt,0.8534421119522674
76,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.8124232299067375
77,nickmuchi/vit-base-xray-pneumonia,0.8385620407480378
78,facebook/convnext-base-224-22k,0.9024627076548555
79,microsoft/swin-large-patch4-window7-224-in22k,0.8944430773567155
80,microsoft/swin-base-patch4-window7-224-in22k,0.8917745385823693
81,microsoft/beit-base-patch16-224-pt22k-ft22k,0.6692961692607312
82,facebook/convnext-large-224-22k,0.9036387922682284
83,facebook/convnext-xlarge-224-22k,0.9036387922682284
84,microsoft/swin-base-patch4-window12-384-in22k,0.8964764261024171
85,microsoft/beit-large-patch16-224-pt22k-ft22k,0.6695969037984152
86,nielsr/convnext-xlarge-224-22k,0.9022292878564835
87,nickmuchi/vit-finetuned-cats-dogs,0.854450857369271
88,ismgar01/vit-base-cats-vs-dogs,0.8201567949948331
89,akahana/vit-base-cats-vs-dogs,0.8523016571423045
90,nateraw/vit-base-cats-vs-dogs,0.8561681417432483
91,nateraw/test_model_a,0.20882946212343126
92,matteopilotto/vit-base-patch16-224-in21k-snacks,0.8491862948474973
93,Matthijs/snacks-classifier,0.8129026131239522
94,nateraw/vit-base-food101,0.8446218071866644
95,eslamxm/vit-base-food101,0.8365869734904372
96,SriramSridhar78/sriram-car-classifier,0.879930459277196
97,imjeffhi/pokemon_classifier,0.834763469115981
98,AkshatSurolia/ViT-FaceMask-Finetuned,0.8426353364669618
99,AkshatSurolia/BEiT-FaceMask-Finetuned,0.700990004870045
100,AkshatSurolia/DeiT-FaceMask-Finetuned,0.8492661797023306
101,Ahmed9275/Vit-Cifar100,0.9004360124477567
