,model,score
0,google/vit-base-patch16-224,0.8121150603198255
1,IDEA-CCNL/Taiyi-vit-87M-D,0.8124044835483598
2,facebook/deit-base-patch16-224,0.8216717731027326
3,facebook/deit-base-distilled-patch16-224,0.8325612227766662
4,mrm8488/data2vec-base-finetuned-imagenet1k,0.8113475100930119
5,facebook/convnext-base-224,0.8307179396467328
6,facebook/convnext-small-224,0.8295116482168514
7,microsoft/swin-base-patch4-window7-224,0.8200729188241922
8,microsoft/beit-base-patch16-224,0.6643270750592077
9,facebook/convnext-tiny-224,0.8082736850858605
10,Visual-Attention-Network/van-small,0.8181806933990359
11,WinKawaks/vit-small-patch16-224,0.812923211438134
12,facebook/deit-small-distilled-patch16-224,0.8115795572134802
13,Visual-Attention-Network/van-base,0.8187384703667904
14,facebook/deit-small-patch16-224,0.8186015864992464
15,microsoft/swin-small-patch4-window7-224,0.8183479827813449
16,Ahmed9275/ALL-3,0.8194485732087295
17,facebook/convnext-large-224,0.8256808542744831
18,WinKawaks/vit-tiny-patch16-224,0.782314330600849
19,Visual-Attention-Network/van-tiny,0.7900783464225372
20,facebook/deit-tiny-distilled-patch16-224,0.8014004604579807
21,Ahmed9275/ALL-test,0.8217793846028953
22,facebook/deit-tiny-patch16-224,0.7902824526878716
23,microsoft/swin-tiny-patch4-window7-224,0.8086429197409799
24,Visual-Attention-Network/van-large,0.8115247410530546
25,google/vit-base-patch32-384,0.8187328128265899
26,facebook/convnext-base-224-22k-1k,0.8330638506521786
27,google/vit-large-patch32-384,0.819226320674768
28,microsoft/swin-large-patch4-window7-224,0.8290188885873354
29,lysandre/tiny-vit-random,0.2997117162730798
30,facebook/convnext-large-224-22k-1k,0.8329599998025212
31,facebook/convnext-base-384,0.8435898513088524
32,microsoft/resnet-50,0.7901900861797755
33,microsoft/beit-base-patch16-224-pt22k,0.6901687920945291
34,microsoft/beit-large-patch16-224,0.6893409936616446
35,google/vit-large-patch16-224,0.8155398150819251
36,facebook/convnext-large-384,0.8326519146440639
37,facebook/convnext-large-384-22k-1k,0.832042734818011
38,nielsr/convnext-xlarge-224-22k-1k,0.8250241850426994
39,facebook/deit-base-patch16-384,0.8357583652970455
40,google/vit-base-patch16-384,0.837951981269005
41,facebook/deit-base-distilled-patch16-384,0.834288516737925
42,facebook/convnext-xlarge-224-22k-1k,0.843816444628454
43,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.8234676893395246
44,karthiksv/vit-base-patch16-224-cifar10,0.8145533029202666
45,nateraw/vit-base-patch16-224-cifar10,0.810684979198406
46,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.8185679474401337
47,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.8130909149647709
48,jadohu/BEiT-finetuned,0.7155066749000504
49,tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,0.8208465516806394
50,nateraw/vit-base-beans-demo,0.8030543016387061
51,nickmuchi/vit-base-beans,0.817276968431226
52,karthiksv/vit-base-beans,0.8193708499429762
53,nateraw/vit-base-beans-demo-v3,0.8132606010845039
54,johnnydevriese/vit_beans,0.8095357341825866
55,nateraw/vit-base-beans-demo-v2,0.8192291915140548
56,mmekias/vit-base-beans,0.8120593686513999
57,nateraw/vit-base-beans,0.8190979680027867
58,mrm8488/convnext-tiny-finetuned-beans,0.8137108250458078
59,nielsr/vit-finetuned-eurosat-kornia,0.8101496727642217
60,mrm8488/convnext-tiny-finetuned-eurosat,0.8125174577504753
61,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,0.8061537282683142
62,Calin/convnext-tiny-finteuned-eurosat,0.8141763361052528
63,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,0.8133579722174689
64,nielsr/convnext-tiny-finetuned-eurostat,0.8151173494656974
65,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8147493464258505
66,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8190464042263838
67,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8124683367594919
68,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8191571805205103
69,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8112842555636309
70,nielsr/convnext-tiny-finetuned-eurosat,0.8130618532666357
71,nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,0.8068766670916897
72,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8109831550146203
73,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8085409993229016
74,nielsr/van-base-finetuned-eurosat-imgaug,0.8256070649986555
75,mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7971539945292619
76,jemole/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8053592979722336
77,guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8108576057384103
78,eren23/pneumonia_test_attempt,0.8192720571495112
79,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.8073722494494072
80,nickmuchi/vit-base-xray-pneumonia,0.8185339856933258
81,facebook/convnext-base-224-22k,0.8402953664670838
82,microsoft/swin-large-patch4-window7-224-in22k,0.8353959174556713
83,microsoft/swin-base-patch4-window7-224-in22k,0.8370610218635685
84,microsoft/beit-base-patch16-224-pt22k-ft22k,0.7435523937510666
85,facebook/convnext-large-224-22k,0.8317900609162884
86,facebook/convnext-xlarge-224-22k,0.8420877568540268
87,microsoft/swin-base-patch4-window12-384-in22k,0.854507827133142
88,microsoft/beit-large-patch16-224-pt22k-ft22k,0.7348844726961393
89,nielsr/convnext-xlarge-224-22k,0.8314608995567225
90,nickmuchi/vit-finetuned-cats-dogs,0.8139326157837091
91,ismgar01/vit-base-cats-vs-dogs,0.8091377696074156
92,akahana/vit-base-cats-vs-dogs,0.8178355304238556
93,nateraw/vit-base-cats-vs-dogs,0.8179469020212354
94,nateraw/test_model_a,0.18680186549747982
95,matteopilotto/vit-base-patch16-224-in21k-snacks,0.8119605097863226
96,Matthijs/snacks-classifier,0.8130144341907467
97,nateraw/vit-base-food101,0.8203061684738061
98,eslamxm/vit-base-food101,0.8070690676354837
99,SriramSridhar78/sriram-car-classifier,0.81244209692893
100,imjeffhi/pokemon_classifier,0.8200558160711305
101,AkshatSurolia/ViT-FaceMask-Finetuned,0.802296280645546
102,AkshatSurolia/BEiT-FaceMask-Finetuned,0.5967575940721718
103,AkshatSurolia/DeiT-FaceMask-Finetuned,0.8116955218496952
104,Ahmed9275/Vit-Cifar100,0.8076809400661543
