,model,score
0,firebolt/llama_or_what2,0.8961313552095644
1,google/vit-base-patch16-224,0.9005382526927648
2,nateraw/denver-nyc-paris,0.8901829431160384
3,black/simple_kitchen,0.879375413836392
4,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.8974862499974647
5,Suzana/new-york-tokyo-london,0.8973579540987313
6,filipafcastro/beer_vs_wine,0.8585001743398598
7,nateraw/baked-goods,0.8785067898070481
8,ajanco/greens,0.8824489072855743
9,nateraw/vit-base-beans-demo,0.880420134910684
10,HHousen/household-rooms,0.897279234356509
11,Amrrs/indian-foods,0.9006735617939462
12,nateraw/planes-trains-automobiles,0.8869430301494754
13,julien-c/hotdog-not-hotdog,0.893333879389029
14,jmarshall/rare-puppers,0.8909018657560022
15,nielsr/vit-finetuned-eurosat-kornia,0.893743338568991
16,eren23/pneumonia_test_attempt,0.8869493339296457
17,micole66/dwarf-goats,0.8903801772488442
18,nateraw/ex-for-evan,0.8909706840229474
19,karthiksv/vit-base-patch16-224-cifar10,0.8989665284077529
20,ferdinand/rare-puppers,0.8855494292740468
21,ipvikas/rare-puppers,0.8793400421592206
22,Frodnar/bee-likes,0.8821678616595285
23,nickmuchi/vit-base-beans,0.8786724405439288
24,nateraw/baseball-stadium-foods,0.897055482303399
25,Giuliano/places,0.8917776682233218
26,firas-spanioli/beer-whisky-wine-detection,0.8907127132704636
27,jjhoffstein/lotr,0.8932103943375167
28,Nonem100/Test-Model,0.8950338620556753
29,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,0.8892547789856675
30,LorenzoDeMattei/lawn-weeds,0.8879737422327715
31,nateraw/doggos-lol,0.8904556455632046
32,IDEA-CCNL/Taiyi-vit-87M-D,0.888821335258331
33,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.8947477097909965
34,karthiksv/vit-base-beans,0.8864291351528868
35,Symbermine/rare-puppers,0.8927434905560705
36,nateraw/vit-base-patch16-224-cifar10,0.8925616122672451
37,gatecitypreservation/architectural_styles,0.8930538493148721
38,Amrrs/south-indian-foods,0.8962875029134584
39,hafidber/fruits,0.8979688292358503
40,nateraw/rare-puppers-123,0.8830893740929031
41,Aftabhussain/Tomato_Leaf_Classifier,0.8933811631788805
42,nickmuchi/vit-base-xray-pneumonia,0.888231328738933
43,Neto71/sea_mammals,0.8952955797970656
44,lewtun/oz-fauna,0.8856425016110007
45,hgarg/fruits,0.8940121671988528
46,jasmeen/dogs,0.8864486587926068
47,b25mayank3/shirt_identifier,0.896617778610617
48,jeffboudier/vision-transformers-spain-or-italy-fan,0.8969411818260725
49,facebook/convnext-base-224-22k,0.8687845653684372
50,nickmuchi/vit-finetuned-cats-dogs,0.8768193562598775
51,godiec/diam,0.8899570155184872
52,Rajaram1996/FacialEmoRecog,0.8917031267156662
53,nateraw/vit-base-beans-demo-v3,0.8872782777301543
54,firebolt/llama_or_what,0.8846828002331619
55,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.8751160519725752
56,johnnydevriese/vit_beans,0.8876203446055041
57,nateraw/vit-age-classifier,0.8825478272621151
58,nateraw/vit-base-beans-demo-v2,0.8866069914077224
59,mmekias/vit-base-beans,0.8699977571812415
60,juanfiguera/ice_cream,0.8834890008537836
61,drab/Infrastructures,0.8761402471782794
62,nateraw/vit-base-beans,0.8841816805456569
63,Sena/dog,0.8918690255959941
64,jaygala24/finetuned-vit-base-patch16-224-upside-down-detector,0.8879593552137721
65,hafidber/rare-puppers,0.8903483442751389
66,edixo/road_good_damaged_condition,0.8711009662384221
67,AykeeSalazar/vc-bantai-vit-withoutAMBI,0.8903974620358044
68,Sena/flowers,0.8819270495901881
69,matteopilotto/vit-base-patch16-224-in21k-snacks,0.8752352624557865
70,johnnydevriese/vit-airplanes,0.8813856144683272
71,nateraw/pasta-shapes,0.8851454072137098
72,mrm8488/vit-base-patch16-224_finetuned-pneumothorax,0.8897674390993504
73,hgarg/indian-snacks,0.8967800698762141
74,nateraw/vit-base-food101,0.894398687804926
75,Hijazzi/rare-puppers,0.8905744352246837
