,model,score
0,google/vit-base-patch16-224,0.49592695094525285
1,IDEA-CCNL/Taiyi-vit-87M-D,0.4735968680385201
2,facebook/deit-base-patch16-224,0.49540631109267663
3,facebook/deit-base-distilled-patch16-224,0.47150068706359577
4,mrm8488/data2vec-base-finetuned-imagenet1k,0.467198567517382
5,facebook/convnext-base-224,0.4861570885325486
6,facebook/convnext-small-224,0.49675367074464416
7,microsoft/swin-base-patch4-window7-224,0.4963457272488807
8,microsoft/beit-base-patch16-224,0.4772107988026296
9,facebook/convnext-tiny-224,0.5027242372487428
10,Visual-Attention-Network/van-small,0.495498957916575
11,WinKawaks/vit-small-patch16-224,0.4713353760993209
12,facebook/deit-small-distilled-patch16-224,0.42418091452431084
13,Visual-Attention-Network/van-base,0.49775742650000127
14,facebook/deit-small-patch16-224,0.46962228762189917
15,microsoft/swin-small-patch4-window7-224,0.5016564670817187
16,Ahmed9275/ALL-3,0.47538971474086905
17,facebook/convnext-large-224,0.5102317706810092
18,WinKawaks/vit-tiny-patch16-224,0.4554759860893071
19,Visual-Attention-Network/van-tiny,0.46427152346075545
20,facebook/deit-tiny-distilled-patch16-224,0.44781693390011107
21,Ahmed9275/ALL-test,0.4764046251599137
22,facebook/deit-tiny-patch16-224,0.47830217756989557
23,microsoft/swin-tiny-patch4-window7-224,0.4981679292150545
24,Visual-Attention-Network/van-large,0.4959437477986148
25,google/vit-base-patch32-384,0.49029515932792056
26,facebook/convnext-base-224-22k-1k,0.5134781390508115
27,google/vit-large-patch32-384,0.503370165294085
28,microsoft/swin-large-patch4-window7-224,0.48636396050963776
29,lysandre/tiny-vit-random,0.43445500067617826
30,facebook/convnext-large-224-22k-1k,0.526168680398925
31,facebook/convnext-base-384,0.5133513955569527
32,microsoft/beit-large-patch16-224,0.4811749447313555
33,google/vit-large-patch16-224,0.4980047534943064
34,facebook/convnext-large-384,0.5088923725340202
35,facebook/convnext-large-384-22k-1k,0.528342200091954
36,nielsr/convnext-xlarge-224-22k-1k,0.6086227696757684
37,facebook/deit-base-patch16-384,0.4817457278093494
38,google/vit-base-patch16-384,0.48772094075198735
39,facebook/deit-base-distilled-patch16-384,0.4868990986236982
40,facebook/convnext-xlarge-224-22k-1k,0.6000999421849542
41,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.5213140176093133
42,karthiksv/vit-base-patch16-224-cifar10,0.503730984095377
43,nateraw/vit-base-patch16-224-cifar10,0.4897062531880244
44,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.5035603993752161
45,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.4912389357990154
46,jadohu/BEiT-finetuned,0.4962005082658705
47,nateraw/vit-base-beans-demo,0.4926112952217175
48,nickmuchi/vit-base-beans,0.47826525024626554
49,karthiksv/vit-base-beans,0.5090637558388902
50,nateraw/vit-base-beans-demo-v3,0.4833407241059279
51,johnnydevriese/vit_beans,0.4710086281879927
52,nateraw/vit-base-beans-demo-v2,0.48690807700701705
53,mmekias/vit-base-beans,0.4968098970317659
54,nateraw/vit-base-beans,0.4921898666074679
55,mrm8488/convnext-tiny-finetuned-beans,0.4996098612724109
56,nielsr/vit-finetuned-eurosat-kornia,0.5100323597619072
57,mrm8488/convnext-tiny-finetuned-eurosat,0.5219087705367632
58,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,0.5166926414001078
59,Calin/convnext-tiny-finteuned-eurosat,0.5168321066839792
60,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,0.5140002242098833
61,nielsr/convnext-tiny-finetuned-eurostat,0.5029852116231346
62,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,0.504415943939036
63,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,0.5068597721408212
64,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,0.5074620077043078
65,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,0.5128650618556617
66,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,0.5136464518839434
67,nielsr/convnext-tiny-finetuned-eurosat,0.5308802401483416
68,nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,0.5127308872907931
69,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,0.5144884030416103
70,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,0.5146767110705465
71,nielsr/van-base-finetuned-eurosat-imgaug,0.5050988647989458
72,mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,0.5075883624618754
73,jemole/swin-tiny-patch4-window7-224-finetuned-eurosat,0.5139739243887145
74,guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,0.5128515736537249
75,eren23/pneumonia_test_attempt,0.4875046066071882
76,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.48973170904081714
77,nickmuchi/vit-base-xray-pneumonia,0.47820815523102334
78,facebook/convnext-base-224-22k,0.5148474363926251
79,microsoft/swin-large-patch4-window7-224-in22k,0.519043372498006
80,microsoft/swin-base-patch4-window7-224-in22k,0.5068072915287786
81,microsoft/beit-base-patch16-224-pt22k-ft22k,0.47352227819247295
82,facebook/convnext-large-224-22k,0.5194983894084807
83,facebook/convnext-xlarge-224-22k,0.5939558900430155
84,microsoft/swin-base-patch4-window12-384-in22k,0.4877792872966707
85,microsoft/beit-large-patch16-224-pt22k-ft22k,0.4559367463120045
86,nielsr/convnext-xlarge-224-22k,0.5882438120747353
87,nickmuchi/vit-finetuned-cats-dogs,0.4978857256524962
88,ismgar01/vit-base-cats-vs-dogs,0.4804217442510841
89,akahana/vit-base-cats-vs-dogs,0.4816623251406996
90,nateraw/vit-base-cats-vs-dogs,0.47173506660677134
91,nateraw/test_model_a,0.4278981482686721
92,matteopilotto/vit-base-patch16-224-in21k-snacks,0.4981196860924647
93,Matthijs/snacks-classifier,0.5121173324783891
94,nateraw/vit-base-food101,0.495837061021992
95,eslamxm/vit-base-food101,0.49923014184714615
96,SriramSridhar78/sriram-car-classifier,0.5041578159864186
97,imjeffhi/pokemon_classifier,0.49399704753691054
98,AkshatSurolia/ViT-FaceMask-Finetuned,0.48306687394954545
99,AkshatSurolia/BEiT-FaceMask-Finetuned,0.4725957890355019
100,AkshatSurolia/DeiT-FaceMask-Finetuned,0.4905268670313498
101,Ahmed9275/Vit-Cifar100,0.5413129965515373
