,model,score
0,nateraw/test_model_a,0.0026213081866263287
1,nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,0.8367949810289994
2,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8679466940453735
3,nateraw/denver-nyc-paris,0.8807948422068441
4,Amrrs/indian-foods,0.8814516875142645
5,julien-c/hotdog-not-hotdog,0.8715839342751422
6,Frodnar/bee-likes,0.8655967780456949
7,hafidber/fruits,0.8687650998444023
8,godiec/diam,0.8741589021977747
9,Hijazzi/rare-puppers,0.8605958639320045
10,iyzg/computer-stuff,0.8681128930845067
11,mrm8488/data2vec-base-finetuned-imagenet1k,0.8383366563415566
12,facebook/deit-base-patch16-384,0.9396320915696585
13,microsoft/beit-large-patch16-224,0.6163613690334975
14,facebook/convnext-base-224-22k,0.9059008694727819
15,microsoft/swin-base-patch4-window7-224-in22k,0.9115936735542409
16,facebook/convnext-xlarge-224-22k,0.9452789748915759
