,model,score
0,firebolt/llama_or_what2,0.8197082092489768
1,google/vit-base-patch16-224,0.8306570611206606
2,nateraw/denver-nyc-paris,0.8188115088624314
3,black/simple_kitchen,0.8266213687875221
4,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.8301665387191494
5,Suzana/new-york-tokyo-london,0.8257068319495103
6,filipafcastro/beer_vs_wine,0.8173343534803097
7,nateraw/baked-goods,0.8322927220214198
8,ajanco/greens,0.823091849287218
9,nateraw/vit-base-beans-demo,0.8166103086151694
10,HHousen/household-rooms,0.8204886558092142
11,Amrrs/indian-foods,0.8190916352585356
12,nateraw/planes-trains-automobiles,0.8232588131253017
13,julien-c/hotdog-not-hotdog,0.8305261756637647
14,jmarshall/rare-puppers,0.8192656075569752
15,nielsr/vit-finetuned-eurosat-kornia,0.8184783910758228
16,eren23/pneumonia_test_attempt,0.8349247335959954
17,micole66/dwarf-goats,0.8284242240153432
18,nateraw/ex-for-evan,0.8168217899011898
19,karthiksv/vit-base-patch16-224-cifar10,0.8292199606690633
20,ferdinand/rare-puppers,0.8195921918183585
21,ipvikas/rare-puppers,0.8232704066105931
22,Frodnar/bee-likes,0.8216920198964165
23,nickmuchi/vit-base-beans,0.8293900193762006
24,nateraw/baseball-stadium-foods,0.8237656184822373
25,Giuliano/places,0.8281851670457036
26,firas-spanioli/beer-whisky-wine-detection,0.8251123262505142
27,jjhoffstein/lotr,0.8211111639736961
28,Nonem100/Test-Model,0.8194161004574295
29,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,0.8149129929839802
30,LorenzoDeMattei/lawn-weeds,0.817376777602642
31,nateraw/doggos-lol,0.804486983052213
32,IDEA-CCNL/Taiyi-vit-87M-D,0.8366661338006177
33,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.8193650747380881
34,karthiksv/vit-base-beans,0.8205497683451756
35,Symbermine/rare-puppers,0.8267884070032188
36,nateraw/vit-base-patch16-224-cifar10,0.8229723317005037
37,gatecitypreservation/architectural_styles,0.8268215264540675
38,Amrrs/south-indian-foods,0.8199107949045521
39,hafidber/fruits,0.8111421715177839
40,nateraw/rare-puppers-123,0.8171154715768004
41,Aftabhussain/Tomato_Leaf_Classifier,0.8244218871172875
42,nickmuchi/vit-base-xray-pneumonia,0.8223161344414216
43,Neto71/sea_mammals,0.8337815182400129
44,lewtun/oz-fauna,0.8223125178049969
45,hgarg/fruits,0.8288368009648158
46,jasmeen/dogs,0.8161469940953446
47,b25mayank3/shirt_identifier,0.8281717661970169
48,jeffboudier/vision-transformers-spain-or-italy-fan,0.8259033555918792
49,facebook/convnext-base-224-22k,0.8504280316836881
50,nickmuchi/vit-finetuned-cats-dogs,0.8069389916721385
51,godiec/diam,0.8209484097339902
52,Rajaram1996/FacialEmoRecog,0.8200485507402354
53,nateraw/vit-base-beans-demo-v3,0.8233294936059046
54,firebolt/llama_or_what,0.8271281423715143
55,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.8247988168751931
56,johnnydevriese/vit_beans,0.8162331731936426
57,nateraw/vit-age-classifier,0.8208892017537539
58,nateraw/vit-base-beans-demo-v2,0.8180182550986567
59,mmekias/vit-base-beans,0.8369988246146677
60,juanfiguera/ice_cream,0.8244467036175093
61,drab/Infrastructures,0.8288325429007272
62,nateraw/vit-base-beans,0.8180089407482192
63,Sena/dog,0.8304168849565174
64,jaygala24/finetuned-vit-base-patch16-224-upside-down-detector,0.8190649699763434
65,hafidber/rare-puppers,0.8252543907139415
66,edixo/road_good_damaged_condition,0.8164318414615238
67,AykeeSalazar/vc-bantai-vit-withoutAMBI,0.8268050623132436
68,Sena/flowers,0.8198716704710997
69,matteopilotto/vit-base-patch16-224-in21k-snacks,0.8281173596141181
70,johnnydevriese/vit-airplanes,0.8212672892170575
71,nateraw/pasta-shapes,0.8223106424327571
72,mrm8488/vit-base-patch16-224_finetuned-pneumothorax,0.8191201247641877
73,hgarg/indian-snacks,0.828782091442887
74,nateraw/vit-base-food101,0.82571108824462
75,Hijazzi/rare-puppers,0.8161823748365336
76,nateraw/trainer-rare-puppers,0.8031014725840571
77,ibombonato/vit-age-classifier,0.8235980485119329
78,nateraw/rare-puppers-new-auth,0.8311364947357134
79,SriramSridhar78/sriram-car-classifier,0.8280982331646487
80,ismgar01/vit-base-cats-vs-dogs,0.8180158769744
81,nateraw/rare-puppers,0.8353982922702557
82,iyzg/computer-stuff,0.8295062608904864
83,nateraw/huggingpics-package-demo-2,0.8091571115596702
84,imjeffhi/pokemon_classifier,0.8261561746335687
85,nateraw/pasta-pizza-ravioli,0.8214484184122004
86,akahana/vit-base-cats-vs-dogs,0.8219790563744018
87,nateraw/donut-or-bagel,0.8328789315843688
88,nateraw/rare-puppers-09-04-2021,0.8236437114895585
89,nateraw/vit-base-cats-vs-dogs,0.8269462455682266
90,Zayn/VIT_Basic,0.8285121495509506
91,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.8171867578285997
92,AkshatSurolia/ViT-FaceMask-Finetuned,0.8112022020224829
93,microsoft/swin-large-patch4-window7-224-in22k,0.8602798017498895
94,Ahmed9275/Vit-Cifar100,0.818144328910472
95,driboune/skin_type,0.8374142386684769
96,microsoft/swin-base-patch4-window7-224-in22k,0.8492396548837108
97,facebook/deit-base-patch16-224,0.8389417805141487
98,facebook/deit-base-distilled-patch16-224,0.8461815320395978
99,eslamxm/vit-base-food101,0.8205761059033887
100,mrm8488/data2vec-base-finetuned-imagenet1k,0.8295854350364322
101,facebook/convnext-base-224,0.8390160429233796
102,facebook/convnext-small-224,0.8239092666011865
103,microsoft/swin-base-patch4-window7-224,0.8456479975848624
104,microsoft/beit-base-patch16-224,0.6964990608957939
105,mrm8488/convnext-tiny-finetuned-eurosat,0.8262934356351411
106,mrm8488/convnext-tiny-finetuned-beans,0.8241130180980423
107,facebook/convnext-tiny-224,0.8169047777514196
