,model,score
0,google/vit-base-patch16-224,0.8163001451900471
1,IDEA-CCNL/Taiyi-vit-87M-D,0.8318767676938381
2,facebook/deit-base-patch16-224,0.8293841094977056
3,facebook/deit-base-distilled-patch16-224,0.8331615373049804
4,mrm8488/data2vec-base-finetuned-imagenet1k,0.8070165372245479
5,facebook/convnext-base-224,0.8311882665414495
6,facebook/convnext-small-224,0.8220971524849471
7,microsoft/swin-base-patch4-window7-224,0.8340641792012292
8,microsoft/beit-base-patch16-224,0.7118081919283522
9,facebook/convnext-tiny-224,0.8306807282656521
10,Visual-Attention-Network/van-small,0.8119753061375818
11,WinKawaks/vit-small-patch16-224,0.8118485576683395
12,facebook/deit-small-distilled-patch16-224,0.8137423978330308
13,Visual-Attention-Network/van-base,0.8250823521556774
14,facebook/deit-small-patch16-224,0.8149915830945169
15,microsoft/swin-small-patch4-window7-224,0.819958272695832
16,Ahmed9275/ALL-3,0.8113968205887244
17,facebook/convnext-large-224,0.8330893397105457
18,WinKawaks/vit-tiny-patch16-224,0.7883427600564645
19,Visual-Attention-Network/van-tiny,0.8087741178073968
20,facebook/deit-tiny-distilled-patch16-224,0.7996061663880529
21,Ahmed9275/ALL-test,0.8146502410965968
22,facebook/deit-tiny-patch16-224,0.7872459105053744
23,microsoft/swin-tiny-patch4-window7-224,0.819282002269218
24,Visual-Attention-Network/van-large,0.8298473101676501
25,google/vit-base-patch32-384,0.8281649669762746
26,facebook/convnext-base-224-22k-1k,0.8318707097071641
27,google/vit-large-patch32-384,0.8266723025912891
28,microsoft/swin-large-patch4-window7-224,0.8435512179430986
29,lysandre/tiny-vit-random,0.1624997074481322
30,facebook/convnext-large-224-22k-1k,0.8417000169716176
31,facebook/convnext-base-384,0.8319651027002435
32,microsoft/resnet-50,0.7949923103861264
33,microsoft/beit-base-patch16-224-pt22k,0.7078741548363746
34,microsoft/beit-large-patch16-224,0.7027921087541046
35,google/vit-large-patch16-224,0.8316618294409774
36,facebook/convnext-large-384,0.8283287908129188
37,facebook/convnext-large-384-22k-1k,0.8323917037409164
38,nielsr/convnext-xlarge-224-22k-1k,0.8322115443731097
39,facebook/deit-base-patch16-384,0.8429683104281761
40,google/vit-base-patch16-384,0.8336780852218999
41,facebook/deit-base-distilled-patch16-384,0.842929477396265
42,facebook/convnext-xlarge-224-22k-1k,0.838878065169864
43,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.8212161760240037
44,karthiksv/vit-base-patch16-224-cifar10,0.8179002888100578
45,nateraw/vit-base-patch16-224-cifar10,0.8219316529283368
46,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.8235783780858781
47,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.8317289658406757
48,jadohu/BEiT-finetuned,0.7313766143618252
49,tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,0.8256118351451207
50,nateraw/vit-base-beans-demo,0.8233581084850542
51,nickmuchi/vit-base-beans,0.8190364888135205
52,karthiksv/vit-base-beans,0.8200502205867594
53,nateraw/vit-base-beans-demo-v3,0.8150287915020915
54,johnnydevriese/vit_beans,0.8228694738913098
55,nateraw/vit-base-beans-demo-v2,0.8087656829316688
56,mmekias/vit-base-beans,0.826980535612762
57,nateraw/vit-base-beans,0.819225209914244
58,mrm8488/convnext-tiny-finetuned-beans,0.822568465983962
59,nielsr/vit-finetuned-eurosat-kornia,0.8161848829569378
60,mrm8488/convnext-tiny-finetuned-eurosat,0.8269696116727228
61,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,0.8233747074958206
62,Calin/convnext-tiny-finteuned-eurosat,0.8256591640881916
63,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,0.8287007127021666
64,nielsr/convnext-tiny-finetuned-eurostat,0.8238540127689629
65,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8100390202637066
66,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8217258097809789
67,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8061021066698352
68,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8187699466502949
69,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8158840960514223
70,nielsr/convnext-tiny-finetuned-eurosat,0.8224504115736165
71,nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,0.8058534197814502
72,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,0.813909302388904
73,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8270439293776327
74,nielsr/van-base-finetuned-eurosat-imgaug,0.8201983669759733
75,mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8158849506341573
76,jemole/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8234711070928102
77,guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8203359643472357
78,eren23/pneumonia_test_attempt,0.8179961582055794
79,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.823893921813154
80,nickmuchi/vit-base-xray-pneumonia,0.8175843068170007
