,model,score
0,firebolt/llama_or_what2,0.7959987564370958
1,google/vit-base-patch16-224,0.8041600856607051
2,nateraw/denver-nyc-paris,0.796734324302305
3,black/simple_kitchen,0.891099975815665
4,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.8927251541130226
5,Suzana/new-york-tokyo-london,0.890917700510728
6,filipafcastro/beer_vs_wine,0.7931181905025801
7,nateraw/baked-goods,0.8905014763374204
8,ajanco/greens,0.8038667448725844
9,nateraw/vit-base-beans-demo,0.7926204043173979
10,HHousen/household-rooms,0.8004719097395763
11,Amrrs/indian-foods,0.7977547552059763
12,nateraw/planes-trains-automobiles,0.7942162871252282
13,julien-c/hotdog-not-hotdog,0.8885939463042525
14,jmarshall/rare-puppers,0.8914537748843929
15,nielsr/vit-finetuned-eurosat-kornia,0.8915737382095267
16,eren23/pneumonia_test_attempt,0.8881963987725304
17,micole66/dwarf-goats,0.8804039655224176
18,nateraw/ex-for-evan,0.7943182660443793
19,karthiksv/vit-base-patch16-224-cifar10,0.89156263809245
20,ferdinand/rare-puppers,0.8038542477429299
21,ipvikas/rare-puppers,0.7940171697687048
22,Frodnar/bee-likes,0.796734324302305
23,nickmuchi/vit-base-beans,0.8900910034882306
24,nateraw/baseball-stadium-foods,0.8008881339128839
25,Giuliano/places,0.8916528922409163
26,firas-spanioli/beer-whisky-wine-detection,0.8916528922409163
27,jjhoffstein/lotr,0.8857487341428325
28,Nonem100/Test-Model,0.8893715164648792
29,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,0.7943182660443793
30,LorenzoDeMattei/lawn-weeds,0.7936212274622246
31,nateraw/doggos-lol,0.7936212274622246
32,IDEA-CCNL/Taiyi-vit-87M-D,0.8838749376657699
33,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.7915223076947497
34,karthiksv/vit-base-beans,0.7951384414944747
35,Symbermine/rare-puppers,0.887618123485502
36,nateraw/vit-base-patch16-224-cifar10,0.8035144388972516
37,gatecitypreservation/architectural_styles,0.8899700159431237
38,Amrrs/south-indian-foods,0.8004719097395763
39,hafidber/fruits,0.7979538725624995
40,nateraw/rare-puppers-123,0.7942162871252282
41,Aftabhussain/Tomato_Leaf_Classifier,0.7931181905025801
42,nickmuchi/vit-base-xray-pneumonia,0.8869347018397983
43,Neto71/sea_mammals,0.8905014763374204
44,lewtun/oz-fauna,0.889382616581956
45,hgarg/fruits,0.8905340324854518
46,jasmeen/dogs,0.8916528922409163
47,b25mayank3/shirt_identifier,0.8902013280442201
48,jeffboudier/vision-transformers-spain-or-italy-fan,0.8892665969838413
49,facebook/convnext-base-224-22k,0.9284483095595004
50,nickmuchi/vit-finetuned-cats-dogs,0.7945555880892841
51,godiec/diam,0.7943182660443793
52,Rajaram1996/FacialEmoRecog,0.8797170325727441
53,nateraw/vit-base-beans-demo-v3,0.8811291911146472
54,firebolt/llama_or_what,0.8793687339021026
55,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.8936731827554203
56,johnnydevriese/vit_beans,0.7951384414944747
57,nateraw/vit-age-classifier,0.8000291953384155
58,nateraw/vit-base-beans-demo-v2,0.7926204043173979
59,mmekias/vit-base-beans,0.8894913021004711
60,juanfiguera/ice_cream,0.8850231149493963
61,drab/Infrastructures,0.8935098742830195
62,nateraw/vit-base-beans,0.7924212869608747
63,Sena/dog,0.8914426747673161
64,jaygala24/finetuned-vit-base-patch16-224-upside-down-detector,0.7958353450361801
65,hafidber/rare-puppers,0.8914537748843929
66,edixo/road_good_damaged_condition,0.889620396052569
67,AykeeSalazar/vc-bantai-vit-withoutAMBI,0.8914537748843929
68,Sena/flowers,0.8899811160602006
69,matteopilotto/vit-base-patch16-224-in21k-snacks,0.8903495629619337
70,johnnydevriese/vit-airplanes,0.8916528922409163
71,nateraw/pasta-shapes,0.8887369832409664
72,mrm8488/vit-base-patch16-224_finetuned-pneumothorax,0.7958353450361801
73,hgarg/indian-snacks,0.8899700159431237
74,nateraw/vit-base-food101,0.8923117486482619
75,Hijazzi/rare-puppers,0.8916417921238394
76,nateraw/trainer-rare-puppers,0.796734324302305
77,ibombonato/vit-age-classifier,0.8810500370832577
78,nateraw/rare-puppers-new-auth,0.8929535180425272
79,SriramSridhar78/sriram-car-classifier,0.8800456541582817
80,ismgar01/vit-base-cats-vs-dogs,0.7945555880892841
81,nateraw/rare-puppers,0.8935532194302864
82,iyzg/computer-stuff,0.8918258527522042
83,nateraw/huggingpics-package-demo-2,0.7940171697687048
84,imjeffhi/pokemon_classifier,0.896529656179096
85,nateraw/pasta-pizza-ravioli,0.8914537748843929
86,akahana/vit-base-cats-vs-dogs,0.8909313808983819
87,nateraw/donut-or-bagel,0.889620396052569
88,nateraw/rare-puppers-09-04-2021,0.8905014763374204
89,nateraw/vit-base-cats-vs-dogs,0.8909313808983819
90,Zayn/VIT_Basic,0.887082049111837
91,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.8927140539959457
92,AkshatSurolia/ViT-FaceMask-Finetuned,0.8925906053878863
93,microsoft/swin-large-patch4-window7-224-in22k,0.9234911070009864
94,Ahmed9275/Vit-Cifar100,0.8910721153661756
95,driboune/skin_type,0.8913660415297348
96,microsoft/swin-base-patch4-window7-224-in22k,0.9207585088897169
97,facebook/deit-base-patch16-224,0.8933991196897056
98,facebook/deit-base-distilled-patch16-224,0.9148958753645524
99,eslamxm/vit-base-food101,0.8923117486482619
100,mrm8488/data2vec-base-finetuned-imagenet1k,0.9072092668368335
101,facebook/convnext-base-224,0.9084953108602822
102,facebook/convnext-small-224,0.8958782766873338
103,microsoft/swin-base-patch4-window7-224,0.9202057030576356
104,microsoft/beit-base-patch16-224,0.576038059511249
105,mrm8488/convnext-tiny-finetuned-eurosat,0.8644369581175464
106,mrm8488/convnext-tiny-finetuned-beans,0.8580352400615645
107,facebook/convnext-tiny-224,0.8715765131972595
108,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,0.8664239223111094
109,microsoft/beit-base-patch16-224-pt22k-ft22k,0.6339884302703044
110,AkshatSurolia/ConvNeXt-FaceMask-Finetuned,0.8497093893417171
111,Calin/convnext-tiny-finteuned-eurosat,0.8512053972602623
112,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,0.8666166047228009
113,Visual-Attention-Network/van-small,0.8561458247791143
114,WinKawaks/vit-small-patch16-224,0.8400006077893053
115,facebook/deit-small-distilled-patch16-224,0.8682648932146085
116,Visual-Attention-Network/van-base,0.9134260661123824
117,jadohu/BEiT-finetuned,0.6869408063239688
118,nielsr/convnext-tiny-finetuned-eurostat,0.868603568916364
119,facebook/deit-small-patch16-224,0.8511899804817102
120,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8667404855156963
121,microsoft/swin-small-patch4-window7-224,0.9148996557954727
122,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8469982167100425
123,Ahmed9275/ALL-3,0.8487260262147032
124,facebook/convnext-large-224,0.921457167213938
125,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8467990993535192
126,WinKawaks/vit-tiny-patch16-224,0.8248846022849452
127,Visual-Attention-Network/van-tiny,0.8486389267025826
128,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8645608389104418
129,facebook/deit-tiny-distilled-patch16-224,0.8558504644928777
130,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8645608389104418
131,nielsr/convnext-tiny-finetuned-eurosat,0.911993513129219
132,ibombonato/swin-age-classifier,0.8496384073263025
133,Ahmed9275/ALL-test,0.8660434503247587
134,nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,0.8645608389104418
135,facebook/deit-tiny-patch16-224,0.8351026495660774
136,microsoft/swin-tiny-patch4-window7-224,0.8532697822188591
137,flyswot/test,0.7976625853565588
138,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8469982167100425
139,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8469982167100425
140,nielsr/van-base-finetuned-eurosat-imgaug,0.9114979783652593
141,mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8469982167100425
142,Visual-Attention-Network/van-large,0.9142225676113188
143,Matthijs/snacks-classifier,0.8427229106397344
144,jemole/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8469982167100425
145,nateraw/test_model_a,0.31432481645574745
146,guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8978183404849058
147,google/vit-base-patch32-384,0.8057016049819758
148,nateraw/rare-puppers-demo,0.7972525273947637
149,AkshatSurolia/BEiT-FaceMask-Finetuned,0.6288098695615694
150,AkshatSurolia/DeiT-FaceMask-Finetuned,0.9016808413956173
151,meame2010/rare-puppers,0.8902013280442201
152,facebook/convnext-base-224-22k-1k,0.9117063477651457
153,google/vit-large-patch32-384,0.8856323034195657
154,microsoft/swin-large-patch4-window7-224,0.9216194853171169
155,mmgyorke/vit-world-landmarks,0.8927361913992347
156,lysandre/tiny-vit-random,0.32260955547776426
157,AhmedSayeem/VIT_Basic,0.8922508824603703
158,facebook/convnext-large-224-22k-1k,0.9196758010405293
159,tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,0.8987306444332341
160,facebook/convnext-base-384,0.9238734447228254
161,microsoft/resnet-50,0.8495677200782441
162,microsoft/beit-base-patch16-224-pt22k,0.6495661535387909
163,microsoft/beit-large-patch16-224,0.6661249652939332
164,facebook/convnext-large-224-22k,0.9261075955766381
165,google/vit-large-patch16-224,0.8965375882919007
166,facebook/convnext-large-384,0.9208381686273929
167,facebook/convnext-xlarge-224-22k,0.9248948644628351
168,facebook/convnext-large-384-22k-1k,0.9208381686273929
169,nielsr/convnext-xlarge-224-22k-1k,0.921122314436822
170,facebook/deit-base-patch16-384,0.8964918422577953
171,google/vit-base-patch16-384,0.8970691007113808
