,model,score
0,firebolt/llama_or_what2,0.8747072182571225
1,google/vit-base-patch16-224,0.8742540640645117
2,nateraw/denver-nyc-paris,0.8747077556359834
3,black/simple_kitchen,0.8747083788917837
4,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.8747050963881
5,Suzana/new-york-tokyo-london,0.8747083973396113
6,filipafcastro/beer_vs_wine,0.8747082167666848
7,nateraw/baked-goods,0.874708474713282
8,ajanco/greens,0.8747068102784213
9,nateraw/vit-base-beans-demo,0.874707732455845
10,HHousen/household-rooms,0.8747068463894079
11,Amrrs/indian-foods,0.874706805573999
12,nateraw/planes-trains-automobiles,0.8747077488677597
13,julien-c/hotdog-not-hotdog,0.8747088494115652
14,jmarshall/rare-puppers,0.874708382025084
15,nielsr/vit-finetuned-eurosat-kornia,0.8747051098377655
16,eren23/pneumonia_test_attempt,0.8747102862985674
17,micole66/dwarf-goats,0.8747089485355544
18,nateraw/ex-for-evan,0.8747072613329414
19,karthiksv/vit-base-patch16-224-cifar10,0.8747048379556484
20,ferdinand/rare-puppers,0.8747077648733744
21,ipvikas/rare-puppers,0.8747077450034334
22,Frodnar/bee-likes,0.8747077485950845
23,nickmuchi/vit-base-beans,0.8747097915187609
24,nateraw/baseball-stadium-foods,0.8747067913090922
25,Giuliano/places,0.8747083786254551
26,firas-spanioli/beer-whisky-wine-detection,0.8747083832964465
27,jjhoffstein/lotr,0.8747074586969175
28,Nonem100/Test-Model,0.8747071694838199
29,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,0.8747072974095785
30,LorenzoDeMattei/lawn-weeds,0.8747077442661686
31,nateraw/doggos-lol,0.8747077587194202
32,IDEA-CCNL/Taiyi-vit-87M-D,0.8742548458443812
33,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.8747082183382878
34,karthiksv/vit-base-beans,0.8747077765576579
35,Symbermine/rare-puppers,0.8747071609812274
36,nateraw/vit-base-patch16-224-cifar10,0.8747044419073453
37,gatecitypreservation/architectural_styles,0.8747072767375765
38,Amrrs/south-indian-foods,0.8747068122940747
39,hafidber/fruits,0.874706803933119
40,nateraw/rare-puppers-123,0.8747077585039016
41,Aftabhussain/Tomato_Leaf_Classifier,0.8747082193775433
42,nickmuchi/vit-base-xray-pneumonia,0.8747085797652128
43,Neto71/sea_mammals,0.8747083785288174
44,lewtun/oz-fauna,0.8747074515302926
45,hgarg/fruits,0.8747074323668314
46,jasmeen/dogs,0.8747083473148283
47,b25mayank3/shirt_identifier,0.8747079257435415
48,jeffboudier/vision-transformers-spain-or-italy-fan,0.8747088869055455
49,facebook/convnext-base-224-22k,0.8773883349822534
50,nickmuchi/vit-finetuned-cats-dogs,0.8747082345710676
51,godiec/diam,0.8747072616277597
52,Rajaram1996/FacialEmoRecog,0.8747061440970657
53,nateraw/vit-base-beans-demo-v3,0.8747085074991136
54,firebolt/llama_or_what,0.8747076308767991
55,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.8747065051740518
56,johnnydevriese/vit_beans,0.8747077541888153
57,nateraw/vit-age-classifier,0.8747049245401117
58,nateraw/vit-base-beans-demo-v2,0.8747077614536037
59,mmekias/vit-base-beans,0.8747085929766989
60,juanfiguera/ice_cream,0.8747086691715047
61,drab/Infrastructures,0.8747087286099636
62,nateraw/vit-base-beans,0.8747077471776661
63,Sena/dog,0.8747081100286838
64,jaygala24/finetuned-vit-base-patch16-224-upside-down-detector,0.8747082031262242
65,hafidber/rare-puppers,0.8747083477152688
66,edixo/road_good_damaged_condition,0.8747088481752111
67,AykeeSalazar/vc-bantai-vit-withoutAMBI,0.8747083698155025
68,Sena/flowers,0.8747074518641198
69,matteopilotto/vit-base-patch16-224-in21k-snacks,0.8747004078280958
70,johnnydevriese/vit-airplanes,0.8747084170995083
71,nateraw/pasta-shapes,0.8747081018409835
72,mrm8488/vit-base-patch16-224_finetuned-pneumothorax,0.8747082181773383
73,hgarg/indian-snacks,0.8747072049848292
74,nateraw/vit-base-food101,0.8746622492795617
75,Hijazzi/rare-puppers,0.8747081837424866
76,nateraw/trainer-rare-puppers,0.8747077775309585
77,ibombonato/vit-age-classifier,0.8747051896079129
78,nateraw/rare-puppers-new-auth,0.8747085856727034
79,SriramSridhar78/sriram-car-classifier,0.8746183417650639
80,ismgar01/vit-base-cats-vs-dogs,0.8747082125789859
81,nateraw/rare-puppers,0.874709880918739
82,iyzg/computer-stuff,0.8747081427752637
83,nateraw/huggingpics-package-demo-2,0.8747077491182162
84,imjeffhi/pokemon_classifier,0.8742997321933674
85,nateraw/pasta-pizza-ravioli,0.8747083766506631
86,akahana/vit-base-cats-vs-dogs,0.8747088517805759
87,nateraw/donut-or-bagel,0.8747088664361217
88,nateraw/rare-puppers-09-04-2021,0.8747083980440358
89,nateraw/vit-base-cats-vs-dogs,0.8747088907303191
90,Zayn/VIT_Basic,0.8747071608494437
91,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.8747048577776529
92,AkshatSurolia/ViT-FaceMask-Finetuned,0.874708636332397
93,microsoft/swin-large-patch4-window7-224-in22k,0.8994156274031766
94,Ahmed9275/Vit-Cifar100,0.8746627131227569
95,driboune/skin_type,0.8747103531199787
96,microsoft/swin-base-patch4-window7-224-in22k,0.8767046916904031
97,facebook/deit-base-patch16-224,0.8742545107994546
98,facebook/deit-base-distilled-patch16-224,0.8738294793030402
99,eslamxm/vit-base-food101,0.8746622515673199
100,mrm8488/data2vec-base-finetuned-imagenet1k,0.8742755799305003
101,facebook/convnext-base-224,0.87320688058487
102,facebook/convnext-small-224,0.902133100556838
103,microsoft/swin-base-patch4-window7-224,0.8736068605115994
104,microsoft/beit-base-patch16-224,0.8742758795339597
105,mrm8488/convnext-tiny-finetuned-eurosat,0.8639555899556853
106,mrm8488/convnext-tiny-finetuned-beans,0.8639353788963053
107,facebook/convnext-tiny-224,0.8667538914240652
108,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,0.8639555990476196
109,microsoft/beit-base-patch16-224-pt22k-ft22k,0.8727001825626833
110,AkshatSurolia/ConvNeXt-FaceMask-Finetuned,0.8639326468759352
111,Calin/convnext-tiny-finteuned-eurosat,0.8639558504804907
112,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,0.8639555077096872
113,Visual-Attention-Network/van-small,0.7898969218105112
114,WinKawaks/vit-small-patch16-224,0.8386376788306115
115,facebook/deit-small-distilled-patch16-224,0.8405580875933995
116,Visual-Attention-Network/van-base,0.8591023490223877
117,jadohu/BEiT-finetuned,0.8747273855118802
118,nielsr/convnext-tiny-finetuned-eurostat,0.8639556010902575
119,facebook/deit-small-patch16-224,0.8386376801865941
120,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8628164386207604
121,microsoft/swin-small-patch4-window7-224,0.90208586919082
122,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8628165769383219
123,Ahmed9275/ALL-3,0.865663254598378
124,facebook/convnext-large-224,0.9452504199164695
125,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,0.862816580468473
126,WinKawaks/vit-tiny-patch16-224,0.7262738973370103
127,Visual-Attention-Network/van-tiny,0.7119577610147279
128,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8628164247476342
