,model,score
0,google/vit-base-patch16-224,0.8625891418661134
1,IDEA-CCNL/Taiyi-vit-87M-D,0.8625895598538985
2,facebook/deit-base-patch16-224,0.8625893807727467
3,facebook/deit-base-distilled-patch16-224,0.861665550413482
4,mrm8488/data2vec-base-finetuned-imagenet1k,0.8626336003256665
5,facebook/convnext-base-224,0.860184306758259
6,facebook/convnext-small-224,0.8889987912900004
7,microsoft/swin-base-patch4-window7-224,0.8611545087543789
8,microsoft/beit-base-patch16-224,0.8626337604530193
9,facebook/convnext-tiny-224,0.8460545478756882
10,Visual-Attention-Network/van-small,0.7747839341039507
11,WinKawaks/vit-small-patch16-224,0.8188905777785334
12,facebook/deit-small-distilled-patch16-224,0.8206912895586195
13,Visual-Attention-Network/van-base,0.8384615572578191
14,facebook/deit-small-patch16-224,0.8188905785432288
15,microsoft/swin-small-patch4-window7-224,0.8886438443569847
16,Ahmed9275/ALL-3,0.8449603706039086
17,facebook/convnext-large-224,0.9242907282224195
18,WinKawaks/vit-tiny-patch16-224,0.7199774695536217
19,Visual-Attention-Network/van-tiny,0.7079063852304236
20,facebook/deit-tiny-distilled-patch16-224,0.7213999430430545
21,Ahmed9275/ALL-test,0.84496029611545
22,facebook/deit-tiny-patch16-224,0.7199775295653925
23,microsoft/swin-tiny-patch4-window7-224,0.8449604470121398
24,Visual-Attention-Network/van-large,0.8842844126740959
25,google/vit-base-patch32-384,0.8605292554194799
26,facebook/convnext-base-224-22k-1k,0.8601845031105771
27,google/vit-large-patch32-384,0.7960984410131982
28,microsoft/swin-large-patch4-window7-224,0.9243146537436822
29,lysandre/tiny-vit-random,0.6760441595785043
30,facebook/convnext-large-224-22k-1k,0.924290554380696
31,facebook/convnext-base-384,0.8601862936201607
32,microsoft/resnet-50,0.8343414436265743
33,microsoft/beit-base-patch16-224-pt22k,0.8636798755743109
34,microsoft/beit-large-patch16-224,0.7941386853137417
35,google/vit-large-patch16-224,0.794055032584146
36,facebook/convnext-large-384,0.9242919911341793
37,facebook/convnext-large-384-22k-1k,0.9242919698276395
38,nielsr/convnext-xlarge-224-22k-1k,0.8895670217843968
39,facebook/deit-base-patch16-384,0.8622404706267005
40,google/vit-base-patch16-384,0.8622405303194263
41,facebook/deit-base-distilled-patch16-384,0.8613201442598324
42,facebook/convnext-xlarge-224-22k-1k,0.889567005327119
43,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.8635104851551307
44,karthiksv/vit-base-patch16-224-cifar10,0.8635103470320347
45,nateraw/vit-base-patch16-224-cifar10,0.8635101352636082
46,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.8635112372354055
47,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.863510357627955
48,jadohu/BEiT-finetuned,0.8635549523324595
49,tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,0.8635112032348716
50,nateraw/vit-base-beans-demo,0.8635166737279513
51,nickmuchi/vit-base-beans,0.8635177734556755
52,karthiksv/vit-base-beans,0.8635166973148938
53,nateraw/vit-base-beans-demo-v3,0.863517088038448
54,johnnydevriese/vit_beans,0.8635166853516716
55,nateraw/vit-base-beans-demo-v2,0.8635166892368731
56,mmekias/vit-base-beans,0.863517133704616
57,nateraw/vit-base-beans,0.8635166816018579
58,mrm8488/convnext-tiny-finetuned-beans,0.8432357323699066
59,nielsr/vit-finetuned-eurosat-kornia,0.8635104923420874
60,mrm8488/convnext-tiny-finetuned-eurosat,0.8432558533934827
61,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,0.8432558584732305
62,Calin/convnext-tiny-finteuned-eurosat,0.8432559989314691
63,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,0.8432558074411679
64,nielsr/convnext-tiny-finetuned-eurostat,0.8432558596145286
65,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8421240570638497
66,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8421241343613015
67,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8421241363343346
68,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8421240493101723
69,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8421240454233683
70,nielsr/convnext-tiny-finetuned-eurosat,0.8432564078399486
71,nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,0.8421240585514486
72,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8421242106921859
73,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8421241980265413
74,nielsr/van-base-finetuned-eurosat-imgaug,0.8364371636126412
75,mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,0.842124212739072
