,model,score
0,firebolt/llama_or_what2,0.8748519421729992
1,google/vit-base-patch16-224,0.8744628648100905
2,nateraw/denver-nyc-paris,0.8748524206160968
3,black/simple_kitchen,0.8748530833184807
4,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.8748502436866032
5,Suzana/new-york-tokyo-london,0.8748531029347135
6,filipafcastro/beer_vs_wine,0.8748528179880939
7,nateraw/baked-goods,0.8748531852080911
8,ajanco/greens,0.8748516013164527
9,nateraw/vit-base-beans-demo,0.8748523959698551
10,HHousen/household-rooms,0.8748516397118807
11,Amrrs/indian-foods,0.8748515963143804
12,nateraw/planes-trains-automobiles,0.8748524134192787
13,julien-c/hotdog-not-hotdog,0.8748534906734861
14,jmarshall/rare-puppers,0.8748530866507631
15,nielsr/vit-finetuned-eurosat-kornia,0.8748502579879148
16,eren23/pneumonia_test_attempt,0.8748550186492958
17,micole66/dwarf-goats,0.8748535960748967
18,nateraw/ex-for-evan,0.8748519879735737
19,karthiksv/vit-base-patch16-224-cifar10,0.8748499688923596
20,ferdinand/rare-puppers,0.8748524304370152
21,ipvikas/rare-puppers,0.8748524093107328
22,Frodnar/bee-likes,0.8748524131298034
23,nickmuchi/vit-base-beans,0.8748545854942993
24,nateraw/baseball-stadium-foods,0.8748515811467066
25,Giuliano/places,0.8748530830352439
26,firas-spanioli/beer-whisky-wine-detection,0.8748530880023024
27,jjhoffstein/lotr,0.8748522907750551
28,Nonem100/Test-Model,0.8748519832520674
29,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,0.874852026332819
30,LorenzoDeMattei/lawn-weeds,0.8748524085274121
31,nateraw/doggos-lol,0.8748524238942941
32,IDEA-CCNL/Taiyi-vit-87M-D,0.8744636960602709
33,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.8748528196587528
34,karthiksv/vit-base-beans,0.8748524428608094
35,Symbermine/rare-puppers,0.8748519742110047
36,nateraw/vit-base-patch16-224-cifar10,0.874849547783191
37,gatecitypreservation/architectural_styles,0.8748520972949497
38,Amrrs/south-indian-foods,0.8748516034593651
39,hafidber/fruits,0.8748515945698353
40,nateraw/rare-puppers-123,0.8748524236654696
41,Aftabhussain/Tomato_Leaf_Classifier,0.8748528207642472
42,nickmuchi/vit-base-xray-pneumonia,0.8748532039563415
43,Neto71/sea_mammals,0.8748530829330989
44,lewtun/oz-fauna,0.8748522831544249
45,hgarg/fruits,0.8748522627772778
46,jasmeen/dogs,0.8748530497419021
47,b25mayank3/shirt_identifier,0.8748526944355399
48,jeffboudier/vision-transformers-spain-or-italy-fan,0.8748535305418167
49,facebook/convnext-base-224-22k,0.879911437221342
50,nickmuchi/vit-finetuned-cats-dogs,0.8748528369184428
51,godiec/diam,0.874851988286918
52,Rajaram1996/FacialEmoRecog,0.8748511718151972
53,nateraw/vit-base-beans-demo-v3,0.8748532200705664
54,firebolt/llama_or_what,0.8748523809015729
55,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.8748517417777489
56,johnnydevriese/vit_beans,0.87485241907721
57,nateraw/vit-age-classifier,0.8748499680135913
58,nateraw/vit-base-beans-demo-v2,0.8748524268016434
59,mmekias/vit-base-beans,0.8748533109618336
60,juanfiguera/ice_cream,0.8748532990218227
61,drab/Infrastructures,0.8748534551878719
62,nateraw/vit-base-beans,0.8748524116234395
63,Sena/dog,0.8748527974339564
64,jaygala24/finetuned-vit-base-patch16-224-upside-down-detector,0.8748528034845156
65,hafidber/rare-puppers,0.8748530501677749
66,edixo/road_good_damaged_condition,0.8748534893592267
67,AykeeSalazar/vc-bantai-vit-withoutAMBI,0.8748530736670951
68,Sena/flowers,0.8748522835096818
69,matteopilotto/vit-base-patch16-224-in21k-snacks,0.874846187882306
70,johnnydevriese/vit-airplanes,0.8748531239454582
71,nateraw/pasta-shapes,0.8748527887284415
72,mrm8488/vit-base-patch16-224_finetuned-pneumothorax,0.874852819487715
73,hgarg/indian-snacks,0.8748520209993689
74,nateraw/vit-base-food101,0.8748131447384064
75,Hijazzi/rare-puppers,0.8748528758142361
76,nateraw/trainer-rare-puppers,0.8748524438958113
77,ibombonato/vit-age-classifier,0.8748503428093446
78,nateraw/rare-puppers-new-auth,0.8748533031952979
79,SriramSridhar78/sriram-car-classifier,0.8747752937922352
80,ismgar01/vit-base-cats-vs-dogs,0.874852813535659
81,nateraw/rare-puppers,0.8748546805677375
82,iyzg/computer-stuff,0.8748530181945088
83,nateraw/huggingpics-package-demo-2,0.8748524136854781
84,imjeffhi/pokemon_classifier,0.8745019095462954
85,nateraw/pasta-pizza-ravioli,0.8748530809355681
86,akahana/vit-base-cats-vs-dogs,0.8748534931925588
87,nateraw/donut-or-bagel,0.8748535087761398
88,nateraw/rare-puppers-09-04-2021,0.874853103683389
89,nateraw/vit-base-cats-vs-dogs,0.8748535346086594
90,Zayn/VIT_Basic,0.8748519740708751
91,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.8748499899688376
92,AkshatSurolia/ViT-FaceMask-Finetuned,0.8748532641036322
93,microsoft/swin-large-patch4-window7-224-in22k,0.8992224467364798
94,Ahmed9275/Vit-Cifar100,0.8748135449528174
95,driboune/skin_type,0.8748550897111463
96,microsoft/swin-base-patch4-window7-224-in22k,0.8791604994381881
97,facebook/deit-base-patch16-224,0.874463339806347
98,facebook/deit-base-distilled-patch16-224,0.8741049849974906
99,eslamxm/vit-base-food101,0.8748131471706709
100,mrm8488/data2vec-base-finetuned-imagenet1k,0.8744812937407311
101,facebook/convnext-base-224,0.8735952641384633
102,facebook/convnext-small-224,0.9024197699850642
103,microsoft/swin-base-patch4-window7-224,0.8739205456494968
104,microsoft/beit-base-patch16-224,0.8744816123103084
105,mrm8488/convnext-tiny-finetuned-eurosat,0.8651475560152388
106,mrm8488/convnext-tiny-finetuned-beans,0.8651272398514755
107,facebook/convnext-tiny-224,0.8679585386596984
108,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,0.8651475656125018
109,microsoft/beit-base-patch16-224-pt22k-ft22k,0.8745340195737626
110,AkshatSurolia/ConvNeXt-FaceMask-Finetuned,0.8651245014584572
111,Calin/convnext-tiny-finteuned-eurosat,0.8651478310259874
112,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,0.8651474691965821
113,Visual-Attention-Network/van-small,0.7899699016776369
114,WinKawaks/vit-small-patch16-224,0.839578319416266
115,facebook/deit-small-distilled-patch16-224,0.8415244786013616
116,Visual-Attention-Network/van-base,0.860263715142006
117,jadohu/BEiT-finetuned,0.8748695111238529
