,model,score
0,firebolt/llama_or_what2,0.9513363
1,google/vit-base-patch16-224,0.9449931
2,nateraw/denver-nyc-paris,0.9580193
3,black/simple_kitchen,0.94561833
4,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.9659458
5,Suzana/new-york-tokyo-london,0.9627967
6,filipafcastro/beer_vs_wine,0.97002155
7,nateraw/baked-goods,0.92482346
8,ajanco/greens,0.95479745
9,nateraw/vit-base-beans-demo,0.94115025
10,HHousen/household-rooms,0.95473176
11,Amrrs/indian-foods,0.9559555
12,nateraw/planes-trains-automobiles,0.96483564
13,julien-c/hotdog-not-hotdog,0.95561457
14,jmarshall/rare-puppers,0.95301414
15,nielsr/vit-finetuned-eurosat-kornia,0.9642349
16,eren23/pneumonia_test_attempt,0.9573261
17,micole66/dwarf-goats,0.9338378
18,nateraw/ex-for-evan,0.96988064
19,karthiksv/vit-base-patch16-224-cifar10,0.95540524
20,ferdinand/rare-puppers,0.9652015
21,ipvikas/rare-puppers,0.92672753
22,Frodnar/bee-likes,0.9586113
23,nickmuchi/vit-base-beans,0.9472725
24,nateraw/baseball-stadium-foods,0.95460343
25,Giuliano/places,0.9611644
26,firas-spanioli/beer-whisky-wine-detection,0.957642
27,jjhoffstein/lotr,0.95267224
28,Nonem100/Test-Model,0.9560115
29,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,0.96703285
30,LorenzoDeMattei/lawn-weeds,0.95584804
31,nateraw/doggos-lol,0.9404243
32,IDEA-CCNL/Taiyi-vit-87M-D,0.94280684
33,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.9561997
34,karthiksv/vit-base-beans,0.9553549
35,Symbermine/rare-puppers,0.9578195
36,nateraw/vit-base-patch16-224-cifar10,0.9612404
37,gatecitypreservation/architectural_styles,0.95997745
38,Amrrs/south-indian-foods,0.9657268
39,hafidber/fruits,0.96363455
40,nateraw/rare-puppers-123,0.96810406
41,Aftabhussain/Tomato_Leaf_Classifier,0.96182543
42,nickmuchi/vit-base-xray-pneumonia,0.93567854
43,Neto71/sea_mammals,0.9595156
44,lewtun/oz-fauna,0.955497
45,hgarg/fruits,0.9607749
46,jasmeen/dogs,0.9572754
47,b25mayank3/shirt_identifier,0.95421785
48,jeffboudier/vision-transformers-spain-or-italy-fan,0.9477037
49,facebook/convnext-base-224-22k,0.9699893
50,nickmuchi/vit-finetuned-cats-dogs,0.9644905
51,godiec/diam,0.969681
52,Rajaram1996/FacialEmoRecog,0.9462374
53,nateraw/vit-base-beans-demo-v3,0.9450731
54,firebolt/llama_or_what,0.952442
55,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.9619218
56,johnnydevriese/vit_beans,0.95079565
57,nateraw/vit-age-classifier,0.96064085
58,nateraw/vit-base-beans-demo-v2,0.9527178
59,mmekias/vit-base-beans,0.95276165
60,juanfiguera/ice_cream,0.9502939
61,drab/Infrastructures,0.9454033
62,nateraw/vit-base-beans,0.95163393
63,Sena/dog,0.95450044
64,jaygala24/finetuned-vit-base-patch16-224-upside-down-detector,0.9506288
65,hafidber/rare-puppers,0.9034527
66,edixo/road_good_damaged_condition,0.95505065
67,AykeeSalazar/vc-bantai-vit-withoutAMBI,0.93421805
68,Sena/flowers,0.9536451
69,matteopilotto/vit-base-patch16-224-in21k-snacks,0.9475633
70,johnnydevriese/vit-airplanes,0.9508003
71,nateraw/pasta-shapes,0.954339
72,mrm8488/vit-base-patch16-224_finetuned-pneumothorax,0.9534736
73,hgarg/indian-snacks,0.9550925
74,nateraw/vit-base-food101,0.9577774
75,Hijazzi/rare-puppers,0.9613451
76,nateraw/trainer-rare-puppers,0.8870633
77,ibombonato/vit-age-classifier,0.9396464
78,nateraw/rare-puppers-new-auth,0.9489415
79,SriramSridhar78/sriram-car-classifier,0.88325185
80,ismgar01/vit-base-cats-vs-dogs,0.96031094
81,nateraw/rare-puppers,0.95223176
82,iyzg/computer-stuff,0.9466874
83,nateraw/huggingpics-package-demo-2,0.9598558
84,imjeffhi/pokemon_classifier,0.90768254
85,nateraw/pasta-pizza-ravioli,0.95179474
86,akahana/vit-base-cats-vs-dogs,0.94351137
87,nateraw/donut-or-bagel,0.9546095
88,nateraw/rare-puppers-09-04-2021,0.95431757
89,nateraw/vit-base-cats-vs-dogs,0.953848
90,Zayn/VIT_Basic,0.94807905
91,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.9581319
92,AkshatSurolia/ViT-FaceMask-Finetuned,0.92824584
93,microsoft/swin-large-patch4-window7-224-in22k,0.9625672
94,Ahmed9275/Vit-Cifar100,0.8601907
95,driboune/skin_type,0.9578518
96,microsoft/swin-base-patch4-window7-224-in22k,0.9574015
97,facebook/deit-base-patch16-224,0.95414114
98,facebook/deit-base-distilled-patch16-224,0.9629897
99,eslamxm/vit-base-food101,0.9300797
100,mrm8488/data2vec-base-finetuned-imagenet1k,0.9605246
101,facebook/convnext-base-224,0.96855336
102,facebook/convnext-small-224,0.9820202
103,microsoft/swin-base-patch4-window7-224,0.9560766
104,microsoft/beit-base-patch16-224,0.47594866
105,mrm8488/convnext-tiny-finetuned-eurosat,0.94625556
106,mrm8488/convnext-tiny-finetuned-beans,0.9541218
107,facebook/convnext-tiny-224,0.9669772
108,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,0.9748219
109,microsoft/beit-base-patch16-224-pt22k-ft22k,0.59061015
110,AkshatSurolia/ConvNeXt-FaceMask-Finetuned,0.9527516
111,Calin/convnext-tiny-finteuned-eurosat,0.9805268
112,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,0.9811176
113,Visual-Attention-Network/van-small,0.9867227
114,WinKawaks/vit-small-patch16-224,0.95276755
115,facebook/deit-small-distilled-patch16-224,0.95276994
116,Visual-Attention-Network/van-base,0.9778211
117,jadohu/BEiT-finetuned,1.0013295
118,nielsr/convnext-tiny-finetuned-eurostat,0.9723016
119,facebook/deit-small-patch16-224,0.95354855
120,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,0.9606378
121,microsoft/swin-small-patch4-window7-224,0.98280746
122,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,0.9816586
123,Ahmed9275/ALL-3,0.96285063
124,facebook/convnext-large-224,0.9661309
125,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,0.9714594
126,WinKawaks/vit-tiny-patch16-224,0.8732714
127,Visual-Attention-Network/van-tiny,0.9639413
128,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,0.9560531
129,facebook/deit-tiny-distilled-patch16-224,0.9452046
130,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,0.9423301
131,nielsr/convnext-tiny-finetuned-eurosat,0.9902593
132,ibombonato/swin-age-classifier,0.95705074
133,Ahmed9275/ALL-test,0.9534076
134,nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,0.95380497
135,facebook/deit-tiny-patch16-224,0.92331815
136,microsoft/swin-tiny-patch4-window7-224,0.9470697
137,flyswot/test,0.94948256
138,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,0.9922448
139,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,0.9768864
140,nielsr/van-base-finetuned-eurosat-imgaug,1.0133
141,mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,0.9712881
142,Visual-Attention-Network/van-large,0.960487
143,Matthijs/snacks-classifier,0.9710957
144,jemole/swin-tiny-patch4-window7-224-finetuned-eurosat,0.9446617
145,nateraw/test_model_a,0.073907375
146,guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,0.96444285
147,google/vit-base-patch32-384,0.9319255
148,nateraw/rare-puppers-demo,0.9528258
149,AkshatSurolia/BEiT-FaceMask-Finetuned,0.575212
150,AkshatSurolia/DeiT-FaceMask-Finetuned,0.91300374
151,meame2010/rare-puppers,0.9523495
152,facebook/convnext-base-224-22k-1k,0.9650637
153,google/vit-large-patch32-384,0.93123513
154,microsoft/swin-large-patch4-window7-224,0.9672946
155,mmgyorke/vit-world-landmarks,0.9517113
156,lysandre/tiny-vit-random,0.062198747
157,AhmedSayeem/VIT_Basic,0.9476547
158,facebook/convnext-large-224-22k-1k,0.9856185
159,tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,0.9537674
160,facebook/convnext-base-384,0.993639
161,microsoft/resnet-50,0.9550259
162,microsoft/beit-base-patch16-224-pt22k,0.7008778
163,microsoft/beit-large-patch16-224,0.55867666
164,facebook/convnext-large-224-22k,0.9816587
165,google/vit-large-patch16-224,0.9605678
166,facebook/convnext-large-384,0.98875695
167,facebook/convnext-xlarge-224-22k,0.9898862
168,facebook/convnext-large-384-22k-1k,0.97453743
169,nielsr/convnext-xlarge-224-22k-1k,0.97555536
170,facebook/deit-base-patch16-384,0.9705568
171,google/vit-base-patch16-384,0.9621189
172,microsoft/swin-base-patch4-window12-384-in22k,0.97758
173,microsoft/beit-large-patch16-224-pt22k-ft22k,0.6226927
174,facebook/deit-base-distilled-patch16-384,0.97384334
175,facebook/convnext-xlarge-224-22k-1k,0.97042596
176,nielsr/convnext-xlarge-224-22k,0.98884475
