,model,score
0,google/vit-base-patch16-224,0.8071288
1,IDEA-CCNL/Taiyi-vit-87M-D,0.8757401
2,facebook/deit-base-patch16-224,0.8632317
3,facebook/deit-base-distilled-patch16-224,0.9138553
4,mrm8488/data2vec-base-finetuned-imagenet1k,0.74136466
5,facebook/convnext-base-224,0.9401105
6,facebook/convnext-small-224,0.9115579
7,microsoft/swin-base-patch4-window7-224,0.959917
8,microsoft/beit-base-patch16-224,0.2959197
9,facebook/convnext-tiny-224,0.9382888
10,Visual-Attention-Network/van-small,0.8632122
11,WinKawaks/vit-small-patch16-224,0.83041143
12,facebook/deit-small-distilled-patch16-224,0.8111019
13,Visual-Attention-Network/van-base,0.91922694
14,facebook/deit-small-patch16-224,0.8133304
15,microsoft/swin-small-patch4-window7-224,0.9025441
16,Ahmed9275/ALL-3,0.8973184
17,facebook/convnext-large-224,0.9670684
18,WinKawaks/vit-tiny-patch16-224,0.7695539
19,Visual-Attention-Network/van-tiny,0.8100741
20,facebook/deit-tiny-distilled-patch16-224,0.69596916
21,Ahmed9275/ALL-test,0.8812078
22,facebook/deit-tiny-patch16-224,0.7554883
23,microsoft/swin-tiny-patch4-window7-224,0.898176
24,Visual-Attention-Network/van-large,0.92112523
25,google/vit-base-patch32-384,0.79600674
26,facebook/convnext-base-224-22k-1k,0.9745486
27,google/vit-large-patch32-384,0.79734236
28,microsoft/swin-large-patch4-window7-224,0.99027336
29,lysandre/tiny-vit-random,0.050656166
30,facebook/convnext-large-224-22k-1k,0.9822553
31,facebook/convnext-base-384,1.0251685
32,microsoft/resnet-50,0.84942055
33,microsoft/beit-base-patch16-224-pt22k,0.5107832
34,microsoft/beit-large-patch16-224,0.71132386
35,google/vit-large-patch16-224,0.85924906
36,facebook/convnext-large-384,1.0017273
37,facebook/convnext-large-384-22k-1k,1.044915
38,nielsr/convnext-xlarge-224-22k-1k,1.0038267
39,facebook/deit-base-patch16-384,0.9578343
40,google/vit-base-patch16-384,0.9613815
41,facebook/deit-base-distilled-patch16-384,0.982125
42,facebook/convnext-xlarge-224-22k-1k,1.0038267
43,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.8569789
44,karthiksv/vit-base-patch16-224-cifar10,0.8414169
45,nateraw/vit-base-patch16-224-cifar10,0.78388083
46,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.8726418
47,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.84365183
48,jadohu/BEiT-finetuned,0.42194852
49,tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,0.8783716
50,nateraw/vit-base-beans-demo,0.8019602
51,nickmuchi/vit-base-beans,0.8788103
52,karthiksv/vit-base-beans,0.8148568
53,nateraw/vit-base-beans-demo-v3,0.8546982
54,johnnydevriese/vit_beans,0.81654304
55,nateraw/vit-base-beans-demo-v2,0.8095371
56,mmekias/vit-base-beans,0.85540307
57,nateraw/vit-base-beans,0.8090155
58,mrm8488/convnext-tiny-finetuned-beans,0.94034487
59,nielsr/vit-finetuned-eurosat-kornia,0.8532455
60,mrm8488/convnext-tiny-finetuned-eurosat,0.92778885
61,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,0.93015385
62,Calin/convnext-tiny-finteuned-eurosat,0.92935425
63,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,0.9353795
64,nielsr/convnext-tiny-finetuned-eurostat,0.93001
65,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,0.86531013
66,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8762979
67,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8762979
68,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8655277
69,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,0.85853994
70,nielsr/convnext-tiny-finetuned-eurosat,0.92990774
71,nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,0.8552535
72,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8432534
73,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8741774
74,nielsr/van-base-finetuned-eurosat-imgaug,0.9431471
75,mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8493954
76,jemole/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8643693
77,guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8920052
78,eren23/pneumonia_test_attempt,0.852715
79,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.783167
80,nickmuchi/vit-base-xray-pneumonia,0.8175609
81,facebook/convnext-base-224-22k,1.0139294
82,microsoft/swin-large-patch4-window7-224-in22k,1.0039264
83,microsoft/swin-base-patch4-window7-224-in22k,0.94925654
84,microsoft/beit-base-patch16-224-pt22k-ft22k,0.5432412
85,facebook/convnext-large-224-22k,0.99695414
